Date,SUDARSCHEM
2016-01-01,114.2
2016-01-04,111.3
2016-01-05,112.45
2016-01-06,109.45
2016-01-07,105.9
2016-01-08,109.15
2016-01-11,108.65
2016-01-12,107.3
2016-01-13,107.75
2016-01-14,104.3
2016-01-15,99.4
2016-01-18,92.25
2016-01-19,94.9
2016-01-20,89.95
2016-01-21,89.5
2016-01-22,92.55
2016-01-25,95.2
2016-01-27,95.25
2016-01-28,95.6
2016-01-29,95.85
2016-02-01,97.45
2016-02-02,95.3
2016-02-03,94.35
2016-02-04,93.3
2016-02-05,93.55
2016-02-08,92.0
2016-02-09,89.9
2016-02-10,87.6
2016-02-11,83.25
2016-02-12,79.85
2016-02-15,83.75
2016-02-16,81.65
2016-02-17,81.05
2016-02-18,82.65
2016-02-19,80.55
2016-02-22,83.2
2016-02-23,81.0
2016-02-24,81.85
2016-02-25,81.0
2016-02-26,80.45
2016-02-29,79.35
2016-03-01,82.6
2016-03-02,86.35
2016-03-03,86.85
2016-03-04,87.3
2016-03-08,85.95
2016-03-09,86.3
2016-03-10,88.6
2016-03-11,88.25
2016-03-14,88.3
2016-03-15,87.1
2016-03-16,86.95
2016-03-17,88.5
2016-03-18,88.75
2016-03-21,87.65
2016-03-22,87.95
2016-03-23,86.35
2016-03-28,86.7
2016-03-29,88.1
2016-03-30,92.85
2016-03-31,94.55
2016-04-01,95.0
2016-04-04,93.7
2016-04-05,92.9
2016-04-06,110.4
2016-04-07,103.3
2016-04-08,104.75
2016-04-11,106.1
2016-04-12,104.1
2016-04-13,111.6
2016-04-18,109.5
2016-04-20,109.65
2016-04-21,107.55
2016-04-22,108.85
2016-04-25,107.45
2016-04-26,108.65
2016-04-27,107.6
2016-04-28,107.35
2016-04-29,107.65
2016-05-02,109.05
2016-05-03,107.7
2016-05-04,107.45
2016-05-05,107.8
2016-05-06,105.95
2016-05-09,109.25
2016-05-10,109.7
2016-05-11,116.6
2016-05-12,118.65
2016-05-13,117.2
2016-05-16,120.55
2016-05-17,121.35
2016-05-18,118.55
2016-05-19,118.25
2016-05-20,116.75
2016-05-23,116.45
2016-05-24,114.3
2016-05-25,116.7
2016-05-26,117.65
2016-05-27,117.95
2016-05-30,121.95
2016-05-31,133.0
2016-06-01,130.35
2016-06-02,131.55
2016-06-03,131.2
2016-06-06,150.05
2016-06-07,151.45
2016-06-08,153.75
2016-06-09,156.3
2016-06-10,152.65
2016-06-13,157.0
2016-06-14,175.7
2016-06-15,178.1
2016-06-16,175.3
2016-06-17,178.4
2016-06-20,185.7
2016-06-21,187.3
2016-06-22,185.85
2016-06-23,184.2
2016-06-24,184.7
2016-06-27,193.9
2016-06-28,202.7
2016-06-29,203.25
2016-06-30,200.2
2016-07-01,198.05
2016-07-04,225.1
2016-07-05,212.05
2016-07-07,224.0
2016-07-08,220.0
2016-07-11,217.75
2016-07-12,219.5
2016-07-13,213.05
2016-07-14,218.2
2016-07-15,216.5
2016-07-18,215.0
2016-07-19,214.55
2016-07-20,238.1
2016-07-21,238.4
2016-07-22,252.6
2016-07-25,303.1
2016-07-26,278.25
2016-07-27,306.05
2016-07-28,319.4
2016-07-29,315.25
2016-08-01,312.5
2016-08-02,310.0
2016-08-03,296.25
2016-08-04,300.55
2016-08-05,304.3
2016-08-08,304.25
2016-08-09,300.95
2016-08-10,295.1
2016-08-11,299.6
2016-08-12,300.2
2016-08-16,330.2
2016-08-17,363.05
2016-08-18,365.0
2016-08-19,373.05
2016-08-22,385.65
2016-08-23,393.55
2016-08-24,385.8
2016-08-25,384.6
2016-08-26,393.4
2016-08-29,413.05
2016-08-30,433.7
2016-08-31,418.25
2016-09-01,407.65
2016-09-02,411.6
2016-09-06,409.2
2016-09-07,388.75
2016-09-08,369.35
2016-09-09,350.9
2016-09-12,333.4
2016-09-14,350.05
2016-09-15,367.55
2016-09-16,358.45
2016-09-19,376.35
2016-09-20,395.15
2016-09-21,413.2
2016-09-22,392.55
2016-09-23,385.5
2016-09-26,382.05
2016-09-27,384.4
2016-09-28,382.7
2016-09-29,363.6
2016-09-30,372.5
2016-10-03,391.1
2016-10-04,393.95
2016-10-05,387.95
2016-10-06,375.9
2016-10-07,373.3
2016-10-10,377.8
2016-10-13,366.55
2016-10-14,366.75
2016-10-17,371.7
2016-10-18,391.7
2016-10-19,387.55
2016-10-20,392.15
2016-10-21,384.1
2016-10-24,387.7
2016-10-25,380.8
2016-10-26,374.4
2016-10-27,376.5
2016-10-28,397.0
2016-10-30,404.05
2016-11-01,407.05
2016-11-02,391.6
2016-11-03,378.25
2016-11-04,380.4
2016-11-07,385.5
2016-11-08,383.25
2016-11-09,389.85
2016-11-10,392.05
2016-11-11,378.45
2016-11-15,329.55
2016-11-16,325.45
2016-11-17,323.25
2016-11-18,320.05
2016-11-21,298.35
2016-11-22,308.65
2016-11-23,321.5
2016-11-24,322.45
2016-11-25,365.05
2016-11-28,339.7
2016-11-29,325.65
2016-11-30,323.75
2016-12-01,314.7
2016-12-02,306.75
2016-12-05,311.75
2016-12-06,310.7
2016-12-07,307.6
2016-12-08,306.4
2016-12-09,309.9
2016-12-12,303.55
2016-12-13,302.05
2016-12-14,300.1
2016-12-15,304.4
2016-12-16,302.4
2016-12-19,313.5
2016-12-20,303.9
2016-12-21,297.9
2016-12-22,283.85
2016-12-23,273.0
2016-12-26,270.05
2016-12-27,282.55
2016-12-28,305.7
2016-12-29,317.7
2016-12-30,311.3
