Date,PRAKASHCON
2016-01-01,4.65
2016-01-04,4.85
2016-02-09,4.0
2016-02-10,4.0
2016-02-11,3.8
2016-02-12,3.65
2016-02-15,3.5
2016-02-16,3.35
2016-02-17,3.2
2016-02-18,3.3
2016-02-19,3.45
2016-02-22,3.55
2016-02-23,3.55
2016-02-24,3.4
2016-02-25,3.25
2016-02-26,3.35
2016-02-29,3.45
2016-03-01,3.5
2016-03-02,3.6
2016-03-03,3.75
2016-03-04,4.1
2016-03-08,4.5
2016-03-09,4.95
2016-03-10,5.15
2016-03-11,5.4
2016-03-14,5.65
2016-03-15,5.9
2016-03-16,6.1
2016-03-17,6.4
2016-03-18,6.7
2016-03-21,6.4
2016-03-22,6.1
2016-03-23,5.8
2016-03-28,5.55
2016-03-29,5.8
2016-03-30,6.05
2016-03-31,6.1
2016-04-01,6.1
2016-04-04,6.0
2016-04-05,5.85
2016-04-06,5.9
2016-04-07,5.75
2016-04-08,5.5
2016-04-11,5.75
2016-04-12,6.0
2016-04-13,6.25
2016-04-18,6.1
2016-04-20,5.9
2016-04-21,5.7
2016-04-22,5.95
2016-04-25,6.2
2016-04-26,6.5
2016-04-27,6.7
2016-04-28,7.0
2016-04-29,7.1
2016-05-02,7.4
2016-05-03,7.1
2016-05-04,7.2
2016-05-05,6.85
2016-05-06,6.65
2016-05-09,6.4
2016-06-07,6.05
2016-06-08,6.2
2016-06-09,6.05
2016-06-10,5.85
2016-06-13,5.7
2016-06-14,5.5
2016-06-15,5.75
2016-06-16,5.8
2016-06-17,5.85
2016-06-20,5.95
2016-06-21,5.9
2016-06-22,5.65
2016-06-23,5.5
2016-06-24,5.6
2016-06-27,5.45
2016-06-28,5.3
2016-06-29,5.3
2016-06-30,5.45
2016-07-01,5.65
2016-07-04,5.9
2016-07-05,5.55
2016-07-07,6.0
2016-07-08,6.35
2016-07-11,6.9
2016-07-12,6.75
2016-07-13,6.65
2016-07-14,6.6
2016-07-15,6.25
2016-07-18,6.45
2016-07-19,6.45
2016-07-20,6.35
2016-07-21,5.95
2016-07-22,5.95
2016-07-25,6.5
2016-07-26,7.15
2016-07-27,7.55
2016-07-28,6.95
2016-07-29,7.1
2016-08-01,7.15
2016-08-02,7.1
2016-08-03,7.1
2016-08-04,7.1
2016-08-05,7.95
2016-08-08,9.0
2016-08-09,9.0
2016-08-10,9.3
2016-08-11,9.5
2016-08-12,9.65
2016-08-16,9.25
2016-08-17,9.45
2016-08-18,9.2
2016-08-19,9.75
2016-08-22,10.7
2016-08-23,11.3
2016-08-24,11.0
2016-08-25,11.45
2016-08-26,12.5
2016-08-29,12.9
2016-08-30,14.05
2016-08-31,14.75
2016-09-01,15.05
2016-09-02,15.3
2016-09-06,16.0
2016-09-07,16.0
2016-09-08,15.9
2016-09-09,16.3
2016-09-12,16.3
2016-09-14,16.85
2016-09-15,17.65
2016-09-16,18.45
2016-09-19,19.3
2016-09-20,19.15
2016-09-21,18.6
2016-09-22,18.65
2016-09-23,19.2
2016-09-26,19.3
2016-09-27,18.8
2016-09-28,18.5
2016-09-29,17.6
2016-09-30,18.2
2016-10-03,19.05
2016-10-04,19.7
2016-10-05,19.3
2016-10-06,19.2
2016-10-07,19.45
2016-10-10,20.05
2016-10-13,19.95
2016-10-14,19.35
2016-10-17,18.75
2016-10-18,19.8
2016-10-19,19.75
2016-10-20,19.45
2016-10-21,20.05
2016-10-24,20.05
2016-10-25,19.6
2016-10-26,19.0
2016-10-27,18.25
2016-10-28,19.5
2016-10-30,19.05
2016-11-01,17.7
2016-11-02,16.95
2016-11-03,16.65
2016-11-04,15.6
2016-11-07,12.5
2016-11-08,12.7
2016-11-09,11.15
2016-11-10,12.25
2016-11-11,11.4
2016-11-15,10.6
2016-11-16,9.55
2016-11-17,8.6
2016-11-18,8.2
2016-11-21,7.8
2016-11-22,7.45
2016-11-23,7.1
2016-11-24,6.75
2016-11-25,6.45
2016-11-28,6.15
2016-11-29,5.85
2016-11-30,5.6
2016-12-01,5.35
2016-12-02,5.1
2016-12-05,4.85
2016-12-06,4.65
2016-12-07,4.45
2016-12-08,4.25
2016-12-09,4.45
2016-12-12,4.65
2016-12-13,4.85
2016-12-14,5.05
2016-12-15,5.3
2016-12-16,5.55
2016-12-19,5.3
2016-12-20,5.05
2016-12-21,4.8
2016-12-22,4.6
2016-12-23,4.4
2016-12-26,4.2
2016-12-27,4.4
2016-12-28,4.6
2016-12-29,4.8
2016-12-30,4.95
