Date,TATACOMM
2016-01-01,434.3
2016-01-04,429.2
2016-01-05,437.0
2016-01-06,440.8
2016-01-07,426.75
2016-01-08,436.1
2016-01-11,433.05
2016-01-12,432.7
2016-01-13,434.95
2016-01-14,432.6
2016-01-15,414.3
2016-01-18,400.3
2016-01-19,405.25
2016-01-20,391.3
2016-01-21,397.05
2016-01-22,402.95
2016-01-25,404.8
2016-01-27,398.85
2016-01-28,401.0
2016-01-29,400.0
2016-02-01,410.45
2016-02-02,405.55
2016-02-03,380.4
2016-02-04,367.8
2016-02-05,377.3
2016-02-08,383.15
2016-02-09,382.05
2016-02-10,371.9
2016-02-11,360.2
2016-02-12,358.05
2016-02-15,360.95
2016-02-16,352.75
2016-02-17,348.8
2016-02-18,341.5
2016-02-19,345.25
2016-02-22,349.95
2016-02-23,345.6
2016-02-24,341.4
2016-02-25,330.7
2016-02-26,333.5
2016-02-29,330.9
2016-03-01,332.65
2016-03-02,340.7
2016-03-03,356.7
2016-03-04,353.75
2016-03-08,343.35
2016-03-09,353.3
2016-03-10,359.5
2016-03-11,359.15
2016-03-14,360.2
2016-03-15,360.1
2016-03-16,359.8
2016-03-17,361.5
2016-03-18,365.05
2016-03-21,366.6
2016-03-22,366.3
2016-03-23,374.25
2016-03-28,373.05
2016-03-29,368.45
2016-03-30,381.9
2016-03-31,377.6
2016-04-01,384.1
2016-04-04,386.45
2016-04-05,385.3
2016-04-06,388.35
2016-04-07,380.9
2016-04-08,384.6
2016-04-11,388.45
2016-04-12,392.65
2016-04-13,404.5
2016-04-18,402.9
2016-04-20,414.0
2016-04-21,409.4
2016-04-22,408.6
2016-04-25,416.5
2016-04-26,420.15
2016-04-27,419.3
2016-04-28,411.95
2016-04-29,413.2
2016-05-02,419.8
2016-05-03,425.4
2016-05-04,425.85
2016-05-05,424.15
2016-05-06,423.45
2016-05-09,428.25
2016-05-10,437.15
2016-05-11,430.1
2016-05-12,435.25
2016-05-13,438.95
2016-05-16,435.0
2016-05-17,432.45
2016-05-18,450.7
2016-05-19,444.1
2016-05-20,446.1
2016-05-23,449.65
2016-05-24,447.8
2016-05-25,458.85
2016-05-26,457.55
2016-05-27,459.4
2016-05-30,472.9
2016-05-31,457.25
2016-06-01,446.45
2016-06-02,445.85
2016-06-03,441.75
2016-06-06,439.15
2016-06-07,452.1
2016-06-08,452.3
2016-06-09,447.95
2016-06-10,445.35
2016-06-13,438.7
2016-06-14,440.1
2016-06-15,450.05
2016-06-16,443.05
2016-06-17,449.1
2016-06-20,453.65
2016-06-21,458.25
2016-06-22,455.35
2016-06-23,453.4
2016-06-24,447.8
2016-06-27,450.05
2016-06-28,459.8
2016-06-29,472.55
2016-06-30,480.45
2016-07-01,478.9
2016-07-04,487.25
2016-07-05,488.85
2016-07-07,481.85
2016-07-08,479.1
2016-07-11,485.0
2016-07-12,486.45
2016-07-13,473.05
2016-07-14,461.9
2016-07-15,464.75
2016-07-18,458.1
2016-07-19,463.1
2016-07-20,466.8
2016-07-21,455.15
2016-07-22,460.65
2016-07-25,464.55
2016-07-26,458.55
2016-07-27,452.6
2016-07-28,445.1
2016-07-29,440.6
2016-08-01,433.8
2016-08-02,460.8
2016-08-03,451.85
2016-08-04,448.4
2016-08-05,451.85
2016-08-08,465.9
2016-08-09,456.75
2016-08-10,482.6
2016-08-11,481.5
2016-08-12,479.35
2016-08-16,479.45
2016-08-17,490.05
2016-08-18,492.95
2016-08-19,504.9
2016-08-22,499.5
2016-08-23,499.05
2016-08-24,503.85
2016-08-25,502.8
2016-08-26,524.5
2016-08-29,526.9
2016-08-30,525.2
2016-08-31,526.05
2016-09-01,511.15
2016-09-02,517.25
2016-09-06,518.6
2016-09-07,519.35
2016-09-08,524.95
2016-09-09,512.6
2016-09-12,495.95
2016-09-14,505.25
2016-09-15,501.85
2016-09-16,499.5
2016-09-19,522.05
2016-09-20,527.3
2016-09-21,525.95
2016-09-22,533.6
2016-09-23,531.65
2016-09-26,524.6
2016-09-27,524.55
2016-09-28,543.2
2016-09-29,513.65
2016-09-30,565.65
2016-10-03,568.7
2016-10-04,574.7
2016-10-05,609.95
2016-10-06,610.05
2016-10-07,611.5
2016-10-10,646.6
2016-10-13,651.2
2016-10-14,652.35
2016-10-17,641.05
2016-10-18,638.95
2016-10-19,646.25
2016-10-20,641.65
2016-10-21,680.05
2016-10-24,668.5
2016-10-25,655.1
2016-10-26,633.7
2016-10-27,626.7
2016-10-28,635.3
2016-10-30,634.55
2016-11-01,644.1
2016-11-02,625.6
2016-11-03,610.8
2016-11-04,620.25
2016-11-07,606.6
2016-11-08,611.45
2016-11-09,605.5
2016-11-10,635.6
2016-11-11,624.35
2016-11-15,603.8
2016-11-16,605.4
2016-11-17,604.35
2016-11-18,609.65
2016-11-21,597.4
2016-11-22,627.7
2016-11-23,635.5
2016-11-24,633.45
2016-11-25,637.95
2016-11-28,660.7
2016-11-29,648.8
2016-11-30,657.95
2016-12-01,665.45
2016-12-02,628.65
2016-12-05,637.05
2016-12-06,638.85
2016-12-07,635.7
2016-12-08,643.35
2016-12-09,640.55
2016-12-12,625.0
2016-12-13,629.9
2016-12-14,620.05
2016-12-15,631.55
2016-12-16,648.65
2016-12-19,644.4
2016-12-20,629.65
2016-12-21,631.45
2016-12-22,628.75
2016-12-23,625.15
2016-12-26,603.4
2016-12-27,619.3
2016-12-28,605.85
2016-12-29,616.75
2016-12-30,627.6
