Date,KESORAMIND
2016-01-05,113.1
2016-01-06,118.15
2016-01-07,112.8
2016-01-08,118.4
2016-01-11,118.2
2016-01-12,114.45
2016-01-13,110.1
2016-01-14,106.7
2016-01-15,101.5
2016-01-18,96.45
2016-01-19,98.7
2016-01-20,95.65
2016-01-21,94.2
2016-01-22,93.1
2016-01-25,93.05
2016-01-27,93.4
2016-01-28,93.55
2016-01-29,93.05
2016-02-01,93.4
2016-02-02,90.7
2016-02-03,87.05
2016-02-04,84.05
2016-02-05,86.5
2016-02-08,85.15
2016-02-09,82.6
2016-02-10,79.7
2016-02-11,75.75
2016-02-12,74.95
2016-02-15,78.65
2016-02-16,81.9
2016-02-17,80.25
2016-02-18,81.7
2016-02-19,82.85
2016-02-22,86.95
2016-02-23,85.85
2016-02-24,82.55
2016-02-25,81.4
2016-02-26,81.25
2016-02-29,85.05
2016-03-01,85.5
2016-03-02,87.0
2016-03-03,91.35
2016-03-04,90.2
2016-03-08,89.6
2016-03-09,89.1
2016-03-10,91.8
2016-03-11,89.45
2016-03-14,88.2
2016-03-15,86.65
2016-03-16,87.65
2016-03-17,86.55
2016-03-18,88.0
2016-03-21,92.45
2016-03-22,101.65
2016-03-23,103.5
2016-03-28,105.1
2016-03-29,104.3
2016-03-30,105.45
2016-03-31,102.65
2016-04-01,106.65
2016-04-04,105.35
2016-04-05,102.85
2016-04-06,112.35
2016-04-07,109.25
2016-04-08,115.3
2016-04-11,115.55
2016-04-12,117.5
2016-04-13,117.35
2016-04-18,115.65
2016-04-20,116.5
2016-04-21,114.7
2016-04-22,118.4
2016-04-25,121.4
2016-04-26,122.75
2016-04-27,121.25
2016-04-28,117.85
2016-04-29,116.85
2016-05-02,116.5
2016-05-03,116.85
2016-05-04,112.7
2016-05-05,111.65
2016-05-06,112.45
2016-05-09,111.9
2016-05-10,111.2
2016-05-11,110.65
2016-05-12,112.6
2016-05-13,110.15
2016-05-16,109.45
2016-05-17,108.85
2016-05-18,107.7
2016-05-19,110.1
2016-05-20,107.9
2016-05-23,107.1
2016-05-24,107.05
2016-05-25,113.45
2016-05-26,108.9
2016-05-27,108.95
2016-05-30,109.4
2016-05-31,111.25
2016-06-01,112.35
2016-06-02,113.95
2016-06-03,111.4
2016-06-06,109.9
2016-06-07,109.3
2016-06-08,110.85
2016-06-09,125.35
2016-06-10,124.45
2016-06-13,129.5
2016-06-14,135.55
2016-06-15,134.25
2016-06-16,129.15
2016-06-17,130.7
2016-06-20,130.5
2016-06-21,129.95
2016-06-22,126.45
2016-06-23,126.15
2016-06-24,125.05
2016-06-27,129.7
2016-06-28,129.2
2016-06-29,133.0
2016-06-30,133.25
2016-07-01,131.55
2016-07-04,134.5
2016-07-05,132.45
2016-07-07,139.75
2016-07-08,142.05
2016-07-11,139.35
2016-07-12,139.7
2016-07-13,136.15
2016-07-14,136.65
2016-07-15,140.8
2016-07-18,141.65
2016-07-19,142.1
2016-07-20,147.75
2016-07-21,146.5
2016-07-22,148.1
2016-07-25,149.35
2016-07-26,145.85
2016-07-27,146.45
2016-07-28,145.8
2016-07-29,142.65
2016-08-01,138.65
2016-08-02,135.5
2016-08-03,132.0
2016-08-04,132.5
2016-08-05,144.35
2016-08-08,142.15
2016-08-09,140.6
2016-08-10,141.35
2016-08-11,137.3
2016-08-12,130.9
2016-08-16,130.55
2016-08-17,135.85
2016-08-18,140.2
2016-08-19,137.8
2016-08-22,138.9
2016-08-23,140.25
2016-08-24,143.9
2016-08-25,140.9
2016-08-26,142.0
2016-08-29,143.3
2016-08-30,148.65
2016-08-31,146.1
2016-09-01,143.2
2016-09-02,143.35
2016-09-06,153.4
2016-09-07,153.55
2016-09-08,152.55
2016-09-09,150.6
2016-09-12,141.2
2016-09-14,148.7
2016-09-15,147.25
2016-09-16,149.25
2016-09-19,154.7
2016-09-20,153.55
2016-09-21,150.55
2016-09-22,156.3
2016-09-23,162.5
2016-09-26,171.85
2016-09-27,169.0
2016-09-28,179.9
2016-09-29,162.65
2016-09-30,175.5
2016-10-03,190.25
2016-10-04,198.0
2016-10-05,195.15
2016-10-06,188.4
2016-10-07,186.75
2016-10-10,188.25
2016-10-13,181.1
2016-10-14,184.05
2016-10-17,180.2
2016-10-18,182.65
2016-10-19,185.75
2016-10-20,183.5
2016-10-21,179.85
2016-10-24,175.7
2016-10-25,174.95
2016-10-26,172.9
2016-10-27,167.75
2016-10-28,174.3
2016-10-30,174.8
2016-11-01,182.05
2016-11-02,172.95
2016-11-03,168.65
2016-11-04,162.5
2016-11-07,163.05
2016-11-08,163.15
2016-11-09,154.0
2016-11-10,150.55
2016-11-11,142.0
2016-11-15,130.65
2016-11-16,132.85
2016-11-17,129.75
2016-11-18,130.65
2016-11-21,122.5
2016-11-22,124.4
2016-11-23,132.0
2016-11-24,131.45
2016-11-25,138.55
2016-11-28,139.6
2016-11-29,140.45
2016-11-30,144.1
2016-12-01,140.55
2016-12-02,135.6
2016-12-05,139.0
2016-12-06,139.15
2016-12-07,136.25
2016-12-08,136.55
2016-12-09,137.05
2016-12-12,134.65
2016-12-13,134.25
2016-12-14,130.8
2016-12-15,130.85
2016-12-16,129.25
2016-12-19,129.15
2016-12-20,128.45
2016-12-21,128.1
2016-12-22,126.55
2016-12-23,123.95
2016-12-26,119.0
2016-12-27,122.8
2016-12-28,122.5
2016-12-29,123.15
2016-12-30,124.35
