Date,VSTTILLERS
2016-01-01,1409.0
2016-01-04,1399.8
2016-01-05,1402.2
2016-01-06,1402.0
2016-01-07,1427.0
2016-01-08,1522.45
2016-01-11,1521.6
2016-01-12,1478.15
2016-01-13,1429.75
2016-01-14,1410.55
2016-01-15,1378.15
2016-01-18,1359.05
2016-01-19,1378.25
2016-01-20,1325.75
2016-01-21,1363.35
2016-01-22,1519.9
2016-01-25,1424.4
2016-01-27,1407.0
2016-01-28,1398.65
2016-01-29,1491.8
2016-02-01,1474.5
2016-02-02,1419.85
2016-02-03,1478.15
2016-02-04,1410.6
2016-02-05,1447.75
2016-02-08,1416.45
2016-02-09,1400.85
2016-02-10,1392.15
2016-02-11,1340.3
2016-02-12,1423.6
2016-02-15,1423.55
2016-02-16,1375.3
2016-02-17,1351.15
2016-02-18,1379.2
2016-02-19,1378.1
2016-02-22,1411.85
2016-02-23,1410.2
2016-02-24,1391.8
2016-02-25,1411.85
2016-02-26,1386.8
2016-02-29,1386.9
2016-03-01,1404.45
2016-03-02,1426.6
2016-03-03,1441.3
2016-03-04,1447.3
2016-03-08,1459.3
2016-03-09,1443.15
2016-03-10,1429.75
2016-03-11,1438.15
2016-03-14,1454.1
2016-03-15,1476.5
2016-03-16,1489.2
2016-03-17,1511.95
2016-03-18,1517.6
2016-03-21,1518.75
2016-03-22,1515.9
2016-03-23,1519.15
2016-03-28,1519.4
2016-03-29,1507.1
2016-03-30,1517.9
2016-03-31,1488.8
2016-04-01,1487.9
2016-04-04,1525.7
2016-04-05,1524.55
2016-04-06,1533.0
2016-04-07,1532.75
2016-04-08,1550.15
2016-04-11,1541.7
2016-04-12,1706.05
2016-04-13,1770.65
2016-04-18,1823.95
2016-04-20,1817.5
2016-04-21,1795.3
2016-04-22,1796.95
2016-04-25,1802.95
2016-04-26,1798.4
2016-04-27,1800.3
2016-04-28,1791.45
2016-04-29,1775.45
2016-05-02,1820.2
2016-05-03,1771.2
2016-05-04,1796.6
2016-05-05,1783.15
2016-05-06,1803.95
2016-05-09,1831.45
2016-05-10,1831.05
2016-05-11,1833.8
2016-05-12,1880.4
2016-05-13,1864.8
2016-05-16,1851.7
2016-05-17,1859.5
2016-05-18,1891.6
2016-05-19,1854.2
2016-05-20,1842.35
2016-05-23,1800.3
2016-05-24,1805.85
2016-05-25,1814.55
2016-05-26,1829.1
2016-05-27,1881.75
2016-05-30,1820.75
2016-05-31,1826.15
2016-06-01,1848.35
2016-06-02,1859.35
2016-06-03,1851.8
2016-06-06,1852.6
2016-06-07,1878.45
2016-06-08,1877.1
2016-06-09,1878.1
2016-06-10,1923.45
2016-06-13,1914.75
2016-06-14,1917.6
2016-06-15,1933.1
2016-06-16,1922.35
2016-06-17,1907.75
2016-06-20,1894.4
2016-06-21,1866.2
2016-06-22,1925.7
2016-06-23,1933.3
2016-06-24,1927.85
2016-06-27,1947.55
2016-06-28,1947.35
2016-06-29,1946.65
2016-06-30,1960.6
2016-07-01,1966.95
2016-07-04,1963.95
2016-07-05,1962.0
2016-07-07,1942.4
2016-07-08,1958.85
2016-07-11,1961.15
2016-07-12,1980.7
2016-07-13,1967.4
2016-07-14,1988.05
2016-07-15,1980.2
2016-07-18,1992.0
2016-07-19,2016.65
2016-07-20,2014.9
2016-07-21,2013.05
2016-07-22,2015.35
2016-07-25,2012.2
2016-07-26,1998.3
2016-07-27,1968.15
2016-07-28,1954.9
2016-07-29,1938.3
2016-08-01,1827.3
2016-08-02,1833.8
2016-08-03,1842.8
2016-08-04,1836.4
2016-08-05,1826.95
2016-08-08,1840.8
2016-08-09,1850.55
2016-08-10,1830.1
2016-08-11,1812.45
2016-08-12,1825.25
2016-08-16,1823.1
2016-08-17,1834.4
