Date,GLOBALVECT
2016-01-01,121.4
2016-01-04,121.1
2016-01-05,124.3
2016-01-06,135.3
2016-01-07,143.85
2016-01-08,136.75
2016-01-11,132.5
2016-01-12,130.25
2016-01-13,123.8
2016-01-14,118.35
2016-01-15,112.45
2016-01-18,106.85
2016-01-19,104.35
2016-01-20,99.15
2016-01-21,96.5
2016-01-22,101.25
2016-01-25,106.3
2016-01-27,111.6
2016-01-28,106.55
2016-01-29,110.85
2016-02-01,106.3
2016-02-02,101.1
2016-02-03,96.4
2016-02-04,92.5
2016-02-05,95.8
2016-02-08,96.3
2016-02-09,95.15
2016-02-10,90.4
2016-02-11,85.9
2016-02-12,81.65
2016-02-15,85.5
2016-02-16,81.25
2016-02-17,78.0
2016-02-18,78.8
2016-02-19,79.35
2016-02-22,78.35
2016-02-23,75.55
2016-02-24,73.2
2016-02-25,71.1
2016-02-26,70.1
2016-02-29,67.05
2016-03-01,70.4
2016-03-02,73.9
2016-03-03,75.75
2016-03-04,76.25
2016-03-08,75.25
2016-03-09,73.9
2016-03-10,74.05
2016-03-11,75.15
2016-03-14,77.95
2016-03-15,81.8
2016-03-16,80.65
2016-03-17,81.05
2016-03-18,80.7
2016-03-21,81.4
2016-03-22,82.15
2016-03-23,81.35
2016-03-28,78.15
2016-03-29,76.7
2016-03-30,80.5
2016-03-31,84.4
2016-04-01,87.8
2016-04-04,89.55
2016-04-05,86.55
2016-04-06,86.05
2016-04-07,85.8
2016-04-08,86.55
2016-04-11,84.5
2016-04-12,87.45
2016-04-13,86.0
2016-04-18,85.9
2016-04-20,84.4
2016-04-21,85.15
2016-04-22,87.0
2016-04-25,89.7
2016-04-26,91.85
2016-04-27,88.5
2016-04-28,85.95
2016-04-29,84.35
2016-05-02,84.45
2016-05-03,85.4
2016-05-04,84.9
2016-05-05,84.65
2016-05-06,85.9
2016-05-09,103.05
2016-05-10,99.2
2016-05-11,100.9
2016-05-12,98.0
2016-05-13,96.25
2016-05-16,97.05
2016-05-17,97.65
2016-05-18,95.9
2016-05-19,93.3
2016-05-20,90.9
2016-05-23,87.75
2016-05-24,90.15
2016-05-25,93.9
2016-05-26,83.4
2016-05-27,82.8
2016-05-30,81.85
2016-05-31,80.35
2016-06-01,78.45
2016-06-02,80.3
2016-06-03,78.5
2016-06-06,78.1
2016-06-07,81.85
2016-06-08,82.05
2016-06-09,82.55
2016-06-10,80.15
2016-06-13,79.65
2016-06-14,77.9
2016-06-15,78.25
2016-06-16,78.15
2016-06-17,78.25
2016-06-20,86.15
2016-06-21,83.05
2016-06-22,80.95
2016-06-23,80.05
2016-06-24,78.15
2016-06-27,79.55
2016-06-28,81.6
2016-06-29,82.25
2016-06-30,81.3
2016-07-01,81.45
2016-07-04,83.8
2016-07-05,84.65
2016-07-07,82.5
2016-07-08,80.95
2016-07-11,82.45
2016-07-12,78.85
2016-07-13,79.45
2016-07-14,79.25
2016-07-15,77.2
2016-07-18,75.85
2016-07-19,75.65
2016-07-20,76.95
2016-07-21,77.05
2016-07-22,77.35
2016-07-25,76.4
2016-07-26,71.05
2016-07-27,72.2
2016-07-28,76.5
2016-07-29,77.55
2016-08-01,75.9
2016-08-02,73.85
2016-08-03,71.65
2016-08-04,69.45
2016-08-05,70.9
2016-08-08,72.35
2016-08-09,73.5
2016-08-10,71.4
2016-08-11,67.4
2016-08-12,67.15
2016-08-16,67.7
2016-08-17,67.8
2016-08-18,66.7
2016-08-19,66.05
2016-08-22,65.3
2016-08-23,64.1
2016-08-24,63.45
2016-08-25,63.15
2016-08-26,63.75
2016-08-29,65.6
2016-08-30,69.25
2016-08-31,65.9
2016-09-01,66.6
2016-09-02,66.0
2016-09-06,66.85
2016-09-07,67.35
2016-09-08,67.35
2016-09-09,66.3
2016-09-12,65.4
2016-09-14,66.05
2016-09-15,66.05
2016-09-16,66.15
2016-09-19,67.2
2016-09-20,68.4
2016-09-21,82.05
2016-09-22,78.45
2016-09-23,78.6
2016-09-26,75.45
2016-09-27,77.2
2016-09-28,76.0
2016-09-29,68.7
2016-09-30,74.1
2016-10-03,74.05
2016-10-04,74.4
2016-10-05,76.45
2016-10-06,78.2
2016-10-07,78.6
2016-10-10,78.2
2016-10-13,74.7
2016-10-14,81.95
2016-10-17,79.5
2016-10-18,79.2
2016-10-19,86.35
2016-10-20,92.8
2016-10-21,100.7
2016-10-24,96.1
2016-10-25,96.2
2016-10-26,92.8
2016-10-27,91.6
2016-10-28,93.25
2016-10-30,96.3
2016-11-01,95.7
2016-11-02,91.85
2016-11-03,89.8
2016-11-04,85.55
2016-11-07,86.9
2016-11-08,85.1
2016-11-09,89.0
2016-11-10,90.6
2016-11-11,97.0
2016-11-15,85.8
2016-11-16,85.2
2016-11-17,81.45
2016-11-18,79.35
2016-11-21,73.75
2016-11-22,75.8
2016-11-23,78.05
2016-11-24,76.8
2016-11-25,79.7
2016-11-28,83.15
2016-11-29,82.25
2016-11-30,86.8
2016-12-01,85.05
2016-12-02,85.85
2016-12-05,84.55
2016-12-06,88.7
2016-12-07,89.35
2016-12-08,90.55
2016-12-09,90.0
2016-12-12,87.65
2016-12-13,86.9
2016-12-14,86.0
2016-12-15,85.75
2016-12-16,84.85
2016-12-19,84.1
2016-12-20,83.4
2016-12-21,83.45
2016-12-22,79.85
2016-12-23,82.0
2016-12-26,80.0
2016-12-27,80.1
2016-12-28,80.55
2016-12-29,80.3
2016-12-30,80.75
