Date,FINCABLES
2016-01-01,254.75
2016-01-04,250.7
2016-01-05,249.55
2016-01-06,257.0
2016-01-07,253.1
2016-01-08,259.0
2016-01-11,251.55
2016-01-12,248.35
2016-01-13,243.3
2016-01-14,241.0
2016-01-15,233.15
2016-01-18,221.7
2016-01-19,219.05
2016-01-20,209.85
2016-01-21,219.25
2016-01-22,223.7
2016-01-25,230.95
2016-01-27,233.35
2016-01-28,224.8
2016-01-29,232.1
2016-02-01,227.9
2016-02-02,232.25
2016-02-03,227.85
2016-02-04,229.5
2016-02-05,226.1
2016-02-08,227.1
2016-02-09,225.25
2016-02-10,223.25
2016-02-11,220.5
2016-02-12,220.8
2016-02-15,229.35
2016-02-16,227.65
2016-02-17,227.65
2016-02-18,236.8
2016-02-19,237.35
2016-02-22,236.55
2016-02-23,237.05
2016-02-24,237.15
2016-02-25,237.9
2016-02-26,240.2
2016-02-29,238.0
2016-03-01,237.3
2016-03-02,236.2
2016-03-03,238.6
2016-03-04,234.45
2016-03-08,229.15
2016-03-09,231.7
2016-03-10,231.8
2016-03-11,230.6
2016-03-14,233.3
2016-03-15,239.55
2016-03-16,243.85
2016-03-17,242.75
2016-03-18,241.9
2016-03-21,257.1
2016-03-22,264.9
2016-03-23,258.85
2016-03-28,257.2
2016-03-29,265.6
2016-03-30,287.4
2016-03-31,281.2
2016-04-01,287.35
2016-04-04,288.6
2016-04-05,285.2
2016-04-06,283.85
2016-04-07,280.8
2016-04-08,282.0
2016-04-11,281.3
2016-04-12,281.45
2016-04-13,282.65
2016-04-18,281.85
2016-04-20,289.75
2016-04-21,285.3
2016-04-22,282.0
2016-04-25,280.95
2016-04-26,279.95
2016-04-27,280.25
2016-04-28,287.45
2016-04-29,286.55
2016-05-02,283.0
2016-05-03,282.2
2016-05-04,279.1
2016-05-05,274.55
2016-05-06,275.55
2016-05-09,280.75
2016-05-10,288.65
2016-05-11,287.0
2016-05-12,292.0
2016-05-13,286.05
2016-05-16,281.8
2016-05-17,287.7
2016-05-18,285.05
2016-05-19,284.5
2016-05-20,283.7
2016-05-23,288.2
2016-05-24,291.9
2016-05-25,291.45
2016-05-26,305.8
2016-05-27,337.0
2016-05-30,341.95
2016-05-31,352.5
2016-06-01,348.05
2016-06-02,349.15
2016-06-03,347.85
2016-06-06,342.55
2016-06-07,356.35
2016-06-08,364.5
2016-06-09,358.65
2016-06-10,358.15
2016-06-13,347.45
2016-06-14,346.45
2016-06-15,351.4
2016-06-16,361.55
2016-06-17,370.0
2016-06-20,359.8
2016-06-21,350.45
2016-06-22,350.55
2016-06-23,350.0
2016-06-24,345.95
2016-06-27,352.6
2016-06-28,347.65
2016-06-29,353.05
2016-06-30,363.85
2016-07-01,360.0
2016-07-04,369.1
2016-07-05,372.7
2016-07-07,373.0
2016-07-08,376.05
2016-07-11,369.65
2016-07-12,374.7
2016-07-13,378.35
2016-07-14,380.2
2016-07-15,376.9
2016-07-18,378.7
2016-07-19,371.45
2016-07-20,372.8
2016-07-21,384.05
2016-07-22,391.25
2016-07-25,393.65
2016-07-26,394.9
2016-07-27,391.25
2016-07-28,388.2
2016-07-29,393.55
2016-08-01,401.6
2016-08-02,393.25
2016-08-03,383.15
2016-08-04,390.85
2016-08-05,392.1
2016-08-08,396.0
2016-08-09,390.75
2016-08-10,405.2
2016-08-11,404.7
2016-08-12,414.3
2016-08-16,417.4
2016-08-17,427.4
2016-08-18,429.2
2016-08-19,436.7
2016-08-22,435.2
2016-08-23,429.05
2016-08-24,431.3
2016-08-25,427.1
2016-08-26,429.2
2016-08-29,430.45
2016-08-30,437.3
2016-08-31,444.15
2016-09-01,435.6
2016-09-02,425.7
2016-09-06,424.85
2016-09-07,427.6
2016-09-08,433.85
2016-09-09,420.45
2016-09-12,431.1
2016-09-14,428.35
2016-09-15,429.1
2016-09-16,443.3
2016-09-19,432.7
2016-09-20,439.15
2016-09-21,434.65
2016-09-22,436.95
2016-09-23,442.25
2016-09-26,431.9
2016-09-27,437.1
2016-09-28,436.85
2016-09-29,445.3
2016-09-30,442.0
2016-10-03,440.05
2016-10-04,447.5
2016-10-05,449.65
2016-10-06,444.75
2016-10-07,438.95
2016-10-10,439.25
2016-10-13,439.1
2016-10-14,438.4
2016-10-17,438.55
2016-10-18,434.15
2016-10-19,432.15
2016-10-20,429.95
2016-10-21,427.35
2016-10-24,439.45
2016-10-25,437.1
2016-10-26,438.4
2016-10-27,438.7
2016-10-28,440.55
2016-10-30,449.25
2016-11-01,446.05
2016-11-02,438.9
2016-11-03,438.05
2016-11-04,434.5
2016-11-07,430.95
2016-11-08,430.85
2016-11-09,420.4
2016-11-10,422.6
2016-11-11,425.2
2016-11-15,376.8
2016-11-16,399.45
2016-11-17,391.2
2016-11-18,389.4
2016-11-21,375.9
2016-11-22,387.2
2016-11-23,390.05
2016-11-24,385.8
2016-11-25,402.25
2016-11-28,405.05
2016-11-29,407.45
2016-11-30,415.05
2016-12-01,413.4
2016-12-02,415.6
2016-12-05,410.5
2016-12-06,410.4
2016-12-07,397.6
2016-12-08,427.45
2016-12-09,421.65
2016-12-12,428.55
2016-12-13,420.0
2016-12-14,427.25
2016-12-15,426.7
2016-12-16,411.15
2016-12-19,407.55
2016-12-20,412.4
2016-12-21,408.8
2016-12-22,406.4
2016-12-23,404.15
2016-12-26,420.4
2016-12-27,420.15
2016-12-28,417.1
2016-12-29,412.5
2016-12-30,413.65
