Date,ROSSELLIND
2016-01-01,157.45
2016-01-04,151.85
2016-01-05,155.8
2016-01-06,154.6
2016-01-07,144.05
2016-01-08,146.85
2016-01-11,142.15
2016-01-12,137.6
2016-01-13,130.4
2016-01-14,129.7
2016-01-15,118.0
2016-01-18,107.5
2016-01-19,116.4
2016-01-20,110.4
2016-01-21,111.9
2016-01-22,117.7
2016-01-25,119.1
2016-01-27,117.3
2016-01-28,114.75
2016-01-29,116.15
2016-02-01,115.0
2016-02-02,113.5
2016-02-03,108.0
2016-02-04,110.7
2016-02-05,112.25
2016-02-08,113.4
2016-02-09,108.7
2016-02-10,105.65
2016-02-11,93.45
2016-02-12,96.35
2016-02-15,96.05
2016-02-16,87.5
2016-02-17,82.45
2016-02-18,88.65
2016-02-19,89.5
2016-02-22,90.4
2016-02-23,88.1
2016-02-24,84.55
2016-02-25,84.95
2016-02-26,85.15
2016-02-29,81.25
2016-03-01,85.2
2016-03-02,91.3
2016-03-03,95.9
2016-03-04,95.65
2016-03-08,95.8
2016-03-09,95.5
2016-03-10,95.75
2016-03-11,95.2
2016-03-14,95.55
2016-03-15,93.2
2016-03-16,94.05
2016-03-17,95.4
2016-03-18,95.8
2016-03-21,98.15
2016-03-22,103.55
2016-03-23,105.5
2016-03-28,104.1
2016-03-29,102.45
2016-03-30,105.95
2016-03-31,111.35
2016-04-01,117.75
2016-04-04,120.2
2016-04-05,116.8
2016-04-06,119.9
2016-04-07,120.2
2016-04-08,117.85
2016-04-11,121.55
2016-04-12,122.95
2016-04-13,124.4
2016-04-18,124.8
2016-04-20,125.3
2016-04-21,121.75
2016-04-22,121.2
2016-04-25,120.6
2016-04-26,120.6
2016-04-27,118.7
2016-04-28,118.0
2016-04-29,116.35
2016-05-02,114.65
2016-05-03,116.15
2016-05-04,114.3
2016-05-05,116.0
2016-05-06,113.85
2016-05-09,115.1
2016-05-10,115.55
2016-05-11,115.25
2016-05-12,115.0
2016-05-13,114.85
2016-05-16,114.95
2016-05-17,113.35
2016-05-18,110.0
2016-05-19,109.05
2016-05-20,104.45
2016-05-23,102.1
2016-05-24,100.15
2016-05-25,108.0
2016-05-26,101.95
2016-05-27,102.3
2016-05-30,107.35
2016-05-31,103.25
2016-06-01,103.1
2016-06-02,104.6
2016-06-03,101.9
2016-06-06,97.3
2016-06-07,100.45
2016-06-08,104.95
2016-06-09,111.7
2016-06-10,110.0
2016-06-13,123.0
2016-06-14,118.8
2016-06-15,116.55
2016-06-16,115.65
2016-06-17,112.7
2016-06-20,117.45
2016-06-21,117.65
2016-06-22,116.15
2016-06-23,115.0
2016-06-24,113.1
2016-06-27,113.55
2016-06-28,113.05
2016-06-29,122.65
2016-06-30,124.65
2016-07-01,129.25
2016-07-04,134.05
2016-07-05,130.4
2016-07-07,129.0
2016-07-08,126.85
2016-07-11,127.35
2016-07-12,128.9
2016-07-13,126.0
2016-07-14,126.15
2016-07-15,123.9
2016-07-18,121.35
2016-07-19,121.65
2016-07-20,123.5
2016-07-21,122.05
2016-07-22,119.85
2016-07-25,122.05
2016-07-26,123.2
2016-07-27,121.9
2016-07-28,123.55
2016-07-29,122.8
2016-08-01,120.05
2016-08-02,120.1
2016-08-03,110.85
2016-08-04,103.75
2016-08-05,106.0
2016-08-08,102.1
2016-08-09,105.05
2016-08-10,101.4
2016-08-11,101.9
2016-08-12,101.0
2016-08-16,101.75
2016-08-17,104.75
2016-08-18,103.7
2016-08-19,104.45
2016-08-22,102.9
2016-08-23,99.4
2016-08-24,99.85
2016-08-25,98.9
2016-08-26,100.95
2016-08-29,100.4
2016-08-30,100.0
2016-08-31,100.0
2016-09-01,99.7
2016-09-02,100.25
2016-09-06,95.4
2016-09-07,97.9
2016-09-08,104.6
2016-09-09,102.0
2016-09-12,100.35
2016-09-14,100.25
2016-09-15,99.5
2016-09-16,99.5
2016-09-19,99.3
2016-09-20,97.7
2016-09-21,100.35
2016-09-22,100.6
2016-09-23,99.2
2016-09-26,97.8
2016-09-27,97.45
2016-09-28,116.9
2016-09-29,101.35
2016-09-30,104.55
2016-10-03,108.65
2016-10-04,106.25
2016-10-05,110.1
2016-10-06,107.8
2016-10-07,105.45
2016-10-10,107.55
2016-10-13,103.35
2016-10-14,104.65
2016-10-17,103.6
2016-10-18,104.65
2016-10-19,105.4
2016-10-20,104.2
2016-10-21,105.45
2016-10-24,104.65
2016-10-25,104.65
2016-10-26,103.85
2016-10-27,104.55
2016-10-28,105.95
2016-10-30,107.55
2016-11-01,107.05
2016-11-02,105.1
2016-11-03,105.05
2016-11-04,101.9
2016-11-07,103.35
2016-11-08,103.5
2016-11-09,98.55
2016-11-10,100.9
2016-11-11,98.85
2016-11-15,94.75
2016-11-16,93.15
2016-11-17,89.05
2016-11-18,91.0
2016-11-21,86.0
2016-11-22,86.15
2016-11-23,89.95
2016-11-24,91.0
2016-11-25,91.8
2016-11-28,90.75
2016-11-29,91.8
2016-11-30,91.9
2016-12-01,92.05
2016-12-02,92.0
2016-12-05,90.0
2016-12-06,93.55
2016-12-07,94.85
2016-12-08,94.0
2016-12-09,96.05
2016-12-12,94.85
2016-12-13,96.1
2016-12-14,93.8
2016-12-15,94.3
2016-12-16,92.1
2016-12-19,92.6
2016-12-20,92.1
2016-12-21,92.35
2016-12-22,90.5
2016-12-23,91.15
2016-12-26,88.4
2016-12-27,91.0
2016-12-28,90.7
2016-12-29,92.0
2016-12-30,92.75
