Date,SMSPHARMA
2016-01-01,124.55
2016-01-04,121.05
2016-01-05,121.95
2016-01-06,119.75
2016-01-07,112.3
2016-01-08,113.65
2016-01-11,113.5
2016-01-12,111.35
2016-01-13,105.25
2016-01-14,105.8
2016-01-15,98.8
2016-01-18,91.05
2016-01-19,103.0
2016-01-20,98.45
2016-01-21,100.2
2016-01-22,102.75
2016-01-25,103.8
2016-01-27,103.75
2016-01-28,102.35
2016-01-29,102.5
2016-02-01,103.05
2016-02-02,102.05
2016-02-03,98.55
2016-02-04,92.75
2016-02-05,94.2
2016-02-08,95.15
2016-02-09,91.45
2016-02-10,88.65
2016-02-11,78.95
2016-02-12,83.5
2016-02-15,84.55
2016-02-16,77.55
2016-02-17,80.65
2016-02-18,80.6
2016-02-19,79.4
2016-02-22,79.8
2016-02-23,79.4
2016-02-24,78.7
2016-02-25,76.65
2016-02-26,77.7
2016-02-29,77.55
2016-03-01,81.05
2016-03-02,88.6
2016-03-03,87.3
2016-03-04,89.8
2016-03-08,89.9
2016-03-09,89.6
2016-03-10,90.1
2016-03-11,89.35
2016-03-14,89.45
2016-03-15,88.1
2016-03-16,86.5
2016-03-17,85.5
2016-03-18,85.85
2016-03-21,85.3
2016-03-22,85.3
2016-03-23,84.25
2016-03-28,80.9
2016-03-29,83.95
2016-03-30,87.1
2016-03-31,83.2
2016-04-01,84.75
2016-04-04,83.0
2016-04-05,81.3
2016-04-06,81.2
2016-04-07,81.55
2016-04-08,82.9
2016-04-11,82.65
2016-04-12,83.9
2016-04-13,85.2
2016-04-18,85.6
2016-04-20,87.9
2016-04-21,88.85
2016-04-22,88.8
2016-04-25,87.9
2016-04-26,88.8
2016-04-27,88.6
2016-04-28,93.1
2016-04-29,94.55
2016-05-02,93.7
2016-05-03,93.3
2016-05-04,92.3
2016-05-05,90.4
2016-05-06,89.8
2016-05-09,90.9
2016-05-10,92.1
2016-05-11,92.45
2016-05-12,95.0
2016-05-13,97.85
2016-05-16,92.2
2016-05-17,93.05
2016-05-18,95.0
2016-05-19,92.0
2016-05-20,90.1
2016-05-23,90.95
2016-05-24,87.45
2016-05-25,88.85
2016-05-26,89.55
2016-05-27,90.3
2016-05-30,89.65
2016-05-31,91.6
2016-06-01,90.7
2016-06-02,90.05
2016-06-03,93.6
2016-06-06,92.65
2016-06-07,91.75
2016-06-08,93.8
2016-06-09,93.95
2016-06-10,93.7
2016-06-13,95.0
2016-06-14,93.95
2016-06-15,92.95
2016-06-16,92.5
2016-06-17,91.85
2016-06-20,91.35
2016-06-21,91.3
2016-06-22,92.4
2016-06-23,91.15
2016-06-24,89.75
2016-06-27,90.05
2016-06-28,89.4
2016-06-29,90.1
2016-06-30,91.8
2016-07-01,90.75
2016-07-04,94.05
2016-07-05,90.5
2016-07-07,92.95
2016-07-08,92.65
2016-07-11,93.05
2016-07-12,92.65
2016-07-13,91.35
2016-07-14,91.6
2016-07-15,91.65
2016-07-18,90.75
2016-07-19,91.85
2016-07-20,92.7
2016-07-21,92.55
2016-07-22,92.65
2016-07-25,93.6
2016-07-26,94.25
2016-07-27,93.45
2016-07-28,94.8
2016-07-29,95.7
2016-08-01,93.95
2016-08-02,89.85
2016-08-03,89.9
2016-08-04,92.25
2016-08-05,90.95
2016-08-08,89.25
2016-08-09,89.3
2016-08-10,88.55
2016-08-11,88.15
2016-08-12,88.6
2016-08-16,86.75
2016-08-17,88.5
2016-08-18,88.3
2016-08-19,92.7
2016-08-22,91.4
2016-08-23,91.85
2016-08-24,90.8
2016-08-25,91.0
2016-08-26,90.65
2016-08-29,91.85
2016-08-30,89.6
2016-08-31,90.6
2016-09-01,88.75
2016-09-02,87.5
2016-09-06,87.45
2016-09-07,88.4
2016-09-08,88.45
2016-09-09,88.8
2016-09-12,92.0
2016-09-14,91.6
2016-09-15,90.7
2016-09-16,91.35
2016-09-19,98.65
2016-09-20,103.2
2016-09-21,105.5
2016-09-22,105.15
2016-09-23,101.1
2016-09-26,98.6
2016-09-27,105.65
2016-09-28,106.25
2016-09-29,95.5
2016-09-30,101.35
2016-10-03,108.45
2016-10-04,104.95
2016-10-05,113.85
2016-10-06,108.65
2016-10-07,107.95
2016-10-10,107.55
2016-10-13,102.6
2016-10-14,103.5
2016-10-17,101.95
2016-10-18,103.15
2016-10-19,103.5
2016-10-20,102.7
2016-10-21,107.5
2016-10-24,108.65
2016-10-25,110.65
2016-10-26,110.2
2016-10-27,110.1
2016-10-28,109.35
2016-10-30,109.75
2016-11-01,108.2
2016-11-02,105.8
2016-11-03,104.9
2016-11-04,99.4
2016-11-07,101.75
2016-11-08,101.2
2016-11-09,98.2
2016-11-10,100.75
2016-11-11,96.05
2016-11-15,89.45
2016-11-16,90.25
2016-11-17,89.6
2016-11-18,89.85
2016-11-21,84.4
2016-11-22,86.8
2016-11-23,89.85
2016-11-24,88.5
2016-11-25,91.6
2016-11-28,95.15
2016-11-29,95.05
2016-11-30,94.45
2016-12-01,93.2
2016-12-02,92.3
2016-12-05,92.5
2016-12-06,92.95
2016-12-07,93.15
2016-12-08,93.2
2016-12-09,93.05
2016-12-12,92.9
2016-12-13,92.15
2016-12-14,91.25
2016-12-15,91.8
2016-12-16,92.6
2016-12-19,92.7
2016-12-20,91.4
2016-12-21,89.9
2016-12-22,88.15
2016-12-23,86.7
2016-12-26,83.45
2016-12-27,86.3
2016-12-28,89.05
2016-12-29,87.15
2016-12-30,88.3
