Date,FLFL
2016-01-01,85.25
2016-01-04,86.05
2016-01-05,91.7
2016-01-06,88.1
2016-01-07,86.05
2016-01-08,93.4
2016-01-11,89.55
2016-01-12,84.2
2016-01-13,81.1
2016-01-14,82.15
2016-01-15,77.75
2016-01-18,75.85
2016-01-19,76.8
2016-01-20,74.45
2016-01-21,78.05
2016-01-22,81.15
2016-01-25,82.6
2016-01-27,85.2
2016-01-28,84.0
2016-01-29,84.55
2016-02-01,86.6
2016-02-02,85.85
2016-02-03,83.15
2016-02-04,83.55
2016-02-05,84.5
2016-02-08,83.05
2016-02-09,81.4
2016-02-10,81.95
2016-02-11,79.1
2016-02-12,77.45
2016-02-15,78.95
2016-02-16,76.1
2016-02-17,74.85
2016-02-18,73.6
2016-02-19,73.8
2016-02-22,73.25
2016-02-23,74.45
2016-02-24,71.9
2016-02-25,71.3
2016-02-26,73.6
2016-02-29,70.8
2016-03-01,77.85
2016-03-02,79.85
2016-03-03,80.95
2016-03-04,80.15
2016-03-08,78.7
2016-03-09,78.0
2016-03-10,78.25
2016-03-11,77.0
2016-03-14,81.4
2016-03-15,78.1
2016-03-16,78.75
2016-03-17,78.4
2016-03-18,78.9
2016-03-21,77.6
2016-03-22,78.05
2016-03-23,77.9
2016-03-28,77.0
2016-03-29,75.85
2016-03-30,77.55
2016-03-31,79.5
2016-04-01,78.55
2016-04-04,78.7
2016-04-05,77.7
2016-04-06,80.0
2016-04-07,79.9
2016-04-08,80.35
2016-04-11,81.35
2016-04-12,82.05
2016-04-13,84.8
2016-04-18,84.25
2016-04-20,86.25
2016-04-21,82.75
2016-04-22,86.25
2016-04-25,96.35
2016-04-26,91.35
2016-04-27,89.6
2016-04-28,90.55
2016-04-29,90.9
2016-05-02,93.15
2016-05-03,94.65
2016-05-04,94.8
2016-05-05,94.8
2016-05-06,94.85
2016-05-09,99.25
2016-05-10,100.5
2016-05-11,102.3
2016-05-12,107.95
2016-05-13,104.65
2016-05-16,104.1
2016-05-17,110.15
2016-05-18,115.8
2016-05-19,116.85
2016-05-20,111.65
2016-05-23,111.6
2016-05-24,109.45
2016-05-25,112.75
2016-05-26,111.25
2016-05-27,111.4
2016-05-30,108.65
2016-05-31,105.1
2016-06-01,106.75
2016-06-02,105.85
2016-06-03,107.5
2016-06-06,112.2
2016-06-07,113.55
2016-06-08,113.6
2016-06-09,112.15
2016-06-10,111.75
2016-06-13,111.5
2016-06-14,111.55
2016-06-15,111.45
2016-06-16,111.85
2016-06-17,111.5
2016-06-20,115.8
2016-06-21,117.55
2016-06-22,113.75
2016-06-23,115.3
2016-06-24,113.45
2016-06-27,115.05
2016-06-28,122.1
2016-06-29,122.8
2016-06-30,120.1
2016-07-01,119.85
2016-07-04,117.45
2016-07-05,119.0
2016-07-07,120.15
2016-07-08,121.95
2016-07-11,119.45
2016-07-12,119.0
2016-07-13,122.05
2016-07-14,123.1
2016-07-15,125.3
2016-07-18,123.9
2016-07-19,125.2
2016-07-20,125.45
2016-07-21,125.3
2016-07-22,124.4
2016-07-25,128.25
2016-07-26,127.25
2016-07-27,127.5
2016-07-28,126.65
2016-07-29,125.5
2016-08-01,127.05
2016-08-02,127.4
2016-08-03,123.45
2016-08-04,123.55
2016-08-05,127.0
2016-08-08,129.65
2016-08-09,130.0
2016-08-10,128.0
2016-08-11,127.6
2016-08-12,126.6
2016-08-16,127.7
2016-08-17,126.65
2016-08-18,129.4
2016-08-19,126.15
2016-08-22,125.85
2016-08-23,126.05
2016-08-24,124.9
2016-08-25,124.1
2016-08-26,137.65
2016-08-29,127.5
2016-08-30,129.9
2016-08-31,128.75
2016-09-01,126.05
2016-09-02,126.3
2016-09-06,127.0
2016-09-07,126.05
2016-09-08,126.05
2016-09-09,124.1
2016-09-12,121.6
2016-09-14,120.85
2016-09-15,126.6
2016-09-16,128.0
2016-09-19,128.15
2016-09-20,128.15
2016-09-21,128.65
2016-09-22,127.95
2016-09-23,126.4
2016-09-26,128.7
2016-09-27,131.65
2016-09-28,135.15
2016-09-29,131.0
2016-09-30,132.2
2016-10-03,133.1
2016-10-04,130.75
2016-10-05,131.45
2016-10-06,130.1
2016-10-07,128.95
2016-10-10,125.25
2016-10-13,123.1
2016-10-14,123.85
2016-10-17,124.2
2016-10-18,124.35
2016-10-19,125.9
2016-10-20,128.0
2016-10-21,126.9
2016-10-24,132.8
2016-10-25,136.35
2016-10-26,137.7
2016-10-27,139.0
2016-10-28,140.05
2016-10-30,140.9
2016-11-01,145.45
2016-11-02,143.5
2016-11-03,144.75
2016-11-04,139.3
2016-11-07,141.0
2016-11-08,137.4
2016-11-09,129.9
2016-11-10,132.8
2016-11-11,129.0
2016-11-15,119.85
2016-11-16,117.35
2016-11-17,110.8
2016-11-18,115.1
2016-11-21,116.0
2016-11-22,118.8
2016-11-23,119.0
2016-11-24,120.8
2016-11-25,127.7
2016-11-28,129.1
2016-11-29,128.55
2016-11-30,130.35
2016-12-01,127.1
2016-12-02,125.1
2016-12-05,125.5
2016-12-06,127.2
2016-12-07,126.8
2016-12-08,129.15
2016-12-09,126.35
2016-12-12,126.55
2016-12-13,125.5
2016-12-14,125.8
2016-12-15,123.95
2016-12-16,124.1
2016-12-19,120.9
2016-12-20,120.8
2016-12-21,119.25
2016-12-22,120.0
2016-12-23,122.95
2016-12-26,119.9
2016-12-27,122.4
2016-12-28,124.55
2016-12-29,125.65
2016-12-30,129.3
