Date,KOTARISUG
2016-01-01,10.2
2016-01-04,10.45
2016-01-05,10.5
2016-01-06,11.1
2016-01-07,10.25
2016-01-08,11.3
2016-01-11,11.25
2016-01-12,10.75
2016-01-13,10.4
2016-01-14,10.25
2016-01-15,9.95
2016-01-18,9.7
2016-01-19,9.7
2016-01-20,9.5
2016-01-21,9.55
2016-01-22,9.75
2016-01-25,9.55
2016-01-27,9.9
2016-01-28,10.15
2016-01-29,10.35
2016-02-01,11.6
2016-02-02,11.3
2016-02-03,10.7
2016-02-04,9.9
2016-02-05,10.35
2016-02-08,9.65
2016-02-09,9.8
2016-02-10,9.75
2016-02-11,9.0
2016-02-12,8.55
2016-02-15,9.15
2016-02-16,8.9
2016-02-17,9.05
2016-02-18,8.9
2016-02-19,8.65
2016-02-22,8.85
2016-02-23,9.0
2016-02-24,9.25
2016-02-25,9.05
2016-02-26,8.95
2016-02-29,8.8
2016-03-01,9.2
2016-03-02,9.5
2016-03-03,9.4
2016-03-04,10.2
2016-03-08,11.0
2016-03-09,10.75
2016-03-10,10.75
2016-03-11,10.15
2016-03-14,10.2
2016-03-15,11.55
2016-03-16,11.2
2016-03-17,10.85
2016-03-18,11.1
2016-03-21,11.45
2016-03-22,11.15
2016-03-23,10.7
2016-03-28,9.95
2016-03-29,9.95
2016-03-30,11.35
2016-03-31,10.7
2016-04-01,12.2
2016-04-04,13.9
2016-04-05,13.9
2016-04-06,15.4
2016-04-07,16.15
2016-04-08,16.6
2016-04-11,15.6
2016-04-12,14.65
2016-04-13,14.05
2016-04-18,14.95
2016-04-20,14.0
2016-04-21,13.75
2016-04-22,14.45
2016-04-25,14.4
2016-04-26,14.25
2016-04-27,13.85
2016-04-28,13.6
2016-04-29,14.05
2016-05-02,14.15
2016-05-03,13.5
2016-05-04,13.1
2016-05-05,13.4
2016-05-06,13.35
2016-05-09,13.95
2016-05-10,14.4
2016-05-11,14.75
2016-05-12,15.25
2016-05-13,15.55
2016-05-16,15.15
2016-05-17,14.55
2016-05-18,14.6
2016-05-19,13.95
2016-05-20,13.45
2016-05-23,13.7
2016-05-24,13.25
2016-05-25,13.15
2016-05-26,13.45
2016-05-27,13.35
2016-05-30,13.1
2016-05-31,13.05
2016-06-01,13.7
2016-06-02,13.8
2016-06-03,13.8
2016-06-06,14.5
2016-06-07,14.75
2016-06-08,15.0
2016-06-09,14.75
2016-06-10,16.1
2016-06-13,16.95
2016-06-14,16.45
2016-06-15,18.9
2016-06-16,19.5
2016-06-17,17.5
2016-06-20,18.0
2016-06-21,17.55
2016-06-22,16.6
2016-06-23,17.05
2016-06-24,16.25
2016-06-27,19.3
2016-06-28,19.95
2016-06-29,19.8
2016-06-30,19.45
2016-07-01,19.5
2016-07-04,19.9
2016-07-05,18.85
2016-07-07,21.65
2016-07-08,20.85
2016-07-11,20.25
2016-07-12,20.1
2016-07-13,19.6
2016-07-14,20.0
2016-07-15,19.3
2016-07-18,18.65
2016-07-19,18.55
2016-07-20,19.35
2016-07-21,18.55
2016-07-22,18.75
2016-07-25,18.85
2016-07-26,18.35
2016-07-27,18.4
2016-07-28,18.05
2016-07-29,19.3
2016-08-01,18.7
2016-08-02,18.35
2016-08-03,17.7
2016-08-04,17.6
2016-08-05,18.2
2016-08-08,17.6
2016-08-09,16.05
2016-08-10,15.4
2016-08-11,14.8
2016-08-12,13.9
2016-08-16,14.25
2016-08-17,13.4
2016-08-18,16.05
2016-08-19,15.65
2016-08-22,15.05
2016-08-23,14.95
2016-08-24,14.95
2016-08-25,14.65
2016-08-26,14.4
2016-08-29,14.25
2016-08-30,14.55
2016-08-31,15.35
2016-09-01,14.7
2016-09-02,14.65
2016-09-06,14.4
2016-09-07,14.6
2016-09-08,14.1
2016-09-09,14.45
2016-09-12,13.75
2016-09-14,13.75
2016-09-15,13.95
2016-09-16,14.85
2016-09-19,15.55
2016-09-20,15.45
2016-09-21,14.85
2016-09-22,15.35
2016-09-23,14.95
2016-09-26,14.55
2016-09-27,14.7
2016-09-28,14.6
2016-09-29,13.95
2016-09-30,14.55
2016-10-03,14.7
2016-10-04,14.4
2016-10-05,14.7
2016-10-06,15.1
2016-10-07,15.55
2016-10-10,15.4
2016-10-13,14.95
2016-10-14,15.0
2016-10-17,14.5
2016-10-18,14.2
2016-10-19,14.15
2016-10-20,14.6
2016-10-21,15.3
2016-10-24,15.9
2016-10-25,15.7
2016-10-26,15.3
2016-10-27,15.6
2016-10-28,16.5
2016-10-30,17.2
2016-11-01,16.7
2016-11-02,16.45
2016-11-03,18.2
2016-11-04,17.25
2016-11-07,17.1
2016-11-08,16.5
2016-11-09,15.75
2016-11-10,15.7
2016-11-11,14.85
2016-11-15,13.95
2016-11-16,13.8
2016-11-17,13.85
2016-11-18,14.85
2016-11-21,13.75
2016-11-22,13.9
2016-11-23,14.75
2016-11-24,14.45
2016-11-25,14.35
2016-11-28,14.4
2016-11-29,14.5
2016-11-30,14.35
2016-12-01,14.55
2016-12-02,14.0
2016-12-05,13.9
2016-12-06,13.95
2016-12-07,13.9
2016-12-08,13.85
2016-12-09,13.65
2016-12-12,13.65
2016-12-13,13.5
2016-12-14,13.6
2016-12-15,13.4
2016-12-16,13.4
2016-12-19,13.5
2016-12-20,13.3
2016-12-21,12.95
2016-12-22,12.8
2016-12-23,13.0
2016-12-26,12.7
2016-12-27,12.7
2016-12-28,12.75
2016-12-29,13.0
2016-12-30,14.75
