Date,HOVS
2016-01-01,109.1
2016-01-04,106.65
2016-01-05,108.65
2016-01-06,105.65
2016-01-07,100.7
2016-01-08,102.05
2016-01-11,102.75
2016-01-12,101.6
2016-01-13,94.75
2016-01-14,96.4
2016-01-15,95.95
2016-01-18,91.3
2016-01-19,92.1
2016-01-20,92.25
2016-01-21,91.35
2016-01-22,92.7
2016-01-25,92.85
2016-01-27,93.6
2016-01-28,92.85
2016-01-29,92.95
2016-02-01,97.15
2016-02-02,97.0
2016-02-03,93.45
2016-02-04,90.8
2016-02-05,90.2
2016-02-08,90.1
2016-02-09,88.4
2016-02-10,90.05
2016-02-11,80.55
2016-02-12,86.2
2016-02-15,87.75
2016-02-16,80.45
2016-02-17,78.2
2016-02-18,81.9
2016-02-19,79.75
2016-02-22,82.55
2016-02-23,79.8
2016-02-24,78.5
2016-02-25,79.7
2016-02-26,79.0
2016-02-29,77.5
2016-03-01,83.3
2016-03-02,84.55
2016-03-03,85.8
2016-03-04,83.45
2016-03-08,82.1
2016-03-09,82.0
2016-03-10,78.75
2016-03-11,78.3
2016-03-14,79.0
2016-03-15,76.5
2016-03-16,75.7
2016-03-17,77.7
2016-03-18,77.15
2016-03-21,77.75
2016-03-22,78.25
2016-03-23,78.55
2016-03-28,75.8
2016-03-29,77.7
2016-03-30,77.75
2016-03-31,77.8
2016-04-01,78.55
2016-04-04,77.75
2016-04-05,78.2
2016-04-06,77.9
2016-04-07,77.35
2016-04-08,77.2
2016-04-11,78.2
2016-04-12,80.35
2016-04-13,80.75
2016-04-18,78.6
2016-04-20,80.3
2016-04-21,80.85
2016-04-22,79.75
2016-04-25,79.05
2016-04-26,78.35
2016-04-27,79.3
2016-04-28,79.3
2016-04-29,80.25
2016-05-02,83.35
2016-05-03,81.15
2016-05-04,97.35
2016-05-05,92.5
2016-05-06,109.65
2016-05-09,121.8
2016-05-10,125.3
2016-05-11,121.4
2016-05-12,122.9
2016-05-13,120.6
2016-05-16,108.55
2016-05-17,101.2
2016-05-18,100.75
2016-05-19,96.35
2016-05-20,92.1
2016-05-23,96.7
2016-05-24,101.5
2016-05-25,97.15
2016-05-26,94.15
2016-05-27,92.9
2016-05-30,90.5
2016-05-31,88.85
2016-06-01,93.25
2016-06-02,93.15
2016-06-03,90.5
2016-06-06,91.05
2016-06-07,91.9
2016-06-08,91.35
2016-06-09,90.45
2016-06-10,90.2
2016-06-13,89.5
2016-06-14,89.4
2016-06-15,91.9
2016-06-16,90.1
2016-06-17,90.05
2016-06-20,89.5
2016-06-21,89.75
2016-06-22,87.8
2016-06-23,87.15
2016-06-24,86.5
2016-06-27,89.75
2016-06-28,90.0
2016-06-29,92.55
2016-06-30,98.85
2016-07-01,98.1
2016-07-04,96.45
2016-07-05,94.6
2016-07-07,108.15
2016-07-08,125.75
2016-07-11,119.75
2016-07-12,114.6
2016-07-13,123.4
2016-07-14,121.05
2016-07-15,118.25
2016-07-18,117.3
2016-07-19,112.9
2016-07-20,116.15
2016-07-21,114.65
2016-07-22,115.6
2016-07-25,119.05
2016-07-26,116.3
2016-07-27,115.55
2016-07-28,116.35
2016-07-29,114.25
2016-08-01,112.05
2016-08-02,110.55
2016-08-03,107.15
2016-08-04,107.4
2016-08-05,106.85
2016-08-08,106.05
2016-08-09,106.3
2016-08-10,107.3
2016-08-11,104.45
2016-08-12,102.0
2016-08-16,97.85
2016-08-17,101.85
2016-08-18,97.95
2016-08-19,99.7
2016-08-22,100.4
2016-08-23,120.45
2016-08-24,113.8
2016-08-25,111.7
2016-08-26,108.85
2016-08-29,114.6
2016-08-30,114.85
2016-08-31,116.2
2016-09-01,112.9
2016-09-02,112.3
2016-09-06,116.25
2016-09-07,113.05
2016-09-08,119.1
2016-09-09,115.4
2016-09-12,112.1
2016-09-14,112.9
2016-09-15,114.95
2016-09-16,114.85
2016-09-19,113.8
2016-09-20,112.45
2016-09-21,112.3
2016-09-22,113.65
2016-09-23,111.9
2016-09-26,110.85
2016-09-27,109.0
2016-09-28,109.8
2016-09-29,103.6
2016-09-30,111.25
2016-10-03,112.6
2016-10-04,110.55
2016-10-05,110.5
2016-10-06,108.9
2016-10-07,108.85
2016-10-10,109.3
2016-10-13,107.2
2016-10-14,106.55
2016-10-17,107.55
2016-10-18,110.5
2016-10-19,109.7
2016-10-20,109.05
2016-10-21,108.4
2016-10-24,114.8
2016-10-25,121.7
2016-10-26,125.25
2016-10-27,127.25
2016-10-28,123.6
2016-10-30,123.7
2016-11-01,122.25
2016-11-02,116.25
2016-11-03,114.55
2016-11-04,109.4
2016-11-07,113.4
2016-11-08,110.45
2016-11-09,109.05
2016-11-10,108.35
2016-11-11,102.8
2016-11-15,95.8
2016-11-16,96.7
2016-11-17,96.6
2016-11-18,96.5
2016-11-21,95.0
2016-11-22,95.9
2016-11-23,99.2
2016-11-24,104.3
2016-11-25,109.5
2016-11-28,108.45
2016-11-29,109.35
2016-11-30,109.05
2016-12-01,108.05
2016-12-02,105.0
2016-12-05,105.85
2016-12-06,105.5
2016-12-07,104.35
2016-12-08,106.95
2016-12-09,111.55
2016-12-12,107.8
2016-12-13,107.6
2016-12-14,105.55
2016-12-15,105.2
2016-12-16,104.65
2016-12-19,104.4
2016-12-20,116.2
2016-12-21,111.15
2016-12-22,108.3
2016-12-23,107.75
2016-12-26,103.35
2016-12-27,105.6
2016-12-28,107.05
2016-12-29,108.4
2016-12-30,108.5
