Date,PILITA
2016-01-01,17.1
2016-01-04,17.8
2016-01-05,19.25
2016-01-06,18.6
2016-01-07,17.05
2016-01-08,17.35
2016-01-11,17.75
2016-01-12,18.05
2016-01-13,16.5
2016-01-14,16.45
2016-01-15,14.8
2016-01-18,14.3
2016-01-19,14.9
2016-01-20,14.0
2016-01-21,14.65
2016-01-22,15.05
2016-01-25,14.85
2016-01-27,15.6
2016-01-28,14.0
2016-01-29,14.6
2016-02-01,14.9
2016-02-02,14.35
2016-02-03,14.5
2016-02-04,14.9
2016-02-05,14.6
2016-02-08,15.0
2016-02-09,14.9
2016-02-10,14.45
2016-02-11,13.6
2016-02-12,13.35
2016-02-15,13.65
2016-02-16,13.8
2016-02-17,13.4
2016-02-18,13.8
2016-02-19,13.15
2016-02-22,13.3
2016-02-23,13.0
2016-02-24,12.55
2016-02-25,12.5
2016-02-26,12.35
2016-02-29,11.95
2016-03-01,12.0
2016-03-02,12.1
2016-03-03,12.5
2016-03-04,13.0
2016-03-08,12.55
2016-03-09,12.15
2016-03-10,12.1
2016-03-11,11.9
2016-03-14,12.4
2016-03-15,12.45
2016-03-16,12.4
2016-03-17,12.25
2016-03-18,12.75
2016-03-21,12.5
2016-03-22,12.4
2016-03-23,12.25
2016-03-28,11.75
2016-03-29,9.95
2016-03-30,8.25
2016-03-31,9.05
2016-04-01,9.95
2016-04-04,10.75
2016-04-05,10.5
2016-04-06,10.65
2016-04-07,10.75
2016-04-08,10.75
2016-04-11,10.75
2016-04-12,11.2
2016-04-13,11.75
2016-04-18,11.6
2016-04-20,12.15
2016-04-21,12.55
2016-04-22,13.05
2016-04-25,13.25
2016-04-26,13.85
2016-04-27,14.15
2016-04-28,14.1
2016-04-29,14.1
2016-05-02,14.6
2016-05-03,15.15
2016-05-04,15.5
2016-05-05,15.05
2016-05-06,15.05
2016-05-09,15.45
2016-05-10,15.45
2016-05-11,15.1
2016-05-12,15.2
2016-05-13,14.95
2016-05-16,14.85
2016-05-17,15.35
2016-05-18,15.45
2016-05-19,15.4
2016-05-20,15.55
2016-05-23,15.7
2016-05-24,15.7
2016-05-25,15.6
2016-05-26,16.1
2016-05-27,16.9
2016-05-30,17.1
2016-05-31,17.1
2016-06-01,17.85
2016-06-02,17.7
2016-06-03,18.6
2016-06-06,19.15
2016-06-07,20.0
2016-06-08,20.3
2016-06-09,20.35
2016-06-10,21.05
2016-06-13,21.5
2016-06-14,21.65
2016-06-15,22.0
2016-06-16,21.45
2016-06-17,22.5
2016-06-20,23.05
2016-06-21,23.65
2016-06-22,24.45
2016-06-23,25.15
2016-06-24,24.25
2016-06-27,24.3
2016-06-28,24.15
2016-06-29,24.1
2016-06-30,24.15
2016-07-01,24.05
2016-07-04,24.0
2016-07-05,23.7
2016-07-07,23.9
2016-07-08,23.65
2016-07-11,24.4
2016-07-12,25.4
2016-07-13,26.35
2016-07-14,26.15
2016-07-15,25.85
2016-07-18,26.3
2016-07-19,27.45
2016-07-20,28.35
2016-07-21,28.7
2016-07-22,28.65
2016-07-25,29.1
2016-07-26,28.85
2016-07-27,28.85
2016-07-28,29.25
2016-07-29,30.7
2016-08-01,31.95
2016-08-02,33.05
2016-08-03,32.4
2016-08-04,33.0
2016-08-05,33.6
2016-08-08,34.1
2016-08-09,34.55
2016-08-10,33.8
2016-08-11,33.85
2016-08-12,34.7
2016-08-16,35.55
2016-08-17,36.0
2016-08-18,37.15
2016-08-19,37.85
2016-08-22,38.95
2016-08-23,38.55
2016-08-24,10.1
2016-08-25,10.6
2016-08-26,10.65
2016-08-29,10.45
2016-08-30,10.4
2016-08-31,10.3
2016-09-01,10.3
2016-09-02,10.3
2016-09-06,10.3
2016-09-07,10.1
2016-09-08,9.85
2016-09-09,9.95
2016-09-12,9.9
2016-09-14,10.0
2016-09-15,10.15
2016-09-16,10.05
2016-09-19,10.2
2016-09-20,10.25
2016-09-21,10.25
2016-09-22,10.45
2016-09-23,10.65
2016-09-26,10.95
2016-09-27,11.45
2016-09-28,11.9
2016-09-29,11.5
2016-09-30,11.8
2016-10-03,12.25
2016-10-04,12.8
2016-10-05,13.3
2016-10-06,13.8
2016-10-07,14.3
2016-10-10,15.0
2016-10-13,15.1
2016-10-14,14.9
2016-10-17,14.95
2016-10-18,14.45
2016-10-19,14.7
2016-10-20,14.95
2016-10-21,14.8
2016-10-24,14.75
2016-10-25,14.75
2016-10-26,14.6
2016-10-27,14.3
2016-10-28,14.6
2016-10-30,14.5
2016-11-01,14.55
2016-11-02,14.55
2016-11-03,14.6
2016-11-04,14.3
2016-11-07,14.95
2016-11-08,15.4
2016-11-09,14.0
2016-11-10,14.3
2016-11-11,13.6
2016-11-15,12.35
2016-11-16,12.9
2016-11-17,13.0
2016-11-18,12.55
2016-11-21,12.6
2016-11-22,12.15
2016-11-23,12.7
2016-11-24,12.5
2016-11-25,12.65
2016-11-28,13.0
2016-11-29,13.3
2016-11-30,13.55
2016-12-01,13.0
2016-12-02,12.9
2016-12-05,12.55
2016-12-06,12.45
2016-12-07,12.4
2016-12-08,12.6
2016-12-09,12.35
2016-12-12,12.55
2016-12-13,12.45
2016-12-14,12.35
2016-12-15,12.35
2016-12-16,12.35
2016-12-19,12.45
2016-12-20,12.4
2016-12-21,12.3
2016-12-22,11.85
2016-12-23,11.85
2016-12-26,10.65
2016-12-27,10.15
2016-12-28,10.0
2016-12-29,10.3
2016-12-30,11.75
