Date,VISASTEEL
2016-01-01,17.35
2016-01-04,16.9
2016-01-05,18.1
2016-01-06,17.5
2016-01-07,16.35
2016-01-08,16.45
2016-01-11,16.7
2016-01-12,16.4
2016-01-13,15.85
2016-01-14,15.9
2016-01-15,15.45
2016-01-18,14.75
2016-01-19,15.0
2016-01-20,14.25
2016-01-21,14.4
2016-01-22,15.75
2016-01-25,15.75
2016-01-27,15.85
2016-01-28,15.35
2016-01-29,15.25
2016-02-01,15.05
2016-02-02,15.1
2016-02-03,14.8
2016-02-04,14.75
2016-02-05,14.7
2016-02-08,15.55
2016-02-09,15.45
2016-02-10,15.4
2016-02-11,14.45
2016-02-12,13.5
2016-02-15,13.9
2016-02-16,13.65
2016-02-17,13.6
2016-02-18,13.8
2016-02-19,13.9
2016-02-22,14.0
2016-02-23,13.75
2016-02-24,13.5
2016-02-25,13.5
2016-02-26,13.65
2016-02-29,13.7
2016-03-01,13.85
2016-03-02,14.1
2016-03-03,14.8
2016-03-04,14.9
2016-03-08,14.55
2016-03-09,14.65
2016-03-10,14.6
2016-03-11,14.3
2016-03-14,14.0
2016-03-15,14.25
2016-03-16,14.2
2016-03-17,14.2
2016-03-18,14.05
2016-03-21,13.8
2016-03-22,13.8
2016-03-23,14.1
2016-03-28,14.1
2016-03-29,13.5
2016-03-30,13.7
2016-03-31,14.05
2016-04-01,14.15
2016-04-04,14.8
2016-04-05,14.05
2016-04-06,14.55
2016-04-07,14.0
2016-04-08,14.05
2016-04-11,14.05
2016-04-12,13.95
2016-04-13,14.0
2016-04-18,14.05
2016-04-20,14.95
2016-04-21,14.7
2016-04-22,15.05
2016-04-25,14.75
2016-04-26,14.8
2016-04-27,14.85
2016-04-28,14.75
2016-04-29,14.55
2016-05-02,14.25
2016-05-03,14.2
2016-05-04,13.85
2016-05-05,13.9
2016-05-06,13.95
2016-05-09,13.9
2016-05-10,13.8
2016-05-11,13.75
2016-05-12,13.8
2016-05-13,13.75
2016-05-16,13.7
2016-05-17,13.7
2016-05-18,13.5
2016-05-19,13.35
2016-05-20,13.3
2016-05-23,13.4
2016-05-24,13.05
2016-05-25,13.05
2016-05-26,13.1
2016-05-27,13.75
2016-05-30,13.2
2016-05-31,13.45
2016-06-01,13.1
2016-06-02,13.15
2016-06-03,13.0
2016-06-06,12.85
2016-06-07,12.9
2016-06-08,13.55
2016-06-09,13.7
2016-06-10,16.4
2016-06-13,14.95
2016-06-14,16.2
2016-06-15,16.35
2016-06-16,16.35
2016-06-17,15.8
2016-06-20,15.65
2016-06-21,15.2
2016-06-22,15.2
2016-06-23,14.9
2016-06-24,14.8
2016-06-27,14.85
2016-06-28,15.35
2016-06-29,15.3
2016-06-30,15.25
2016-07-01,15.8
2016-07-04,16.65
2016-07-05,16.9
2016-07-07,16.85
2016-07-08,16.65
2016-07-11,16.2
2016-07-12,17.4
2016-07-13,18.7
2016-07-14,17.95
2016-07-15,17.05
2016-07-18,16.75
2016-07-19,16.95
2016-07-20,17.8
2016-07-21,17.45
2016-07-22,17.4
2016-07-25,17.2
2016-07-26,17.7
2016-07-27,17.5
2016-07-28,17.35
2016-07-29,17.25
2016-08-01,17.05
2016-08-02,16.6
2016-08-03,16.85
2016-08-04,16.4
2016-08-05,17.1
2016-08-08,16.75
2016-08-09,16.5
2016-08-10,16.25
2016-08-11,16.2
2016-08-12,16.1
2016-08-16,16.05
2016-08-17,15.9
2016-08-18,16.2
2016-08-19,17.4
2016-08-22,17.0
2016-08-23,17.0
2016-08-24,16.85
2016-08-25,16.4
2016-08-26,16.5
2016-08-29,16.3
2016-08-30,16.25
2016-08-31,16.2
2016-09-01,16.05
2016-09-02,15.9
2016-09-06,16.35
2016-09-07,16.2
2016-09-08,16.6
2016-09-09,16.1
2016-09-12,15.7
2016-09-14,15.8
2016-09-15,15.6
2016-09-16,15.55
2016-09-19,15.55
2016-09-20,15.75
2016-09-21,15.4
2016-09-22,15.5
2016-09-23,15.2
2016-09-26,15.15
2016-09-27,15.05
2016-09-28,15.1
2016-09-29,14.2
2016-09-30,14.65
2016-10-03,15.35
2016-10-04,15.4
2016-10-05,16.1
2016-10-06,16.1
2016-10-07,16.15
2016-10-10,16.35
2016-10-13,16.05
2016-10-14,16.05
2016-10-17,15.95
2016-10-18,15.95
2016-10-19,15.85
2016-10-20,16.05
2016-10-21,16.55
2016-10-24,17.95
2016-10-25,21.5
2016-10-26,19.1
2016-10-27,19.75
2016-10-28,18.85
2016-10-30,19.25
2016-11-01,21.1
2016-11-02,20.05
2016-11-03,19.5
2016-11-04,18.5
2016-11-07,18.75
2016-11-08,18.35
2016-11-09,17.25
2016-11-10,18.6
2016-11-11,17.6
2016-11-15,16.85
2016-11-16,16.25
2016-11-17,15.15
2016-11-18,16.85
2016-11-21,17.35
2016-11-22,16.3
2016-11-23,16.8
2016-11-24,16.3
2016-11-25,16.3
2016-11-28,16.5
2016-11-29,16.35
2016-11-30,16.85
2016-12-01,17.6
2016-12-02,17.1
2016-12-05,19.35
2016-12-06,18.8
2016-12-07,18.4
2016-12-08,18.6
2016-12-09,18.1
2016-12-12,17.85
2016-12-13,17.65
2016-12-14,17.45
2016-12-15,17.65
2016-12-16,17.5
2016-12-19,17.2
2016-12-20,17.75
2016-12-21,17.85
2016-12-22,17.3
2016-12-23,17.35
2016-12-26,16.6
2016-12-27,16.7
2016-12-28,16.85
2016-12-29,16.85
2016-12-30,16.85
