Date,KOTAKNV20
2016-01-05,34.5
2016-01-06,35.0
2016-01-07,35.0
2016-01-08,34.5
2016-01-11,33.65
2016-01-12,33.68
2016-01-13,33.5
2016-01-14,34.0
2016-01-15,33.75
2016-01-18,34.0
2016-01-19,33.9
2016-01-20,33.05
2016-01-22,33.75
2016-01-25,33.75
2016-01-28,33.9
2016-01-29,33.9
2016-02-01,34.25
2016-02-04,33.5
2016-02-05,33.5
2016-02-08,33.2
2016-02-09,32.8
2016-02-10,32.25
2016-02-11,32.0
2016-02-12,30.85
2016-02-15,32.25
2016-02-16,31.6
2016-02-17,31.75
2016-02-18,32.5
2016-02-19,32.5
2016-02-22,33.0
2016-02-23,32.25
2016-02-24,32.0
2016-02-25,31.75
2016-02-26,31.9
2016-02-29,32.0
2016-03-01,32.5
2016-03-02,33.0
2016-03-03,33.75
2016-03-04,33.75
2016-03-08,34.1
2016-03-09,34.0
2016-03-10,34.0
2016-03-11,34.0
2016-03-14,34.25
2016-03-15,34.25
2016-03-16,34.0
2016-03-17,34.75
2016-03-18,34.5
2016-03-21,35.0
2016-03-22,35.5
2016-03-23,34.0
2016-03-28,34.01
2016-03-29,34.5
2016-03-30,35.0
2016-03-31,35.5
2016-04-01,35.45
2016-04-04,35.75
2016-04-05,35.5
2016-04-06,35.0
2016-04-07,35.1
2016-04-08,34.7
2016-04-11,34.5
2016-04-12,35.49
2016-04-13,35.49
2016-04-18,36.05
2016-04-20,36.45
2016-04-21,34.69
2016-04-22,37.99
2016-04-25,36.25
2016-04-26,36.25
2016-04-27,37.25
2016-04-28,36.25
2016-04-29,35.5
2016-05-02,35.5
2016-05-03,35.25
2016-05-04,35.0
2016-05-05,34.76
2016-05-06,35.0
2016-05-09,35.49
2016-05-10,35.7
2016-05-11,35.6
2016-05-12,35.8
2016-05-13,35.4
2016-05-16,35.2
2016-05-17,35.5
2016-05-18,35.3
2016-05-19,35.3
2016-05-20,34.9
2016-05-23,34.8
2016-05-24,34.5
2016-05-25,35.2
2016-05-26,35.8
2016-05-27,35.6
2016-05-30,36.65
2016-05-31,36.7
2016-06-01,36.7
2016-06-02,36.7
2016-06-03,36.6
2016-06-06,36.5
2016-06-07,37.0
2016-06-08,37.2
2016-06-09,37.1
2016-06-10,36.6
2016-06-13,36.5
2016-06-14,36.5
2016-06-15,36.6
2016-06-16,36.5
2016-06-17,36.7
2016-06-20,36.6
2016-06-21,36.5
2016-06-22,36.8
2016-06-23,36.9
2016-06-24,36.2
2016-06-27,35.8
2016-06-28,36.0
2016-06-29,36.4
2016-06-30,36.5
2016-07-01,35.13
2016-07-04,36.9
2016-07-05,37.1
2016-07-07,37.1
2016-07-08,36.75
2016-07-11,37.1
2016-07-12,37.3
2016-07-13,37.0
2016-07-14,38.0
2016-07-15,38.0
2016-07-18,36.71
2016-07-19,37.65
2016-07-20,37.6
2016-07-21,37.6
2016-07-22,37.3
2016-07-25,37.9
2016-07-26,37.5
2016-07-27,38.0
2016-07-28,37.6
2016-07-29,37.8
2016-08-01,37.5
2016-08-02,37.6
2016-08-03,37.5
2016-08-04,37.2
2016-08-05,37.6
2016-08-08,37.8
2016-08-09,37.9
2016-08-10,38.0
2016-08-11,37.7
2016-08-12,38.2
2016-08-16,38.2
2016-08-17,38.1
2016-08-18,38.0
2016-08-19,38.2
2016-08-22,38.0
2016-08-23,38.0
2016-08-24,37.8
2016-08-25,37.9
2016-08-26,37.6
2016-08-29,37.3
2016-08-30,37.5
2016-08-31,37.85
2016-09-01,38.0
2016-09-02,38.0
2016-09-06,38.3
2016-09-07,38.4
2016-09-08,38.3
2016-09-09,38.1
2016-09-12,38.0
2016-09-14,38.1
2016-09-15,38.4
2016-09-20,38.39
2016-09-21,38.4
2016-09-23,39.1
2016-09-30,37.5
2016-10-03,38.0
2016-10-05,38.5
2016-10-07,37.8
2016-10-10,38.0
2016-10-13,37.5
2016-10-14,37.6
2016-10-17,37.95
2016-10-18,38.21
2016-10-19,38.29
2016-10-20,38.65
2016-10-21,38.5
2016-10-24,38.4
2016-10-25,38.3
2016-10-26,38.25
2016-10-27,38.18
2016-10-28,38.0
2016-10-30,38.0
2016-11-02,37.03
2016-11-03,37.2
2016-11-08,37.5
2016-11-11,37.0
2016-11-15,36.03
2016-11-23,36.0
2016-11-28,36.6
2016-12-02,36.5
2016-12-05,37.0
2016-12-08,36.9
2016-12-09,37.4
2016-12-13,37.1
2016-12-14,37.5
2016-12-15,37.5
2016-12-19,37.0
2016-12-20,36.8
2016-12-21,36.7
2016-12-26,36.4
2016-12-27,36.2
