Date,RMCL
2016-01-01,21.7
2016-01-04,21.55
2016-01-05,21.35
2016-01-06,23.25
2016-01-07,22.75
2016-01-08,22.55
2016-01-11,22.6
2016-01-12,22.15
2016-01-13,21.05
2016-01-14,21.0
2016-01-15,20.25
2016-01-18,18.75
2016-01-19,19.0
2016-01-20,17.85
2016-01-21,18.1
2016-01-22,18.05
2016-01-25,18.15
2016-01-27,17.1
2016-01-28,16.5
2016-01-29,19.8
2016-02-01,20.3
2016-02-02,19.5
2016-02-03,19.35
2016-02-04,19.05
2016-02-05,17.7
2016-02-08,17.9
2016-02-09,17.55
2016-02-10,16.95
2016-02-11,15.7
2016-02-12,15.25
2016-02-15,15.8
2016-02-16,16.0
2016-02-17,15.5
2016-02-18,15.55
2016-02-19,15.65
2016-02-22,15.8
2016-02-23,15.8
2016-02-24,14.9
2016-02-25,14.65
2016-02-26,14.5
2016-02-29,14.55
2016-03-01,15.0
2016-03-02,15.25
2016-03-03,15.5
2016-03-04,15.55
2016-03-08,15.55
2016-03-09,15.4
2016-03-10,15.1
2016-03-11,15.2
2016-03-14,14.95
2016-03-15,14.85
2016-03-16,14.45
2016-03-17,14.15
2016-03-18,13.75
2016-03-21,13.3
2016-03-22,14.15
2016-03-23,13.75
2016-03-28,13.35
2016-03-29,12.6
2016-03-30,12.65
2016-03-31,12.95
2016-04-01,12.85
2016-04-04,11.9
2016-04-05,11.1
2016-04-06,11.1
2016-04-07,11.2
2016-04-08,11.15
2016-04-11,11.25
2016-04-12,11.3
2016-04-13,11.25
2016-04-18,11.15
2016-04-20,11.0
2016-04-21,11.2
2016-04-22,11.1
2016-04-25,10.95
2016-04-26,10.95
2016-04-27,10.9
2016-04-28,10.75
2016-04-29,10.35
2016-05-02,9.9
2016-05-03,9.85
2016-05-04,9.35
2016-05-05,9.15
2016-05-06,8.7
2016-05-09,8.1
2016-05-10,9.7
2016-05-11,11.6
2016-05-12,13.85
2016-05-13,13.85
2016-05-16,12.5
2016-05-17,12.4
2016-05-18,12.8
2016-05-19,13.1
2016-05-20,12.5
2016-05-23,13.75
2016-05-24,14.15
2016-05-25,13.75
2016-05-26,13.4
2016-05-27,14.4
2016-05-30,13.9
2016-05-31,13.0
2016-06-01,13.3
2016-06-02,13.25
2016-06-03,12.85
2016-06-06,13.2
2016-06-07,13.1
2016-06-08,13.05
2016-06-09,12.7
2016-06-10,12.0
2016-06-13,11.8
2016-06-14,11.6
2016-06-15,11.8
2016-06-16,11.35
2016-06-17,11.25
2016-06-20,11.2
2016-06-21,10.45
2016-06-22,10.45
2016-06-23,10.1
2016-06-24,10.2
2016-06-27,10.3
2016-06-28,10.35
2016-06-29,9.75
2016-06-30,9.95
2016-07-01,9.75
2016-07-04,9.8
2016-07-05,9.8
2016-07-07,9.7
2016-07-08,9.8
2016-07-11,9.6
2016-07-12,9.3
2016-07-13,9.3
2016-07-14,9.2
2016-07-15,9.2
2016-07-18,8.9
2016-07-19,9.55
2016-07-20,9.9
2016-07-21,9.55
2016-07-22,9.25
2016-07-25,9.9
2016-07-26,9.65
2016-07-27,9.5
2016-07-28,9.45
2016-07-29,9.25
2016-08-01,9.15
2016-08-02,8.9
2016-08-03,8.8
2016-08-04,8.75
2016-08-05,8.85
2016-08-08,8.75
2016-08-09,8.65
2016-08-10,8.4
2016-08-11,8.45
2016-08-12,8.55
2016-08-16,8.1
2016-08-17,8.45
2016-08-18,8.1
2016-08-19,8.1
2016-08-22,8.15
2016-08-23,8.05
2016-08-24,8.1
2016-08-25,8.05
2016-08-26,7.9
2016-08-29,7.6
2016-08-30,7.75
2016-08-31,7.85
2016-09-01,7.4
2016-09-02,7.7
2016-09-06,7.55
2016-09-07,8.65
2016-09-08,9.0
2016-09-09,8.65
2016-09-12,8.5
2016-09-14,8.8
2016-09-15,8.85
2016-09-16,8.6
2016-09-19,8.75
2016-09-20,8.9
2016-09-21,8.85
2016-09-22,8.8
2016-09-23,8.7
2016-09-26,8.45
2016-09-27,8.25
2016-09-28,8.7
2016-09-29,8.4
2016-09-30,8.55
2016-10-03,8.95
2016-10-04,8.55
2016-10-05,8.6
2016-10-06,8.5
2016-10-07,8.25
2016-10-10,8.25
2016-10-13,8.15
2016-10-14,8.05
2016-10-17,8.05
2016-10-18,9.65
2016-10-19,8.8
2016-10-20,9.05
2016-10-21,9.5
2016-10-24,9.75
2016-10-25,10.95
2016-10-26,12.3
2016-10-27,13.4
2016-10-28,14.7
2016-10-30,16.15
2016-11-01,16.95
2016-11-02,17.75
2016-11-03,18.6
2016-11-04,17.7
2016-11-07,16.85
2016-11-08,16.05
2016-11-09,16.05
2016-11-10,16.85
2016-11-11,16.65
2016-11-15,15.85
2016-11-16,15.25
2016-11-17,14.5
2016-11-18,14.95
2016-11-21,14.25
2016-11-22,13.6
2016-11-23,14.25
2016-11-24,14.95
2016-11-25,15.65
2016-11-28,16.4
2016-11-29,17.2
2016-11-30,17.0
2016-12-01,16.95
2016-12-02,16.95
2016-12-05,17.1
2016-12-06,17.25
2016-12-07,17.0
2016-12-08,17.3
2016-12-09,16.85
2016-12-12,17.15
2016-12-13,17.2
2016-12-14,17.1
2016-12-15,17.35
2016-12-16,18.2
2016-12-19,19.1
2016-12-20,19.4
2016-12-21,20.3
2016-12-22,20.55
2016-12-23,20.7
2016-12-26,20.3
2016-12-27,19.95
2016-12-28,20.5
2016-12-29,20.9
2016-12-30,21.55
