Date,RATNAMANI
2016-01-01,555.1
2016-01-04,540.45
2016-01-05,531.4
2016-01-06,534.95
2016-01-07,529.55
2016-01-08,530.35
2016-01-11,531.1
2016-01-12,530.85
2016-01-13,514.15
2016-01-14,507.2
2016-01-15,495.0
2016-01-18,475.1
2016-01-19,479.45
2016-01-20,477.3
2016-01-21,462.4
2016-01-22,480.75
2016-01-25,486.35
2016-01-27,490.25
2016-01-28,488.6
2016-01-29,498.1
2016-02-01,485.6
2016-02-02,480.4
2016-02-03,476.1
2016-02-04,468.9
2016-02-05,458.85
2016-02-08,453.5
2016-02-09,442.2
2016-02-10,443.7
2016-02-11,421.1
2016-02-12,417.2
2016-02-15,440.65
2016-02-16,413.55
2016-02-17,418.6
2016-02-18,407.75
2016-02-19,408.55
2016-02-22,421.1
2016-02-23,416.9
2016-02-24,423.7
2016-02-25,412.6
2016-02-26,429.65
2016-02-29,425.0
2016-03-01,431.35
2016-03-02,430.9
2016-03-03,429.25
2016-03-04,427.25
2016-03-08,433.85
2016-03-09,432.15
2016-03-10,432.6
2016-03-11,440.15
2016-03-14,445.35
2016-03-15,444.7
2016-03-16,444.1
2016-03-17,442.4
2016-03-18,430.35
2016-03-21,435.6
2016-03-22,440.65
2016-03-23,432.7
2016-03-28,446.15
2016-03-29,454.2
2016-03-30,458.2
2016-03-31,463.75
2016-04-01,461.95
2016-04-04,457.0
2016-04-05,459.4
2016-04-06,458.85
2016-04-07,445.6
2016-04-08,475.7
2016-04-11,478.9
2016-04-12,486.45
2016-04-13,491.55
2016-04-18,476.7
2016-04-20,485.4
2016-04-21,479.25
2016-04-22,488.15
2016-04-25,485.5
2016-04-26,496.6
2016-04-27,494.85
2016-04-28,491.95
2016-04-29,487.1
2016-05-02,488.45
2016-05-03,484.5
2016-05-04,486.2
2016-05-05,485.7
2016-05-06,491.05
2016-05-09,482.55
2016-05-10,491.0
2016-05-11,494.85
2016-05-12,515.75
2016-05-13,499.05
2016-05-16,504.4
2016-05-17,509.4
2016-05-18,514.05
2016-05-19,538.75
2016-05-20,527.3
2016-05-23,518.6
2016-05-24,502.0
2016-05-25,505.1
2016-05-26,506.1
2016-05-27,504.8
2016-05-30,503.15
2016-05-31,495.0
2016-06-01,496.95
2016-06-02,501.25
2016-06-03,504.75
2016-06-06,504.65
2016-06-07,501.25
2016-06-08,502.0
2016-06-09,496.65
2016-06-10,491.3
2016-06-13,499.1
2016-06-14,492.0
2016-06-15,501.5
2016-06-16,502.2
2016-06-17,500.7
2016-06-20,491.15
2016-06-21,495.0
2016-06-22,500.95
2016-06-23,500.35
2016-06-24,499.4
2016-06-27,487.2
2016-06-28,499.7
2016-06-29,500.8
2016-06-30,499.1
2016-07-01,493.65
2016-07-04,507.95
2016-07-05,521.3
2016-07-07,535.45
2016-07-08,549.6
2016-07-11,538.05
2016-07-12,524.8
2016-07-13,531.25
2016-07-14,527.35
2016-07-15,527.35
2016-07-18,531.95
2016-07-19,523.1
2016-07-20,515.65
2016-07-21,515.85
2016-07-22,526.5
2016-07-25,530.55
2016-07-26,522.15
2016-07-27,529.2
2016-07-28,526.6
2016-07-29,521.2
2016-08-01,520.0
2016-08-02,520.05
2016-08-03,518.05
2016-08-04,520.05
2016-08-05,527.1
2016-08-08,522.75
2016-08-09,526.8
2016-08-10,532.0
2016-08-11,543.2
2016-08-12,537.7
2016-08-16,540.3
2016-08-17,539.5
2016-08-18,537.85
2016-08-19,544.25
2016-08-22,551.6
2016-08-23,560.55
2016-08-24,570.95
2016-08-25,587.35
2016-08-26,593.35
2016-08-29,557.7
2016-08-30,550.85
2016-08-31,552.8
2016-09-01,554.05
2016-09-02,555.75
2016-09-06,553.4
2016-09-07,548.85
2016-09-08,550.0
2016-09-09,547.25
2016-09-12,540.25
2016-09-14,554.85
2016-09-15,560.05
2016-09-16,561.55
2016-09-19,572.35
2016-09-20,561.9
2016-09-21,563.25
2016-09-22,573.0
2016-09-23,570.6
2016-09-26,559.2
2016-09-27,550.95
2016-09-28,566.85
2016-09-29,553.75
2016-09-30,543.1
2016-10-03,567.4
2016-10-04,563.45
2016-10-05,560.55
2016-10-06,561.0
2016-10-07,567.2
2016-10-10,560.3
2016-10-13,562.0
2016-10-14,575.0
2016-10-17,562.95
2016-10-18,564.2
2016-10-19,621.15
2016-10-20,631.45
2016-10-21,640.8
2016-10-24,641.3
2016-10-25,641.6
2016-10-26,640.25
2016-10-27,643.25
2016-10-28,643.95
2016-10-30,651.15
2016-11-01,637.4
2016-11-02,627.55
2016-11-03,620.65
2016-11-04,604.15
2016-11-07,615.7
2016-11-08,607.7
2016-11-09,606.1
2016-11-10,596.35
2016-11-11,592.45
2016-11-15,574.75
2016-11-16,581.65
2016-11-17,575.05
2016-11-18,590.5
2016-11-21,581.25
2016-11-22,580.5
2016-11-23,581.25
2016-11-24,580.0
2016-11-25,581.0
2016-11-28,581.45
2016-11-29,584.2
2016-11-30,570.25
2016-12-01,569.85
2016-12-02,573.8
2016-12-05,575.4
2016-12-06,580.4
2016-12-07,568.7
2016-12-08,578.15
2016-12-09,608.8
2016-12-12,600.05
2016-12-13,603.35
2016-12-14,600.15
2016-12-15,602.0
2016-12-16,600.65
2016-12-19,602.2
2016-12-20,607.6
2016-12-21,615.05
2016-12-22,620.65
2016-12-23,611.8
2016-12-26,621.15
2016-12-27,603.75
2016-12-28,722.65
2016-12-29,670.7
2016-12-30,679.45
