Date,ATFL
2016-01-01,550.05
2016-01-04,540.0
2016-01-05,554.2
2016-01-06,550.55
2016-01-07,543.9
2016-01-08,550.2
2016-01-11,541.4
2016-01-12,544.35
2016-01-13,538.3
2016-01-14,546.9
2016-01-15,539.65
2016-01-18,537.2
2016-01-19,530.35
2016-01-20,520.75
2016-01-21,513.5
2016-01-22,482.8
2016-01-25,486.3
2016-01-27,492.75
2016-01-28,480.8
2016-01-29,486.8
2016-02-01,500.0
2016-02-02,515.85
2016-02-03,490.6
2016-02-04,482.5
2016-02-05,505.05
2016-02-08,492.65
2016-02-09,487.1
2016-02-10,484.85
2016-02-11,477.0
2016-02-12,455.75
2016-02-15,463.55
2016-02-16,460.6
2016-02-17,460.2
2016-02-18,472.1
2016-02-19,471.4
2016-02-22,465.25
2016-02-23,481.5
2016-02-24,477.3
2016-02-25,478.5
2016-02-26,466.65
2016-02-29,465.6
2016-03-01,476.65
2016-03-02,498.9
2016-03-03,488.2
2016-03-04,469.45
2016-03-08,463.35
2016-03-09,477.35
2016-03-10,491.2
2016-03-11,488.75
2016-03-14,483.4
2016-03-15,473.75
2016-03-16,472.6
2016-03-17,479.05
2016-03-18,479.9
2016-03-21,470.5
2016-03-22,469.9
2016-03-23,469.4
2016-03-28,464.6
2016-03-29,457.35
2016-03-30,462.8
2016-03-31,469.8
2016-04-01,464.5
2016-04-04,474.25
2016-04-05,456.55
2016-04-06,467.95
2016-04-07,468.55
2016-04-08,478.9
2016-04-11,476.55
2016-04-12,481.6
2016-04-13,491.25
2016-04-18,489.7
2016-04-20,481.25
2016-04-21,475.3
2016-04-22,475.85
2016-04-25,479.2
2016-04-26,479.25
2016-04-27,467.0
2016-04-28,472.4
2016-04-29,463.9
2016-05-02,462.85
2016-05-03,457.4
2016-05-04,453.3
2016-05-05,457.9
2016-05-06,460.45
2016-05-09,457.65
2016-05-10,470.5
2016-05-11,472.65
2016-05-12,482.8
2016-05-13,482.5
2016-05-16,481.85
2016-05-17,481.6
2016-05-18,480.15
2016-05-19,479.3
2016-05-20,479.35
2016-05-23,494.95
2016-05-24,498.7
2016-05-25,493.9
2016-05-26,489.15
2016-05-27,493.6
2016-05-30,490.0
2016-05-31,481.5
2016-06-01,496.0
2016-06-02,487.15
2016-06-03,485.1
2016-06-06,497.15
2016-06-07,503.35
2016-06-08,505.95
2016-06-09,523.2
2016-06-10,527.45
2016-06-13,520.6
2016-06-14,522.5
2016-06-15,518.9
2016-06-16,535.0
2016-06-17,522.2
2016-06-20,520.05
2016-06-21,517.5
2016-06-22,520.45
2016-06-23,519.8
2016-06-24,519.8
2016-06-27,516.3
2016-06-28,524.9
2016-06-29,518.9
2016-06-30,523.8
2016-07-01,521.3
2016-07-04,518.25
2016-07-05,516.05
2016-07-07,504.6
2016-07-08,514.75
2016-07-11,513.45
2016-07-12,510.6
2016-07-13,513.65
2016-07-14,511.0
2016-07-15,510.1
2016-07-18,495.8
2016-07-19,496.55
2016-07-20,497.7
2016-07-21,501.35
2016-07-22,507.75
2016-07-25,502.65
2016-07-26,498.95
2016-07-27,499.6
2016-07-28,487.7
2016-07-29,492.05
2016-08-01,484.5
2016-08-02,489.0
2016-08-03,485.05
2016-08-04,480.85
2016-08-05,485.9
2016-08-08,484.75
2016-08-09,486.9
2016-08-10,489.35
2016-08-11,487.15
2016-08-12,486.9
2016-08-16,495.5
2016-08-17,499.85
2016-08-18,492.65
2016-08-19,496.25
2016-08-22,510.15
2016-08-23,530.7
2016-08-24,525.0
2016-08-25,525.0
2016-08-26,526.05
2016-08-29,525.45
2016-08-30,543.9
2016-08-31,530.15
2016-09-01,535.8
2016-09-02,530.95
2016-09-06,532.75
2016-09-07,525.4
2016-09-08,529.55
2016-09-09,522.75
2016-09-12,519.35
2016-09-14,520.25
2016-09-15,522.35
2016-09-16,529.85
2016-09-19,530.05
2016-09-20,530.15
2016-09-21,531.55
2016-09-22,537.0
2016-09-23,535.9
2016-09-26,524.7
2016-09-27,520.75
2016-09-28,525.5
2016-09-29,503.2
2016-09-30,505.15
2016-10-03,515.15
2016-10-04,509.3
2016-10-05,509.6
2016-10-06,509.9
2016-10-07,514.4
2016-10-10,504.75
2016-10-13,500.55
2016-10-14,495.15
2016-10-17,509.6
2016-10-18,509.5
2016-10-19,515.9
2016-10-20,499.1
2016-10-21,495.4
2016-10-24,488.4
2016-10-25,484.3
2016-10-26,479.85
2016-10-27,474.35
2016-10-28,482.25
2016-10-30,485.4
2016-11-01,484.4
2016-11-02,473.6
2016-11-03,464.85
2016-11-04,458.45
2016-11-07,471.5
2016-11-08,465.05
2016-11-09,457.15
2016-11-10,472.25
2016-11-11,460.5
2016-11-15,439.35
2016-11-16,438.05
2016-11-17,443.45
2016-11-18,440.1
2016-11-21,431.45
2016-11-22,432.9
2016-11-23,442.85
2016-11-24,442.05
2016-11-25,440.7
2016-11-28,474.95
2016-11-29,480.5
2016-11-30,471.1
2016-12-01,469.3
2016-12-02,463.1
2016-12-05,464.85
2016-12-06,462.5
2016-12-07,458.75
2016-12-08,456.25
2016-12-09,458.15
2016-12-12,449.35
2016-12-13,454.9
2016-12-14,452.8
2016-12-15,447.7
2016-12-16,446.25
2016-12-19,444.7
2016-12-20,432.95
2016-12-21,440.8
2016-12-22,439.35
2016-12-23,442.4
2016-12-26,454.4
2016-12-27,449.7
2016-12-28,451.35
2016-12-29,452.4
2016-12-30,455.0
