Date,HINDNATGLS
2016-01-01,89.0
2016-01-04,90.05
2016-01-05,91.45
2016-01-06,91.05
2016-01-07,90.55
2016-01-08,91.1
2016-01-11,92.95
2016-01-12,89.05
2016-01-13,90.0
2016-01-14,86.1
2016-01-15,87.0
2016-01-18,85.0
2016-01-19,85.0
2016-01-20,90.0
2016-01-21,85.25
2016-01-22,85.05
2016-01-25,88.35
2016-01-27,82.0
2016-01-28,82.0
2016-01-29,79.95
2016-02-01,82.0
2016-02-02,81.25
2016-02-03,81.95
2016-02-04,80.0
2016-02-05,80.0
2016-02-08,81.0
2016-02-09,79.15
2016-02-10,77.85
2016-02-11,70.0
2016-02-12,68.0
2016-02-15,63.2
2016-02-16,62.75
2016-02-18,63.45
2016-02-19,65.0
2016-02-22,65.0
2016-02-23,62.1
2016-02-24,64.0
2016-02-25,68.25
2016-02-26,66.0
2016-02-29,64.0
2016-03-01,69.05
2016-03-03,72.65
2016-03-04,72.0
2016-03-08,73.0
2016-03-09,80.35
2016-03-10,80.0
2016-03-11,80.0
2016-03-14,80.45
2016-03-15,80.8
2016-03-16,80.15
2016-03-17,80.1
2016-03-18,79.5
2016-03-21,78.05
2016-03-22,74.75
2016-03-23,75.0
2016-03-28,76.2
2016-03-29,76.5
2016-03-30,74.0
2016-03-31,76.35
2016-04-01,76.0
2016-04-06,76.5
2016-04-07,79.3
2016-04-08,79.9
2016-04-11,77.05
2016-04-12,77.0
2016-04-13,79.15
2016-04-18,75.6
2016-04-20,76.15
2016-04-21,78.5
2016-04-22,77.5
2016-04-25,79.0
2016-04-26,76.75
2016-04-27,80.0
2016-04-28,77.0
2016-04-29,77.0
2016-05-02,79.3
2016-05-03,77.25
2016-05-04,76.6
2016-05-05,80.0
2016-05-06,82.1
2016-05-09,79.95
2016-05-10,79.8
2016-05-11,77.55
2016-05-12,76.85
2016-05-13,79.25
2016-05-16,78.1
2016-05-17,78.1
2016-05-18,77.95
2016-05-19,78.3
2016-05-20,79.15
2016-05-23,80.0
2016-05-24,80.0
2016-05-25,79.85
2016-05-26,79.05
2016-05-27,78.0
2016-05-30,82.05
2016-05-31,77.7
2016-06-01,79.0
2016-06-02,79.0
2016-06-06,83.0
2016-06-07,81.0
2016-06-08,78.65
2016-06-09,82.45
2016-06-10,79.6
2016-06-13,83.05
2016-06-14,82.5
2016-06-15,80.15
2016-06-16,78.0
2016-06-17,79.0
2016-06-20,78.45
2016-06-21,78.1
2016-06-22,78.0
2016-06-24,82.8
2016-06-27,83.0
2016-06-28,83.15
2016-06-29,85.0
2016-06-30,86.85
2016-07-01,86.5
2016-07-04,88.35
2016-07-05,87.85
2016-07-07,93.65
2016-07-08,93.5
2016-07-11,94.0
2016-07-12,91.75
2016-07-13,88.35
2016-07-14,87.0
2016-07-15,90.7
2016-07-19,87.25
2016-07-20,86.0
2016-07-21,88.95
2016-07-22,92.45
2016-07-25,89.3
2016-07-27,92.0
2016-07-28,88.95
2016-07-29,90.15
2016-08-01,89.0
2016-08-02,84.1
2016-08-03,83.0
2016-08-04,83.8
2016-08-05,86.65
2016-08-08,87.9
2016-08-09,85.0
2016-08-10,85.0
2016-08-11,85.35
2016-08-12,85.2
2016-08-16,86.05
2016-08-17,88.4
2016-08-18,84.1
2016-08-19,82.65
2016-08-22,83.45
2016-08-23,83.95
2016-08-25,88.95
2016-08-26,86.15
2016-08-29,87.65
2016-08-30,91.75
2016-08-31,110.1
2016-09-01,132.1
2016-09-02,145.3
2016-09-06,139.0
2016-09-07,127.3
2016-09-08,134.95
2016-09-09,134.8
2016-09-12,121.35
2016-09-14,115.0
2016-09-15,113.95
2016-09-16,115.05
2016-09-19,105.7
2016-09-20,101.05
2016-09-21,103.15
2016-09-22,101.25
2016-09-23,100.85
2016-09-26,99.75
2016-09-27,99.95
2016-09-28,98.85
2016-09-29,94.65
2016-09-30,94.2
2016-10-03,98.1
2016-10-04,99.8
2016-10-05,104.75
2016-10-06,105.45
2016-10-07,104.8
2016-10-10,113.0
2016-10-13,111.6
2016-10-14,113.0
2016-10-17,107.95
2016-10-18,108.85
2016-10-19,106.0
2016-10-20,105.0
2016-10-21,106.0
2016-10-24,107.3
2016-10-25,107.3
2016-10-26,110.95
2016-10-27,107.4
2016-10-28,107.05
2016-10-30,102.1
2016-11-01,109.75
2016-11-02,104.85
2016-11-03,105.1
2016-11-04,103.0
2016-11-07,109.85
2016-11-08,107.5
2016-11-09,106.0
2016-11-10,108.7
2016-11-11,103.5
2016-11-15,95.0
2016-11-16,106.75
2016-11-17,102.5
2016-11-18,95.05
2016-11-21,95.0
2016-11-24,97.0
2016-11-25,104.95
2016-11-28,103.65
2016-11-29,103.8
2016-11-30,100.25
2016-12-01,100.35
2016-12-02,100.0
2016-12-05,101.9
2016-12-06,102.95
2016-12-07,98.0
2016-12-08,103.0
2016-12-12,100.0
2016-12-13,98.0
2016-12-14,99.45
2016-12-15,117.55
2016-12-16,111.05
2016-12-19,110.0
2016-12-20,104.95
2016-12-21,105.8
2016-12-22,103.5
2016-12-23,104.9
2016-12-26,100.1
2016-12-27,100.15
2016-12-28,101.25
2016-12-29,102.95
2016-12-30,106.0
