Date,ANDHRACEMT
2016-01-01,8.3
2016-01-04,8.95
2016-01-05,9.35
2016-01-06,10.2
2016-01-07,9.75
2016-01-08,10.0
2016-01-11,10.65
2016-01-12,10.15
2016-01-13,9.5
2016-01-14,8.75
2016-01-15,8.35
2016-01-18,7.55
2016-01-19,7.9
2016-01-20,8.15
2016-01-21,8.1
2016-01-22,8.35
2016-01-25,8.75
2016-01-27,8.95
2016-01-28,9.0
2016-01-29,8.85
2016-02-01,8.65
2016-02-02,8.25
2016-02-03,7.85
2016-02-04,7.5
2016-02-05,7.3
2016-02-08,7.1
2016-02-09,6.9
2016-02-10,6.85
2016-02-11,6.25
2016-02-12,5.95
2016-02-15,6.5
2016-02-16,6.35
2016-02-17,5.95
2016-02-18,6.2
2016-02-19,6.25
2016-02-22,6.7
2016-02-23,7.3
2016-02-24,7.2
2016-02-25,6.9
2016-02-26,6.3
2016-02-29,6.9
2016-03-01,7.55
2016-03-02,8.05
2016-03-03,8.2
2016-03-04,7.95
2016-03-08,7.4
2016-03-09,7.55
2016-03-10,7.6
2016-03-11,7.7
2016-03-14,7.7
2016-03-15,7.4
2016-03-16,7.45
2016-03-17,7.5
2016-03-18,7.45
2016-03-21,7.55
2016-03-22,7.6
2016-03-23,7.6
2016-03-28,7.3
2016-03-29,7.25
2016-03-30,8.2
2016-03-31,8.1
2016-04-01,8.0
2016-04-04,7.85
2016-04-05,7.8
2016-04-06,7.65
2016-04-07,7.6
2016-04-08,8.65
2016-04-11,8.5
2016-04-12,8.3
2016-04-13,8.35
2016-04-18,8.3
2016-04-20,8.1
2016-04-21,8.0
2016-04-22,8.1
2016-04-25,8.1
2016-04-26,7.9
2016-04-27,7.8
2016-04-28,7.6
2016-04-29,7.8
2016-05-02,7.7
2016-05-03,8.65
2016-05-04,8.1
2016-05-05,8.0
2016-05-06,7.95
2016-05-09,7.8
2016-05-10,7.8
2016-05-11,7.9
2016-05-12,7.95
2016-05-13,7.75
2016-05-16,7.8
2016-05-17,7.7
2016-05-18,8.3
2016-05-19,8.15
2016-05-20,8.0
2016-05-23,7.75
2016-05-24,7.75
2016-05-25,7.55
2016-05-26,7.75
2016-05-27,7.75
2016-05-30,7.5
2016-05-31,7.4
2016-06-01,7.35
2016-06-02,7.3
2016-06-03,7.3
2016-06-06,7.25
2016-06-07,7.0
2016-06-08,7.7
2016-06-09,7.3
2016-06-10,7.5
2016-06-13,7.4
2016-06-14,8.25
2016-06-15,8.25
2016-06-16,7.9
2016-06-17,7.85
2016-06-20,7.85
2016-06-21,7.8
2016-06-22,7.75
2016-06-23,7.75
2016-06-24,7.35
2016-06-27,7.9
2016-06-28,8.15
2016-06-29,8.6
2016-06-30,8.4
2016-07-01,8.1
2016-07-04,7.95
2016-07-05,8.2
2016-07-07,8.15
2016-07-08,8.05
2016-07-11,8.15
2016-07-12,8.15
2016-07-13,8.05
2016-07-14,8.05
2016-07-15,8.0
2016-07-18,8.1
2016-07-19,7.95
2016-07-20,7.95
2016-07-21,7.8
2016-07-22,7.9
2016-07-25,7.85
2016-07-26,7.8
2016-07-27,8.55
2016-07-28,8.8
2016-07-29,8.5
2016-08-01,8.15
2016-08-02,8.0
2016-08-03,8.05
2016-08-04,8.0
2016-08-05,8.3
2016-08-08,8.1
2016-08-09,8.25
2016-08-10,8.05
2016-08-11,8.05
2016-08-12,8.05
2016-08-16,7.95
2016-08-17,7.85
2016-08-18,7.9
2016-08-19,7.9
2016-08-22,7.7
2016-08-23,7.9
2016-08-24,7.85
2016-08-25,8.35
2016-08-26,8.65
2016-08-29,8.65
2016-08-30,9.0
2016-08-31,9.2
2016-09-01,8.9
2016-09-02,9.05
2016-09-06,9.2
2016-09-07,9.0
2016-09-08,8.85
2016-09-09,8.7
2016-09-12,8.4
2016-09-14,8.5
2016-09-15,8.4
2016-09-16,8.35
2016-09-19,8.25
2016-09-20,8.2
2016-09-21,8.1
2016-09-22,8.2
2016-09-23,8.1
2016-09-26,8.0
2016-09-27,8.1
2016-09-28,8.05
2016-09-29,7.6
2016-09-30,7.8
2016-10-03,7.9
2016-10-04,7.95
2016-10-05,8.35
2016-10-06,8.4
2016-10-07,8.2
2016-10-10,8.5
2016-10-13,8.15
2016-10-14,8.6
2016-10-17,8.55
2016-10-18,8.5
2016-10-19,8.45
2016-10-20,8.4
2016-10-21,8.9
2016-10-24,8.9
2016-10-25,8.7
2016-10-26,8.65
2016-10-27,8.75
2016-10-28,8.75
2016-10-30,9.05
2016-11-01,8.7
2016-11-02,8.6
2016-11-03,8.5
2016-11-04,8.1
2016-11-07,8.35
2016-11-08,8.55
2016-11-09,8.2
2016-11-10,8.2
2016-11-11,7.9
2016-11-15,7.3
2016-11-16,7.1
2016-11-17,6.9
2016-11-18,6.8
2016-11-21,6.45
2016-11-22,6.45
2016-11-23,6.95
2016-11-24,7.15
2016-11-25,7.15
2016-11-28,7.2
2016-11-29,7.45
2016-11-30,7.85
2016-12-01,7.8
2016-12-02,7.5
2016-12-05,7.6
2016-12-06,7.6
2016-12-07,7.55
2016-12-08,7.6
2016-12-09,7.6
2016-12-12,7.45
2016-12-13,7.35
2016-12-14,7.25
2016-12-15,7.35
2016-12-16,7.15
2016-12-19,7.2
2016-12-20,7.1
2016-12-21,7.05
2016-12-22,7.0
2016-12-23,7.2
2016-12-26,6.95
2016-12-27,7.05
2016-12-28,7.35
2016-12-29,7.2
2016-12-30,7.4
