Date,IVZINGOLD
2016-01-04,2136.95
2016-01-05,2131.2
2016-01-06,2131.2
2016-01-07,2175.75
2016-01-08,2160.0
2016-01-11,2150.0
2016-01-12,2180.0
2016-01-13,2136.85
2016-01-15,2198.0
2016-01-18,2114.25
2016-01-19,2060.15
2016-01-20,2064.95
2016-01-21,2074.0
2016-01-22,2049.0
2016-01-25,2115.35
2016-01-27,2105.1
2016-01-28,2076.0
2016-01-29,2071.05
2016-02-01,2095.0
2016-02-02,2090.05
2016-02-03,2222.4
2016-02-04,2300.0
2016-02-05,2353.75
2016-02-08,2444.95
2016-02-09,2345.05
2016-02-10,2521.2
2016-02-11,2472.4
2016-02-12,2546.05
2016-02-15,2500.0
2016-02-16,2550.15
2016-02-17,2549.0
2016-02-18,2550.0
2016-02-19,2594.1
2016-02-22,2600.0
2016-02-23,2589.0
2016-02-24,2626.0
2016-02-25,2600.0
2016-02-26,2572.0
2016-02-29,2580.0
2016-03-01,2600.0
2016-03-02,2599.0
2016-03-03,2600.0
2016-03-04,2644.35
2016-03-08,2651.0
2016-03-09,2597.0
2016-03-10,2650.0
2016-03-11,2700.7
2016-03-14,2690.0
2016-03-15,2651.95
2016-03-16,2659.0
2016-03-17,2643.2
2016-03-18,2690.0
2016-03-21,2658.0
2016-03-22,2675.7
2016-03-23,2640.0
2016-03-28,2600.0
2016-03-29,2625.0
2016-03-30,2650.0
2016-03-31,2561.5
2016-04-01,2669.65
2016-04-04,2584.25
2016-04-05,2610.0
2016-04-06,2649.0
2016-04-07,2688.0
2016-04-08,2686.2
2016-04-11,2710.0
2016-04-12,2740.0
2016-04-13,2709.2
2016-04-18,2709.2
2016-04-20,2744.35
2016-04-21,2772.25
2016-04-22,2770.0
2016-04-25,2784.35
2016-04-26,2725.55
2016-04-27,2729.0
2016-04-28,2737.0
2016-04-29,2805.75
2016-05-02,2840.55
2016-05-03,2837.15
2016-05-04,2787.0
2016-05-05,2788.0
2016-05-06,2810.1
2016-05-09,2850.0
2016-05-10,2775.0
2016-05-11,2775.0
2016-05-12,2785.0
2016-05-13,2801.0
2016-05-16,2800.0
2016-05-17,2747.25
2016-05-19,2799.15
2016-05-20,2765.0
2016-05-23,2769.25
2016-05-24,2772.6
2016-05-25,2720.0
2016-05-26,2720.0
2016-05-27,2682.0
2016-05-30,2650.0
2016-05-31,2659.0
2016-06-01,2684.85
2016-06-02,2670.35
2016-06-03,2691.15
2016-06-07,2650.0
2016-06-08,2700.1
2016-06-09,2702.0
2016-06-10,2710.9
2016-06-13,2794.9
2016-06-14,2790.0
2016-06-15,2712.35
2016-06-16,2800.05
2016-06-17,2732.0
2016-06-20,2800.0
2016-06-21,2800.0
2016-06-22,2750.0
2016-06-23,2850.0
2016-06-24,2850.0
2016-06-27,2850.0
2016-06-28,2805.0
2016-06-29,2849.45
2016-06-30,2850.0
2016-07-01,2870.0
2016-07-04,2890.0
2016-07-05,2885.0
2016-07-07,2900.0
2016-07-08,2841.85
2016-07-11,2893.0
2016-07-12,2860.0
2016-07-13,2900.0
2016-07-14,2867.25
2016-07-15,2848.1
2016-07-18,2829.0
2016-07-19,2889.5
2016-07-20,2810.0
2016-07-21,2830.0
2016-07-22,2840.0
2016-07-25,2865.0
2016-07-26,2843.0
2016-07-27,2855.2
2016-07-28,2900.0
2016-07-29,2880.0
2016-08-01,2908.0
2016-08-02,2880.0
2016-08-03,2930.0
2016-08-04,2911.0
2016-08-05,2920.0
2016-08-08,2868.0
2016-08-09,2881.0
2016-08-10,2925.0
2016-08-11,2925.0
2016-08-12,2871.0
2016-08-16,2930.0
2016-08-17,2930.0
2016-08-18,2940.0
2016-08-19,2940.0
2016-08-22,2882.0
2016-08-23,2930.0
2016-08-24,2950.0
2016-08-25,2910.0
2016-08-26,2901.0
2016-08-29,2861.0
2016-08-30,2900.0
2016-08-31,2856.0
2016-09-01,2864.25
2016-09-02,2865.0
2016-09-06,2887.5
2016-09-07,2923.0
2016-09-08,2918.0
2016-09-09,2886.65
2016-09-12,2890.0
2016-09-14,2890.0
2016-09-15,2890.0
2016-09-16,2870.5
2016-09-19,2875.0
2016-09-20,2890.0
2016-09-21,2900.0
2016-09-22,2930.0
2016-09-23,2898.15
2016-09-26,2925.0
2016-09-27,2900.0
2016-09-28,2895.0
2016-09-29,2873.0
2016-09-30,2896.0
2016-10-03,2936.0
2016-10-05,2831.0
2016-10-06,2815.0
2016-10-10,2870.0
2016-10-13,2799.65
2016-10-17,2762.25
2016-10-18,2778.7
2016-10-19,2761.25
2016-10-20,2804.0
2016-10-21,2773.35
2016-10-24,2758.8
2016-10-25,2788.1
2016-10-26,2763.35
2016-10-27,2757.6
2016-10-28,2818.1
2016-10-30,2881.45
2016-11-01,2774.15
2016-11-02,2800.8
2016-11-03,2850.0
2016-11-04,2874.75
2016-11-07,2789.85
2016-11-08,2800.0
2016-11-09,2839.65
2016-11-10,2775.0
2016-11-11,2773.1
2016-11-15,2711.95
2016-11-16,2710.75
2016-11-18,2710.0
2016-11-21,2710.0
2016-11-23,2650.05
2016-11-24,2660.0
2016-11-25,2602.05
2016-11-28,2710.3
2016-11-30,2651.05
2016-12-02,2626.75
2016-12-05,2680.55
2016-12-08,2627.0
2016-12-09,2600.0
2016-12-13,2531.0
2016-12-15,2541.25
2016-12-16,2530.0
2016-12-19,2530.0
2016-12-20,2577.95
2016-12-21,2575.0
2016-12-22,2530.0
2016-12-23,2480.05
2016-12-27,2639.0
2016-12-28,2594.05
2016-12-29,2594.05
