Date,ASTRAMICRO
2016-01-01,140.65
2016-01-04,137.35
2016-01-05,143.45
2016-01-06,143.05
2016-01-07,136.45
2016-01-08,138.0
2016-01-11,136.6
2016-01-12,137.4
2016-01-13,132.7
2016-01-14,126.7
2016-01-15,120.9
2016-01-18,110.1
2016-01-19,116.0
2016-01-20,114.75
2016-01-21,116.85
2016-01-22,126.25
2016-01-25,128.35
2016-01-27,125.5
2016-01-28,125.15
2016-01-29,126.85
2016-02-01,122.25
2016-02-02,118.05
2016-02-03,119.5
2016-02-04,121.3
2016-02-05,122.75
2016-02-08,119.5
2016-02-09,117.75
2016-02-10,115.75
2016-02-11,110.95
2016-02-12,110.35
2016-02-15,114.15
2016-02-16,112.05
2016-02-17,113.55
2016-02-18,115.35
2016-02-19,115.5
2016-02-22,117.75
2016-02-23,114.3
2016-02-24,112.7
2016-02-25,111.3
2016-02-26,110.35
2016-02-29,107.25
2016-03-01,109.6
2016-03-02,112.45
2016-03-03,109.8
2016-03-04,107.85
2016-03-08,106.65
2016-03-09,106.95
2016-03-10,106.85
2016-03-11,105.85
2016-03-14,105.8
2016-03-15,104.35
2016-03-16,103.8
2016-03-17,102.8
2016-03-18,102.95
2016-03-21,107.65
2016-03-22,110.35
2016-03-23,108.35
2016-03-28,106.25
2016-03-29,104.55
2016-03-30,106.6
2016-03-31,105.75
2016-04-01,110.85
2016-04-04,111.65
2016-04-05,108.2
2016-04-06,109.2
2016-04-07,111.75
2016-04-08,112.25
2016-04-11,111.55
2016-04-12,122.5
2016-04-13,120.7
2016-04-18,120.15
2016-04-20,121.4
2016-04-21,123.3
2016-04-22,120.95
2016-04-25,120.85
2016-04-26,122.3
2016-04-27,124.15
2016-04-28,122.3
2016-04-29,122.9
2016-05-02,124.7
2016-05-03,121.7
2016-05-04,118.15
2016-05-05,119.8
2016-05-06,118.1
2016-05-09,117.15
2016-05-10,116.75
2016-05-11,116.1
2016-05-12,116.8
2016-05-13,113.85
2016-05-16,110.5
2016-05-17,113.55
2016-05-18,114.25
2016-05-19,113.25
2016-05-20,112.0
2016-05-23,111.65
2016-05-24,110.35
2016-05-25,112.05
2016-05-26,113.0
2016-05-27,113.8
2016-05-30,111.8
2016-05-31,111.7
2016-06-01,112.45
2016-06-02,111.8
2016-06-03,110.2
2016-06-06,118.9
2016-06-07,122.15
2016-06-08,128.75
2016-06-09,125.8
2016-06-10,124.1
2016-06-13,120.0
2016-06-14,122.8
2016-06-15,121.9
2016-06-16,119.25
2016-06-17,118.75
2016-06-20,122.9
2016-06-21,122.0
2016-06-22,121.7
2016-06-23,121.4
2016-06-24,117.7
2016-06-27,118.8
2016-06-28,121.85
2016-06-29,123.05
2016-06-30,123.05
2016-07-01,124.0
2016-07-04,128.25
2016-07-05,124.85
2016-07-07,132.75
2016-07-08,128.35
2016-07-11,125.8
2016-07-12,125.85
2016-07-13,126.75
2016-07-14,126.0
2016-07-15,123.1
2016-07-18,125.05
2016-07-19,126.1
2016-07-20,126.7
2016-07-21,125.75
2016-07-22,125.75
2016-07-25,126.6
2016-07-26,125.75
2016-07-27,126.95
2016-07-28,129.3
2016-07-29,126.0
2016-08-01,120.85
2016-08-02,121.3
2016-08-03,119.4
2016-08-04,120.05
2016-08-05,120.05
2016-08-08,120.05
2016-08-09,120.6
2016-08-10,117.1
2016-08-11,117.75
2016-08-12,116.55
2016-08-16,115.6
2016-08-17,115.95
2016-08-18,116.6
2016-08-19,116.65
2016-08-22,116.75
2016-08-23,119.25
2016-08-24,119.85
2016-08-25,117.65
2016-08-26,117.9
2016-08-29,114.9
2016-08-30,115.9
2016-08-31,116.45
2016-09-01,116.2
2016-09-02,116.2
2016-09-06,118.5
2016-09-07,119.6
2016-09-08,118.5
2016-09-09,117.35
2016-09-12,115.55
2016-09-14,115.75
2016-09-15,114.8
2016-09-16,115.85
2016-09-19,115.15
2016-09-20,115.55
2016-09-21,116.4
2016-09-22,117.7
2016-09-23,115.95
2016-09-26,115.7
2016-09-27,115.95
2016-09-28,115.8
2016-09-29,109.25
2016-09-30,111.2
2016-10-03,115.75
2016-10-04,114.9
2016-10-05,114.85
2016-10-06,115.2
2016-10-07,114.7
2016-10-10,115.3
2016-10-13,113.4
2016-10-14,116.55
2016-10-17,114.0
2016-10-18,114.25
2016-10-19,115.3
2016-10-20,121.1
2016-10-21,119.6
2016-10-24,120.2
2016-10-25,118.4
2016-10-26,116.1
2016-10-27,115.25
2016-10-28,116.0
2016-10-30,119.65
2016-11-01,116.45
2016-11-02,116.1
2016-11-03,116.6
2016-11-04,114.5
2016-11-07,116.4
2016-11-08,115.8
2016-11-09,113.05
2016-11-10,118.1
2016-11-11,114.2
2016-11-15,109.0
2016-11-16,107.9
2016-11-17,107.45
2016-11-18,108.25
2016-11-21,102.9
2016-11-22,103.85
2016-11-23,106.2
2016-11-24,109.25
2016-11-25,109.7
2016-11-28,109.05
2016-11-29,108.8
2016-11-30,111.1
2016-12-01,109.8
2016-12-02,108.75
2016-12-05,109.15
2016-12-06,114.3
2016-12-07,111.6
2016-12-08,112.8
2016-12-09,116.05
2016-12-12,114.7
2016-12-13,113.05
2016-12-14,111.65
2016-12-15,116.7
2016-12-16,115.15
2016-12-19,115.65
2016-12-20,112.85
2016-12-21,111.6
2016-12-22,109.9
2016-12-23,110.6
2016-12-26,108.45
2016-12-27,108.75
2016-12-28,108.35
2016-12-29,109.25
2016-12-30,109.65
