Date,REPCOHOME
2016-01-01,700.55
2016-01-04,680.4
2016-01-05,661.65
2016-01-06,661.2
2016-01-07,657.4
2016-01-08,649.35
2016-01-11,640.2
2016-01-12,627.25
2016-01-13,620.0
2016-01-14,613.1
2016-01-15,606.25
2016-01-18,578.9
2016-01-19,579.4
2016-01-20,597.8
2016-01-21,620.65
2016-01-22,620.25
2016-01-25,626.55
2016-01-27,638.5
2016-01-28,639.5
2016-01-29,643.1
2016-02-01,641.5
2016-02-02,633.25
2016-02-03,624.35
2016-02-04,619.3
2016-02-05,629.2
2016-02-08,641.15
2016-02-09,612.7
2016-02-10,608.85
2016-02-11,583.7
2016-02-12,566.4
2016-02-15,595.45
2016-02-16,580.3
2016-02-17,592.75
2016-02-18,595.05
2016-02-19,582.4
2016-02-22,595.95
2016-02-23,580.3
2016-02-24,580.9
2016-02-25,574.05
2016-02-26,592.45
2016-02-29,568.1
2016-03-01,599.0
2016-03-02,596.1
2016-03-03,598.9
2016-03-04,589.6
2016-03-08,584.6
2016-03-09,590.9
2016-03-10,589.95
2016-03-11,589.55
2016-03-14,583.65
2016-03-15,575.4
2016-03-16,583.05
2016-03-17,577.05
2016-03-18,583.0
2016-03-21,590.0
2016-03-22,589.5
2016-03-23,588.15
2016-03-28,582.7
2016-03-29,572.9
2016-03-30,569.4
2016-03-31,579.15
2016-04-01,580.9
2016-04-04,611.75
2016-04-05,624.45
2016-04-06,632.45
2016-04-07,625.85
2016-04-08,626.75
2016-04-11,634.7
2016-04-12,640.1
2016-04-13,655.7
2016-04-18,667.1
2016-04-20,664.7
2016-04-21,655.1
2016-04-22,662.95
2016-04-25,654.6
2016-04-26,665.05
2016-04-27,651.5
2016-04-28,636.15
2016-04-29,638.95
2016-05-02,620.75
2016-05-03,623.5
2016-05-04,612.9
2016-05-05,621.3
2016-05-06,610.55
2016-05-09,631.35
2016-05-10,630.0
2016-05-11,635.0
2016-05-12,648.4
2016-05-13,662.45
2016-05-16,671.1
2016-05-17,674.3
2016-05-18,683.5
2016-05-19,668.85
2016-05-20,664.85
2016-05-23,670.65
2016-05-24,675.7
2016-05-25,667.2
2016-05-26,680.5
2016-05-27,679.2
2016-05-30,675.65
2016-05-31,673.15
2016-06-01,675.4
2016-06-02,671.25
2016-06-03,674.0
2016-06-06,710.7
2016-06-07,733.7
2016-06-08,774.05
2016-06-09,753.9
2016-06-10,739.5
2016-06-13,744.25
2016-06-14,726.5
2016-06-15,734.25
2016-06-16,737.3
2016-06-17,735.05
2016-06-20,739.65
2016-06-21,760.15
2016-06-22,756.85
2016-06-23,769.25
2016-06-24,777.8
2016-06-27,778.8
2016-06-28,768.35
2016-06-29,760.05
2016-06-30,773.9
2016-07-01,770.45
2016-07-04,778.2
2016-07-05,765.9
2016-07-07,765.7
2016-07-08,760.75
2016-07-11,769.35
2016-07-12,751.55
2016-07-13,756.0
2016-07-14,760.75
2016-07-15,773.8
2016-07-18,762.3
2016-07-19,795.7
2016-07-20,807.3
2016-07-21,832.15
2016-07-22,853.2
2016-07-25,828.6
2016-07-26,830.2
2016-07-27,828.45
2016-07-28,830.25
2016-07-29,845.55
2016-08-01,852.05
2016-08-02,860.7
2016-08-03,840.0
2016-08-04,819.35
2016-08-05,828.2
2016-08-08,819.45
2016-08-09,828.9
2016-08-10,823.7
2016-08-11,827.25
2016-08-12,825.3
2016-08-16,824.1
2016-08-17,827.2
2016-08-18,826.8
2016-08-19,833.35
2016-08-22,828.45
2016-08-23,823.05
2016-08-24,819.8
2016-08-25,813.25
2016-08-26,816.15
2016-08-29,830.65
2016-08-30,826.3
2016-08-31,855.25
2016-09-01,860.25
2016-09-02,854.0
2016-09-06,863.65
2016-09-07,874.55
2016-09-08,867.35
2016-09-09,847.85
2016-09-12,812.45
2016-09-14,829.9
2016-09-15,834.3
2016-09-16,874.6
2016-09-19,867.75
2016-09-20,839.2
2016-09-21,832.3
2016-09-22,863.35
2016-09-23,837.55
2016-09-26,821.65
2016-09-27,817.2
2016-09-28,818.55
2016-09-29,816.0
2016-09-30,817.4
2016-10-03,829.65
2016-10-04,848.95
2016-10-05,834.3
2016-10-06,823.9
2016-10-07,819.75
2016-10-10,782.45
2016-10-13,752.2
2016-10-14,747.4
2016-10-17,742.55
2016-10-18,778.5
2016-10-19,780.5
2016-10-20,781.55
2016-10-21,790.25
2016-10-24,781.85
2016-10-25,772.45
2016-10-26,766.05
2016-10-27,759.55
2016-10-28,754.75
2016-10-30,757.3
2016-11-01,768.8
2016-11-02,752.65
2016-11-03,731.45
2016-11-04,719.05
2016-11-07,711.8
2016-11-08,721.35
2016-11-09,665.5
2016-11-10,642.05
2016-11-11,594.25
2016-11-15,532.45
2016-11-16,555.85
2016-11-17,563.05
2016-11-18,552.0
2016-11-21,572.95
2016-11-22,569.15
2016-11-23,583.05
2016-11-24,570.15
2016-11-25,571.05
2016-11-28,583.2
2016-11-29,600.05
2016-11-30,600.15
2016-12-01,588.3
2016-12-02,589.7
2016-12-05,573.2
2016-12-06,561.45
2016-12-07,560.9
2016-12-08,561.6
2016-12-09,561.1
2016-12-12,539.65
2016-12-13,538.45
2016-12-14,537.15
2016-12-15,534.95
2016-12-16,525.95
2016-12-19,521.05
2016-12-20,512.3
2016-12-21,529.15
2016-12-22,521.9
2016-12-23,522.8
2016-12-26,511.95
2016-12-27,516.9
2016-12-28,530.4
2016-12-29,552.75
2016-12-30,559.25
