Date,NILAINFRA
2016-01-01,18.6
2016-01-04,18.0
2016-01-05,18.05
2016-01-06,17.85
2016-01-07,16.75
2016-01-08,17.25
2016-01-11,16.95
2016-01-12,16.8
2016-01-13,16.3
2016-01-14,16.05
2016-01-15,15.55
2016-01-18,14.1
2016-01-19,13.85
2016-01-20,12.65
2016-01-21,12.75
2016-01-22,13.55
2016-01-25,13.6
2016-01-27,14.0
2016-01-28,13.85
2016-01-29,13.95
2016-02-01,13.75
2016-02-02,13.25
2016-02-03,13.35
2016-02-04,13.6
2016-02-05,13.75
2016-02-08,14.65
2016-02-09,14.6
2016-02-10,13.95
2016-02-11,12.2
2016-02-12,11.85
2016-02-15,12.95
2016-02-16,12.8
2016-02-17,12.65
2016-02-18,12.7
2016-02-19,12.65
2016-02-22,12.9
2016-02-23,12.7
2016-02-24,12.0
2016-02-25,12.05
2016-02-26,12.2
2016-02-29,12.4
2016-03-01,12.55
2016-03-02,12.95
2016-03-03,13.2
2016-03-04,13.0
2016-03-08,12.9
2016-03-09,13.0
2016-03-10,12.85
2016-03-11,12.7
2016-03-14,12.9
2016-03-15,12.8
2016-03-16,12.85
2016-03-17,12.45
2016-03-18,12.65
2016-03-21,12.65
2016-03-22,12.5
2016-03-23,12.55
2016-03-28,12.2
2016-03-29,12.5
2016-03-30,12.55
2016-03-31,12.5
2016-04-01,12.95
2016-04-04,12.9
2016-04-05,12.7
2016-04-06,12.7
2016-04-07,12.75
2016-04-08,12.6
2016-04-11,12.5
2016-04-12,12.6
2016-04-13,12.5
2016-04-18,12.95
2016-04-20,13.2
2016-04-21,14.1
2016-04-22,13.75
2016-04-25,13.7
2016-04-26,13.7
2016-04-27,13.55
2016-04-28,13.65
2016-04-29,13.7
2016-05-02,13.5
2016-05-03,13.55
2016-05-04,13.8
2016-05-05,14.0
2016-05-06,14.15
2016-05-09,14.2
2016-05-10,14.1
2016-05-11,13.75
2016-05-12,13.65
2016-05-13,13.4
2016-05-16,12.95
2016-05-17,12.75
2016-05-18,12.65
2016-05-19,12.6
2016-05-20,12.6
2016-05-23,12.15
2016-05-24,12.2
2016-05-25,12.7
2016-05-26,12.6
2016-05-27,12.75
2016-05-30,12.35
2016-05-31,12.3
2016-06-01,12.25
2016-06-02,12.3
2016-06-03,11.9
2016-06-06,12.35
2016-06-07,12.0
2016-06-08,12.0
2016-06-09,11.7
2016-06-10,12.0
2016-06-13,11.9
2016-06-14,12.0
2016-06-15,11.95
2016-06-16,11.6
2016-06-17,11.75
2016-06-20,11.85
2016-06-21,11.65
2016-06-22,11.7
2016-06-23,11.55
2016-06-24,11.7
2016-06-27,11.9
2016-06-28,11.8
2016-06-29,12.25
2016-06-30,12.0
2016-07-01,12.0
2016-07-04,12.45
2016-07-05,12.7
2016-07-07,13.45
2016-07-08,13.55
2016-07-11,14.0
2016-07-12,13.7
2016-07-13,13.7
2016-07-14,13.55
2016-07-15,13.85
2016-07-18,13.65
2016-07-19,13.7
2016-07-20,13.45
2016-07-21,13.7
2016-07-22,13.55
2016-07-25,13.25
2016-07-26,13.5
2016-07-27,13.55
2016-07-28,13.45
2016-07-29,13.1
2016-08-01,13.0
2016-08-02,12.8
2016-08-03,12.5
2016-08-04,12.35
2016-08-05,12.3
2016-08-08,12.7
2016-08-09,12.9
2016-08-10,13.5
2016-08-11,13.45
2016-08-12,12.75
2016-08-16,12.45
2016-08-17,13.9
2016-08-18,13.75
2016-08-19,13.35
2016-08-22,13.5
2016-08-23,13.6
2016-08-24,13.85
2016-08-25,14.3
2016-08-26,13.85
2016-08-29,13.75
2016-08-30,13.9
2016-08-31,14.05
2016-09-01,14.85
2016-09-02,15.05
2016-09-06,15.55
2016-09-07,15.45
2016-09-08,15.35
2016-09-09,14.9
2016-09-12,14.5
2016-09-14,14.55
2016-09-15,14.35
2016-09-16,14.6
2016-09-19,14.3
2016-09-20,14.15
2016-09-21,14.05
2016-09-22,14.0
2016-09-23,14.0
2016-09-26,13.7
2016-09-27,13.6
2016-09-28,13.6
2016-09-29,12.55
2016-09-30,13.05
2016-10-03,14.05
2016-10-04,14.0
2016-10-05,14.4
2016-10-06,13.9
2016-10-07,15.5
2016-10-10,15.95
2016-10-13,15.15
2016-10-14,15.8
2016-10-17,15.75
2016-10-18,15.95
2016-10-19,16.4
2016-10-20,16.25
2016-10-21,16.0
2016-10-24,15.75
2016-10-25,15.45
2016-10-26,15.15
2016-10-27,15.95
2016-10-28,16.3
2016-10-30,16.4
2016-11-01,16.15
2016-11-02,15.7
2016-11-03,15.55
2016-11-04,14.85
2016-11-07,15.05
2016-11-08,15.3
2016-11-09,14.1
2016-11-10,14.85
2016-11-11,14.05
2016-11-15,13.0
2016-11-16,12.9
2016-11-17,12.7
2016-11-18,12.35
2016-11-21,12.0
2016-11-22,12.0
2016-11-23,12.75
2016-11-24,12.95
2016-11-25,13.35
2016-11-28,13.8
2016-11-29,13.8
2016-11-30,13.6
2016-12-01,13.8
2016-12-02,13.45
2016-12-05,13.55
2016-12-06,13.7
2016-12-07,13.7
2016-12-08,13.75
2016-12-09,13.7
2016-12-12,13.5
2016-12-13,13.55
2016-12-14,13.4
2016-12-15,13.4
2016-12-16,13.35
2016-12-19,13.3
2016-12-20,13.15
2016-12-21,13.0
2016-12-22,12.9
2016-12-23,13.0
2016-12-26,12.8
2016-12-27,13.05
2016-12-28,12.85
2016-12-29,12.85
2016-12-30,12.95
