Date,KICL
2016-12-12,1269.8
2016-12-13,1281.7
2016-12-14,1251.15
2016-12-15,1266.5
2016-12-16,1260.25
2016-12-19,1237.55
2016-12-20,1223.0
2016-12-21,1199.05
2016-12-22,1172.65
2016-12-23,1156.2
2016-12-26,1113.05
2016-12-27,1151.8
2016-12-28,1168.55
2016-12-29,1178.4
2016-12-30,1182.7
