Date,STARPAPER
2016-01-01,42.25
2016-01-04,46.05
2016-01-05,43.55
2016-01-06,42.9
2016-01-07,40.8
2016-01-08,40.95
2016-01-11,43.1
2016-01-12,40.25
2016-01-13,39.0
2016-01-14,38.25
2016-01-15,36.1
2016-01-18,31.05
2016-01-19,33.45
2016-01-20,30.2
2016-01-21,29.75
2016-01-22,31.25
2016-01-25,33.3
2016-01-27,33.8
2016-01-28,34.35
2016-01-29,35.15
2016-02-01,36.2
2016-02-02,34.9
2016-02-03,34.25
2016-02-04,34.25
2016-02-05,34.1
2016-02-08,34.25
2016-02-09,34.4
2016-02-10,32.65
2016-02-11,28.45
2016-02-12,31.4
2016-02-15,35.25
2016-02-16,34.4
2016-02-17,33.55
2016-02-18,33.35
2016-02-19,33.45
2016-02-22,32.3
2016-02-23,32.4
2016-02-24,31.65
2016-02-25,31.95
2016-02-26,32.7
2016-02-29,32.3
2016-03-01,33.3
2016-03-02,33.8
2016-03-03,33.5
2016-03-04,33.95
2016-03-08,34.0
2016-03-09,33.6
2016-03-10,33.6
2016-03-11,33.75
2016-03-14,33.45
2016-03-15,32.15
2016-03-16,31.75
2016-03-17,32.2
2016-03-18,32.15
2016-03-21,33.1
2016-03-22,33.25
2016-03-23,34.0
2016-03-28,33.55
2016-03-29,33.65
2016-03-30,35.2
2016-03-31,34.85
2016-04-01,35.8
2016-04-04,38.2
2016-04-05,36.45
2016-04-06,36.75
2016-04-07,36.6
2016-04-08,37.75
2016-04-11,39.1
2016-04-12,39.15
2016-04-13,38.9
2016-04-18,38.6
2016-04-20,37.65
2016-04-21,35.5
2016-04-22,35.8
2016-04-25,35.25
2016-04-26,37.05
2016-04-27,37.1
2016-04-28,36.5
2016-04-29,36.45
2016-05-02,37.2
2016-05-03,36.35
2016-05-04,35.9
2016-05-05,35.75
2016-05-06,35.45
2016-05-09,39.5
2016-05-10,38.45
2016-05-11,38.55
2016-05-12,40.1
2016-05-13,38.85
2016-05-16,39.7
2016-05-17,39.8
2016-05-18,41.9
2016-05-19,39.75
2016-05-20,39.15
2016-05-23,39.5
2016-05-24,40.9
2016-05-25,41.95
2016-05-26,44.25
2016-05-27,42.2
2016-05-30,42.65
2016-05-31,43.55
2016-06-01,43.65
2016-06-02,43.8
2016-06-03,43.0
2016-06-06,43.6
2016-06-07,43.0
2016-06-08,43.4
2016-06-09,42.75
2016-06-10,43.0
2016-06-13,42.7
2016-06-14,42.5
2016-06-15,46.15
2016-06-16,46.9
2016-06-17,45.35
2016-06-20,45.7
2016-06-21,45.1
2016-06-22,44.15
2016-06-23,45.15
2016-06-24,43.75
2016-06-27,43.7
2016-06-28,44.3
2016-06-29,45.65
2016-06-30,45.45
2016-07-01,45.25
2016-07-04,50.15
2016-07-05,51.1
2016-07-07,54.05
2016-07-08,52.65
2016-07-11,53.6
2016-07-12,51.75
2016-07-13,49.3
2016-07-14,51.8
2016-07-15,50.3
2016-07-18,49.1
2016-07-19,49.7
2016-07-20,48.7
2016-07-21,49.55
2016-07-22,49.9
2016-07-25,59.85
2016-07-26,61.15
2016-07-27,58.85
2016-07-28,60.35
2016-07-29,60.15
2016-08-01,57.7
2016-08-02,57.0
2016-08-03,56.05
2016-08-04,56.85
2016-08-05,56.6
2016-08-08,59.2
2016-08-09,62.95
2016-08-10,63.35
2016-08-11,76.0
2016-08-12,81.5
2016-08-16,83.15
2016-08-17,78.75
2016-08-18,83.1
2016-08-19,81.4
2016-08-22,89.5
2016-08-23,93.9
2016-08-24,97.9
2016-08-25,103.6
2016-08-26,111.05
2016-08-29,105.5
2016-08-30,100.25
2016-08-31,95.25
2016-09-01,99.95
2016-09-02,104.55
2016-09-06,106.8
2016-09-07,101.5
2016-09-08,97.1
2016-09-09,95.1
2016-09-12,95.55
2016-09-14,94.15
2016-09-15,98.85
2016-09-16,99.3
2016-09-19,97.35
2016-09-20,97.95
2016-09-21,96.0
2016-09-22,100.8
2016-09-23,100.25
2016-09-26,100.95
2016-09-27,100.25
2016-09-28,105.1
2016-09-29,99.85
2016-09-30,97.15
2016-10-03,102.0
2016-10-04,102.0
2016-10-05,100.5
2016-10-06,104.2
2016-10-07,114.6
2016-10-10,126.05
2016-10-13,130.8
2016-10-14,124.55
2016-10-17,123.65
2016-10-18,123.1
2016-10-19,129.25
2016-10-20,129.1
2016-10-21,128.6
2016-10-24,130.1
2016-10-25,130.2
2016-10-26,127.45
2016-10-27,128.7
2016-10-28,135.1
2016-10-30,137.2
2016-11-01,144.0
2016-11-02,151.2
2016-11-03,156.65
2016-11-04,158.75
2016-11-07,174.35
2016-11-08,182.8
2016-11-09,182.3
2016-11-10,187.55
2016-11-11,176.45
2016-11-15,169.1
2016-11-16,175.0
2016-11-17,172.05
2016-11-18,168.25
2016-11-21,151.6
2016-11-22,144.05
2016-11-23,158.45
2016-11-24,172.35
2016-11-25,181.15
2016-11-28,184.35
2016-11-29,180.1
2016-11-30,198.1
2016-12-01,192.25
2016-12-02,194.0
2016-12-05,193.2
2016-12-06,193.75
2016-12-07,188.65
2016-12-08,194.3
2016-12-09,188.4
2016-12-12,180.25
2016-12-13,178.1
2016-12-14,181.5
2016-12-15,182.75
2016-12-16,183.55
2016-12-19,180.2
2016-12-20,175.8
2016-12-21,172.85
2016-12-22,164.1
2016-12-23,168.75
2016-12-26,164.6
2016-12-27,168.85
2016-12-28,170.1
2016-12-29,176.2
2016-12-30,175.4
