Date,CGCL
2016-01-01,182.3
2016-01-04,179.5
2016-01-05,203.05
2016-01-06,199.9
2016-01-07,194.9
2016-01-08,197.0
2016-01-11,209.35
2016-01-12,210.1
2016-01-13,198.6
2016-01-14,191.15
2016-01-15,188.1
2016-01-18,182.05
2016-01-19,182.3
2016-01-20,166.2
2016-01-21,170.2
2016-01-22,169.95
2016-01-25,173.6
2016-01-27,175.25
2016-01-28,173.2
2016-01-29,175.65
2016-02-01,175.15
2016-02-02,176.95
2016-02-03,171.0
2016-02-04,174.65
2016-02-05,168.85
2016-02-08,169.45
2016-02-09,167.0
2016-02-10,157.1
2016-02-11,148.2
2016-02-12,136.4
2016-02-15,137.95
2016-02-16,126.15
2016-02-17,126.0
2016-02-18,130.0
2016-02-19,129.0
2016-02-22,129.2
2016-02-23,124.45
2016-02-24,122.25
2016-02-25,123.0
2016-02-26,122.35
2016-02-29,127.9
2016-03-01,136.25
2016-03-02,140.0
2016-03-03,140.65
2016-03-04,143.1
2016-03-08,139.9
2016-03-09,142.2
2016-03-10,137.6
2016-03-11,141.0
2016-03-14,137.55
2016-03-15,133.55
2016-03-16,131.85
2016-03-17,135.9
2016-03-18,136.75
2016-03-21,133.85
2016-03-22,133.8
2016-03-23,132.85
2016-03-28,133.0
2016-03-29,130.85
2016-03-30,132.9
2016-03-31,130.85
2016-04-01,130.7
2016-04-04,133.85
2016-04-05,129.05
2016-04-06,132.0
2016-04-07,130.05
2016-04-08,133.0
2016-04-11,130.05
2016-04-12,133.45
2016-04-13,136.35
2016-04-18,138.45
2016-04-20,140.0
2016-04-21,140.3
2016-04-22,135.25
2016-04-25,130.35
2016-04-26,130.05
2016-04-27,129.1
2016-04-28,139.4
2016-04-29,135.7
2016-05-02,136.5
2016-05-03,135.1
2016-05-04,131.3
2016-05-05,133.35
2016-05-06,133.85
2016-05-09,133.8
2016-05-10,132.7
2016-05-11,133.95
2016-05-12,131.6
2016-05-13,139.8
2016-05-16,138.15
2016-05-17,135.5
2016-05-18,138.25
2016-05-19,135.4
2016-05-20,134.5
2016-05-23,136.05
2016-05-24,134.1
2016-05-25,133.3
2016-05-26,135.15
2016-05-27,135.0
2016-05-30,134.8
2016-05-31,133.05
2016-06-01,132.9
2016-06-02,132.0
2016-06-03,135.9
2016-06-06,134.95
2016-06-07,136.8
2016-06-08,136.4
2016-06-09,135.65
2016-06-10,136.55
2016-06-13,135.45
2016-06-14,135.05
2016-06-15,137.1
2016-06-16,135.2
2016-06-17,136.3
2016-06-20,115.8
2016-06-21,124.95
2016-06-22,132.45
2016-06-23,126.45
2016-06-24,122.2
2016-06-27,122.45
2016-06-28,123.05
2016-06-29,127.45
2016-06-30,130.0
2016-07-01,135.45
2016-07-04,137.95
2016-07-05,135.65
2016-07-07,128.45
2016-07-08,129.05
2016-07-11,131.3
2016-07-12,137.2
2016-07-13,132.85
2016-07-14,132.9
2016-07-15,134.05
2016-07-18,133.05
2016-07-19,134.55
2016-07-20,139.7
2016-07-21,144.8
2016-07-22,135.1
2016-07-25,143.7
2016-07-26,157.25
2016-07-27,139.55
2016-07-28,167.45
2016-07-29,188.1
2016-08-01,179.55
2016-08-02,171.85
2016-08-03,174.4
2016-08-04,173.3
2016-08-05,173.15
2016-08-08,179.6
2016-08-09,177.35
2016-08-10,174.55
2016-08-11,170.9
2016-08-12,167.05
2016-08-16,166.65
2016-08-17,164.65
2016-08-18,164.45
2016-08-19,163.65
2016-08-22,171.9
2016-08-23,176.35
2016-08-24,185.15
2016-08-25,185.25
2016-08-26,184.3
2016-08-29,180.8
2016-08-30,186.0
2016-08-31,182.15
2016-09-01,186.05
2016-09-02,196.8
2016-09-06,198.3
2016-09-07,207.3
2016-09-08,238.55
2016-09-09,237.4
2016-09-12,222.95
2016-09-14,234.25
2016-09-15,229.85
2016-09-16,230.3
2016-09-19,229.9
2016-09-20,227.25
2016-09-21,220.9
2016-09-22,257.25
2016-09-23,288.85
2016-09-26,337.9
2016-09-27,341.2
2016-09-28,317.35
2016-09-29,285.65
2016-09-30,314.2
2016-10-03,339.5
2016-10-04,336.95
2016-10-05,370.6
2016-10-06,383.7
2016-10-07,385.05
2016-10-10,368.05
2016-10-13,370.6
2016-10-14,364.0
2016-10-17,351.5
2016-10-18,347.7
2016-10-19,346.5
2016-10-20,343.3
2016-10-21,351.4
2016-10-24,351.85
2016-10-25,351.95
2016-10-26,345.15
2016-10-27,334.75
2016-10-28,346.65
2016-10-30,348.55
2016-11-01,345.15
2016-11-02,331.8
2016-11-03,335.45
2016-11-04,325.25
2016-11-07,330.6
2016-11-08,330.1
2016-11-09,321.05
2016-11-10,353.15
2016-11-11,360.25
2016-11-15,329.5
2016-11-16,325.2
2016-11-17,312.65
2016-11-18,297.8
2016-11-21,274.3
2016-11-22,278.5
2016-11-23,58.45
2016-11-24,61.35
2016-11-25,64.4
2016-11-28,66.25
2016-11-29,67.2
2016-11-30,66.65
2016-12-01,67.15
2016-12-02,63.8
2016-12-05,61.0
2016-12-06,58.0
2016-12-07,57.15
2016-12-08,58.7
2016-12-09,57.75
2016-12-12,56.35
2016-12-13,57.25
2016-12-14,57.15
2016-12-15,55.6
2016-12-16,56.7
2016-12-19,54.1
2016-12-20,55.0
2016-12-21,54.7
2016-12-22,53.8
2016-12-23,54.25
2016-12-26,52.7
2016-12-27,54.4
2016-12-28,53.85
2016-12-29,53.8
2016-12-30,53.5
