Date,RAMASTEEL
2016-01-01,938.1
2016-01-04,940.1
2016-01-05,936.1
2016-01-06,939.45
2016-01-07,937.75
2016-01-08,936.3
2016-01-11,917.1
2016-01-12,922.5
2016-01-13,927.85
2016-01-14,929.25
2016-01-15,919.45
2016-01-18,920.1
2016-01-19,925.3
2016-01-20,919.8
2016-01-21,920.9
2016-01-22,923.3
2016-01-25,925.35
2016-01-27,909.85
2016-01-28,910.75
2016-01-29,911.45
2016-02-01,913.1
2016-02-02,921.0
2016-02-03,904.6
2016-02-04,907.4
2016-02-05,911.75
2016-02-08,921.55
2016-02-09,926.45
2016-02-10,917.35
2016-02-11,893.5
2016-02-12,890.5
2016-02-15,899.1
2016-02-16,899.65
2016-02-17,901.65
2016-02-18,903.95
2016-02-19,908.25
2016-02-22,890.9
2016-02-23,888.1
2016-02-24,888.9
2016-02-25,889.0
2016-02-26,890.55
2016-02-29,882.4
2016-03-01,899.05
2016-03-02,909.7
2016-03-03,909.25
2016-03-04,894.25
2016-03-08,891.4
2016-03-09,881.5
2016-03-10,873.0
2016-03-11,871.95
2016-03-14,88.35
2016-03-15,89.55
2016-03-16,91.25
2016-03-17,92.55
2016-03-18,90.85
2016-03-21,91.95
2016-03-22,88.0
2016-03-23,87.45
2016-03-28,85.85
2016-03-29,85.5
2016-03-30,88.15
2016-03-31,90.15
2016-04-01,88.7
2016-04-04,87.95
2016-04-05,85.85
2016-04-06,86.4
2016-04-07,85.65
2016-04-08,84.75
2016-04-11,86.65
2016-04-12,84.8
2016-04-13,87.15
2016-04-18,90.7
2016-04-20,91.2
2016-04-21,89.95
2016-04-22,91.85
2016-04-25,90.6
2016-04-26,91.05
2016-04-27,92.25
2016-04-28,92.8
2016-04-29,91.15
2016-05-02,91.35
2016-05-03,91.35
2016-05-04,90.65
2016-05-05,91.25
2016-05-06,91.85
2016-05-09,92.15
2016-05-10,91.2
2016-05-11,90.7
2016-05-12,89.9
2016-05-13,91.2
2016-05-16,92.25
2016-05-17,92.95
2016-05-18,91.8
2016-05-19,91.35
2016-05-20,91.1
2016-05-23,91.5
2016-05-24,91.7
2016-05-25,92.5
2016-05-26,92.7
2016-05-27,92.65
2016-05-30,93.2
2016-05-31,94.6
2016-06-01,95.2
2016-06-02,95.5
2016-06-03,95.8
2016-06-06,97.65
2016-06-07,98.05
2016-06-08,97.45
2016-06-09,97.5
2016-06-10,97.55
2016-06-13,97.2
2016-06-14,96.7
2016-06-15,97.65
2016-06-16,96.4
2016-06-17,96.25
2016-06-20,96.3
2016-06-21,96.05
2016-06-22,94.75
2016-06-23,94.55
2016-06-24,92.0
2016-06-27,91.6
2016-06-28,91.25
2016-06-29,91.05
2016-06-30,91.75
2016-07-01,91.3
2016-07-04,91.9
2016-07-05,91.15
2016-07-07,93.4
2016-07-08,92.35
2016-07-11,98.3
2016-07-12,101.0
2016-07-13,101.5
2016-07-14,102.75
2016-07-15,107.85
2016-07-18,106.55
2016-07-19,105.65
2016-07-20,108.6
2016-07-21,106.4
2016-07-22,107.85
2016-07-25,109.05
2016-07-26,107.05
2016-07-27,113.2
2016-07-28,114.6
2016-07-29,115.35
2016-08-01,112.5
2016-08-02,113.25
2016-08-03,112.7
2016-08-04,113.55
2016-08-05,115.65
2016-08-08,112.1
2016-08-09,115.8
2016-08-10,116.25
2016-08-11,113.05
2016-08-12,112.65
2016-08-16,115.05
2016-08-17,116.75
2016-08-18,116.85
2016-08-19,114.5
2016-08-22,113.7
2016-08-23,112.75
2016-08-24,111.95
2016-08-25,110.4
2016-08-26,111.1
2016-08-29,108.9
2016-08-30,111.5
2016-08-31,112.85
2016-09-01,114.2
2016-09-02,114.95
2016-09-06,113.75
2016-09-07,113.3
2016-09-08,120.85
2016-09-09,122.3
2016-09-12,118.0
2016-09-14,127.6
2016-09-15,134.85
2016-09-16,133.2
2016-09-19,133.55
2016-09-20,133.95
2016-09-21,133.0
2016-09-22,137.0
2016-09-23,137.1
2016-09-26,134.45
2016-09-27,133.6
2016-09-28,135.9
2016-09-29,128.15
2016-09-30,130.55
2016-10-03,130.05
2016-10-04,129.1
2016-10-05,127.2
2016-10-06,127.25
2016-10-07,125.6
2016-10-10,134.0
2016-10-13,134.75
2016-10-14,133.9
2016-10-17,133.7
2016-10-18,134.55
2016-10-19,142.4
2016-10-20,143.75
2016-10-21,141.15
2016-10-24,139.8
2016-10-25,143.75
2016-10-26,140.65
2016-10-27,141.0
2016-10-28,139.65
2016-10-30,144.55
2016-11-01,140.15
2016-11-02,139.55
2016-11-03,142.0
2016-11-04,140.8
2016-11-07,141.6
2016-11-08,135.15
2016-11-09,126.95
2016-11-10,134.1
2016-11-11,127.0
2016-11-15,110.45
2016-11-16,108.55
2016-11-17,105.2
2016-11-18,107.25
2016-11-21,99.75
2016-11-22,100.7
2016-11-23,103.65
2016-11-24,104.45
2016-11-25,110.7
2016-11-28,110.9
2016-11-29,111.95
2016-11-30,111.55
2016-12-01,108.7
2016-12-02,104.1
2016-12-05,102.95
2016-12-06,102.3
2016-12-07,106.15
2016-12-08,112.65
2016-12-09,116.4
2016-12-12,114.85
2016-12-13,114.85
2016-12-14,115.15
2016-12-15,116.4
2016-12-16,114.6
2016-12-19,117.3
2016-12-20,114.35
2016-12-21,115.75
2016-12-22,110.1
2016-12-23,115.2
2016-12-26,111.05
2016-12-27,114.6
2016-12-28,110.8
2016-12-29,111.35
2016-12-30,112.4
