Date,BSL
2016-01-01,84.85
2016-01-04,87.15
2016-01-05,95.85
2016-01-06,94.55
2016-01-07,90.45
2016-01-08,91.5
2016-01-11,90.9
2016-01-12,88.15
2016-01-13,81.2
2016-01-14,85.85
2016-01-15,88.2
2016-01-18,84.8
2016-01-19,80.45
2016-01-20,72.55
2016-01-21,74.75
2016-01-22,79.7
2016-01-25,81.25
2016-01-27,82.6
2016-01-28,77.85
2016-01-29,80.9
2016-02-01,77.2
2016-02-02,69.6
2016-02-03,69.1
2016-02-04,69.0
2016-02-05,71.0
2016-02-08,70.4
2016-02-09,56.7
2016-02-10,56.25
2016-02-11,46.35
2016-02-12,49.75
2016-02-15,51.75
2016-02-16,47.9
2016-02-17,47.65
2016-02-18,49.55
2016-02-19,49.0
2016-02-22,48.8
2016-02-23,48.3
2016-02-24,46.0
2016-02-25,43.1
2016-02-26,42.55
2016-02-29,42.15
2016-03-01,46.35
2016-03-02,50.3
2016-03-03,50.55
2016-03-04,49.15
2016-03-08,45.4
2016-03-09,46.95
2016-03-10,45.35
2016-03-11,45.45
2016-03-14,46.8
2016-03-15,44.65
2016-03-16,44.2
2016-03-17,45.25
2016-03-18,45.85
2016-03-21,46.8
2016-03-22,47.05
2016-03-23,56.3
2016-03-28,60.65
2016-03-29,62.35
2016-03-30,65.65
2016-03-31,66.5
2016-04-01,65.25
2016-04-04,62.05
2016-04-05,61.2
2016-04-06,59.55
2016-04-07,59.2
2016-04-08,61.2
2016-04-11,64.0
2016-04-12,67.85
2016-04-13,68.95
2016-04-18,69.95
2016-04-20,67.8
2016-04-21,67.7
2016-04-22,66.5
2016-04-25,65.2
2016-04-26,64.65
2016-04-27,64.1
2016-04-28,64.05
2016-04-29,65.4
2016-05-02,64.65
2016-05-03,64.0
2016-05-04,62.75
2016-05-05,64.9
2016-05-06,68.4
2016-05-09,69.45
2016-05-10,69.7
2016-05-11,69.2
2016-05-12,65.5
2016-05-13,66.45
2016-05-16,66.0
2016-05-17,65.95
2016-05-18,67.25
2016-05-19,65.0
2016-05-20,68.8
2016-05-23,65.75
2016-05-24,67.5
2016-05-25,74.9
2016-05-26,72.6
2016-05-27,70.8
2016-05-30,69.4
2016-05-31,69.05
2016-06-01,72.45
2016-06-02,70.3
2016-06-03,70.1
2016-06-06,75.8
2016-06-07,76.6
2016-06-08,75.55
2016-06-09,79.95
2016-06-10,84.25
2016-06-13,79.7
2016-06-14,79.95
2016-06-15,77.1
2016-06-16,74.4
2016-06-17,75.3
2016-06-20,73.35
2016-06-21,77.3
2016-06-22,77.75
2016-06-23,76.95
2016-06-24,78.45
2016-06-27,86.05
2016-06-28,82.35
2016-06-29,85.25
2016-06-30,83.2
2016-07-01,83.55
2016-07-04,81.7
2016-07-05,82.35
2016-07-07,80.95
2016-07-08,83.25
2016-07-11,82.65
2016-07-12,85.55
2016-07-13,83.8
2016-07-14,82.0
2016-07-15,81.4
2016-07-18,81.7
2016-07-19,83.25
2016-07-20,84.65
2016-07-21,84.4
2016-07-22,84.25
2016-07-25,84.05
2016-07-26,85.15
2016-07-27,87.05
2016-07-28,90.75
2016-07-29,89.0
2016-08-01,86.3
2016-08-02,84.25
2016-08-03,83.6
2016-08-04,81.8
2016-08-05,82.75
2016-08-08,82.8
2016-08-09,81.9
2016-08-10,79.95
2016-08-11,78.4
2016-08-12,63.35
2016-08-16,63.1
2016-08-17,63.1
2016-08-18,64.7
2016-08-19,64.55
2016-08-22,63.6
2016-08-23,62.85
2016-08-24,62.7
2016-08-25,62.9
2016-08-26,63.45
2016-08-29,63.25
2016-08-30,62.0
2016-08-31,61.95
2016-09-01,63.65
2016-09-02,67.7
2016-09-06,70.0
2016-09-07,67.5
2016-09-08,70.6
2016-09-09,68.7
2016-09-12,66.05
2016-09-14,68.9
2016-09-15,67.6
2016-09-16,66.6
2016-09-19,68.6
2016-09-20,68.75
2016-09-21,68.95
2016-09-22,67.35
2016-09-23,66.55
2016-09-26,65.15
2016-09-27,65.6
2016-09-28,65.45
2016-09-29,62.6
2016-09-30,62.45
2016-10-03,67.75
2016-10-04,67.75
2016-10-05,68.45
2016-10-06,67.8
2016-10-07,67.05
2016-10-10,66.3
2016-10-13,67.95
2016-10-14,67.6
2016-10-17,66.7
2016-10-18,67.6
2016-10-19,68.9
2016-10-20,75.65
2016-10-21,87.1
2016-10-24,91.3
2016-10-25,85.55
2016-10-26,82.75
2016-10-27,81.2
2016-10-28,79.35
2016-10-30,78.7
2016-11-01,76.75
2016-11-02,90.05
2016-11-03,84.05
2016-11-04,78.85
2016-11-07,82.85
2016-11-08,79.65
2016-11-09,74.25
2016-11-10,78.6
2016-11-11,75.5
2016-11-15,69.4
2016-11-16,70.65
2016-11-17,66.25
2016-11-18,67.95
2016-11-21,63.75
2016-11-22,66.7
2016-11-23,66.95
2016-11-24,66.5
2016-11-25,69.0
2016-11-28,68.3
2016-11-29,69.25
2016-11-30,69.7
2016-12-01,70.75
2016-12-02,71.15
2016-12-05,69.4
2016-12-06,69.45
2016-12-07,68.8
2016-12-08,71.15
2016-12-09,71.85
2016-12-12,77.35
2016-12-13,81.55
2016-12-14,80.55
2016-12-15,81.2
2016-12-16,89.5
2016-12-19,82.3
2016-12-20,77.45
2016-12-21,78.5
2016-12-22,74.5
2016-12-23,75.2
2016-12-26,73.1
2016-12-27,75.95
2016-12-28,76.3
2016-12-29,76.0
2016-12-30,75.0
