Date,REDINGTON
2016-01-01,116.95
2016-01-04,114.7
2016-01-05,115.0
2016-01-06,117.0
2016-01-07,115.55
2016-01-08,114.05
2016-01-11,113.95
2016-01-12,111.85
2016-01-13,107.45
2016-01-14,114.05
2016-01-15,111.05
2016-01-18,105.85
2016-01-19,107.65
2016-01-20,102.05
2016-01-21,103.5
2016-01-22,104.5
2016-01-25,105.8
2016-01-27,101.55
2016-01-28,100.65
2016-01-29,103.55
2016-02-01,105.15
2016-02-02,103.4
2016-02-03,103.15
2016-02-04,101.5
2016-02-05,102.2
2016-02-08,102.2
2016-02-09,102.6
2016-02-10,102.1
2016-02-11,102.0
2016-02-12,101.95
2016-02-15,102.85
2016-02-16,102.05
2016-02-17,102.75
2016-02-18,102.05
2016-02-19,100.85
2016-02-22,100.7
2016-02-23,100.25
2016-02-24,100.05
2016-02-25,99.9
2016-02-26,100.6
2016-02-29,102.7
2016-03-01,106.65
2016-03-02,105.9
2016-03-03,106.2
2016-03-04,105.65
2016-03-08,105.95
2016-03-09,108.3
2016-03-10,109.35
2016-03-11,109.15
2016-03-14,111.4
2016-03-15,108.95
2016-03-16,109.4
2016-03-17,110.15
2016-03-18,113.85
2016-03-21,115.55
2016-03-22,115.1
2016-03-23,114.45
2016-03-28,112.45
2016-03-29,113.25
2016-03-30,113.75
2016-03-31,114.65
2016-04-01,113.0
2016-04-04,113.5
2016-04-05,111.2
2016-04-06,111.05
2016-04-07,112.6
2016-04-08,115.0
2016-04-11,113.9
2016-04-12,112.75
2016-04-13,112.55
2016-04-18,113.6
2016-04-20,115.55
2016-04-21,114.0
2016-04-22,114.9
2016-04-25,114.65
2016-04-26,114.4
2016-04-27,112.75
2016-04-28,111.95
2016-04-29,108.6
2016-05-02,107.5
2016-05-03,106.85
2016-05-04,104.85
2016-05-05,100.0
2016-05-06,100.55
2016-05-09,102.2
2016-05-10,106.2
2016-05-11,105.8
2016-05-12,106.25
2016-05-13,107.15
2016-05-16,106.35
2016-05-17,110.7
2016-05-18,110.1
2016-05-19,112.2
2016-05-20,111.25
2016-05-23,108.9
2016-05-24,120.85
2016-05-25,119.3
2016-05-26,117.15
2016-05-27,114.4
2016-05-30,115.3
2016-05-31,114.2
2016-06-01,113.65
2016-06-02,112.8
2016-06-03,111.5
2016-06-06,104.55
2016-06-07,103.2
2016-06-08,103.75
2016-06-09,103.6
2016-06-10,103.3
2016-06-13,104.1
2016-06-14,104.35
2016-06-15,103.15
2016-06-16,103.4
2016-06-17,104.75
2016-06-20,102.6
2016-06-21,103.95
2016-06-22,102.95
2016-06-23,102.3
2016-06-24,100.85
2016-06-27,101.7
2016-06-28,102.85
2016-06-29,102.9
2016-06-30,103.6
2016-07-01,103.7
2016-07-04,103.85
2016-07-05,103.8
2016-07-07,103.6
2016-07-08,103.8
2016-07-11,104.0
2016-07-12,104.6
2016-07-13,103.85
2016-07-14,103.75
2016-07-15,102.6
2016-07-18,102.8
2016-07-19,100.95
2016-07-20,101.15
2016-07-21,100.65
2016-07-22,99.45
2016-07-25,100.0
2016-07-26,102.15
2016-07-27,102.15
2016-07-28,102.85
2016-07-29,103.0
2016-08-01,103.0
2016-08-02,104.9
2016-08-03,102.9
2016-08-04,104.0
2016-08-05,104.2
2016-08-08,102.75
2016-08-09,102.8
2016-08-10,103.85
2016-08-11,106.95
2016-08-12,106.35
2016-08-16,103.8
2016-08-17,104.7
2016-08-18,105.3
2016-08-19,106.0
2016-08-22,106.6
2016-08-23,106.0
2016-08-24,106.1
2016-08-25,107.95
2016-08-26,107.6
2016-08-29,106.8
2016-08-30,106.2
2016-08-31,106.4
2016-09-01,105.0
2016-09-02,107.55
2016-09-06,115.3
2016-09-07,118.5
2016-09-08,117.85
2016-09-09,112.9
2016-09-12,113.2
2016-09-14,113.95
2016-09-15,113.95
2016-09-16,111.25
2016-09-19,110.4
2016-09-20,108.3
2016-09-21,107.9
2016-09-22,108.05
2016-09-23,106.9
2016-09-26,105.85
2016-09-27,104.0
2016-09-28,104.85
2016-09-29,102.4
2016-09-30,103.4
2016-10-03,106.95
2016-10-04,108.05
2016-10-05,111.25
2016-10-06,106.85
2016-10-07,108.25
2016-10-10,105.8
2016-10-13,104.7
2016-10-14,103.7
2016-10-17,103.35
2016-10-18,103.5
2016-10-19,106.5
2016-10-20,106.8
2016-10-21,107.35
2016-10-24,107.95
2016-10-25,106.8
2016-10-26,105.2
2016-10-27,106.0
2016-10-28,105.05
2016-10-30,105.35
2016-11-01,104.05
2016-11-02,102.35
2016-11-03,100.35
2016-11-04,97.55
2016-11-07,100.2
2016-11-08,99.9
2016-11-09,99.6
2016-11-10,98.15
2016-11-11,95.55
2016-11-15,94.05
2016-11-16,95.8
2016-11-17,95.05
2016-11-18,95.7
2016-11-21,91.05
2016-11-22,92.75
2016-11-23,91.95
2016-11-24,92.4
2016-11-25,92.9
2016-11-28,93.95
2016-11-29,92.75
2016-11-30,97.9
2016-12-01,95.45
2016-12-02,94.65
2016-12-05,93.1
2016-12-06,91.6
2016-12-07,91.0
2016-12-08,91.45
2016-12-09,92.35
2016-12-12,92.25
2016-12-13,93.1
2016-12-14,93.0
2016-12-15,93.0
2016-12-16,96.95
2016-12-19,95.4
2016-12-20,96.8
2016-12-21,95.6
2016-12-22,96.4
2016-12-23,96.75
2016-12-26,97.2
2016-12-27,96.05
2016-12-28,95.0
2016-12-29,95.95
2016-12-30,94.85
