Date,BKMINDST
2016-01-01,6.25
2016-01-04,6.2
2016-01-05,5.95
2016-01-06,5.9
2016-01-07,5.75
2016-01-08,5.8
2016-01-11,5.85
2016-01-12,6.25
2016-01-13,6.1
2016-01-14,6.2
2016-01-15,6.0
2016-01-18,5.15
2016-01-19,5.05
2016-01-20,4.65
2016-01-21,5.0
2016-01-22,5.0
2016-01-25,4.85
2016-01-27,4.5
2016-01-28,4.65
2016-01-29,4.65
2016-02-01,4.55
2016-02-02,5.0
2016-02-03,4.65
2016-02-04,4.9
2016-02-05,4.85
2016-02-08,4.9
2016-02-09,5.0
2016-02-10,4.8
2016-02-11,4.95
2016-02-12,4.8
2016-02-15,4.65
2016-02-16,4.6
2016-02-17,4.9
2016-02-18,4.5
2016-02-19,4.4
2016-02-22,4.55
2016-02-23,4.5
2016-02-24,4.2
2016-02-25,4.05
2016-02-26,4.25
2016-02-29,4.75
2016-03-01,4.6
2016-03-02,4.6
2016-03-03,4.4
2016-03-04,4.3
2016-03-08,4.55
2016-03-09,4.3
2016-03-10,4.35
2016-03-11,4.4
2016-03-14,4.35
2016-03-15,4.25
2016-03-16,4.3
2016-03-17,4.35
2016-03-18,4.25
2016-03-21,3.95
2016-03-22,4.0
2016-03-23,3.5
2016-03-28,3.4
2016-03-29,3.1
2016-03-30,2.85
2016-03-31,2.9
2016-04-01,2.8
2016-04-04,2.9
2016-04-05,2.9
2016-04-06,2.85
2016-04-07,3.1
2016-04-08,3.15
2016-04-11,3.4
2016-04-12,3.7
2016-04-13,3.7
2016-04-18,3.7
2016-04-20,3.85
2016-04-21,3.75
2016-04-22,3.8
2016-04-25,3.7
2016-04-26,3.75
2016-04-27,3.7
2016-04-28,3.85
2016-04-29,3.7
2016-05-02,3.55
2016-05-03,3.7
2016-05-04,3.55
2016-05-05,3.45
2016-05-06,3.45
2016-05-09,3.4
2016-05-10,3.7
2016-05-11,3.85
2016-05-12,3.6
2016-05-13,3.6
2016-05-16,3.7
2016-05-17,3.75
2016-05-18,3.65
2016-05-19,3.95
2016-05-20,3.8
2016-05-23,3.75
2016-05-24,3.95
2016-05-25,3.85
2016-05-26,3.95
2016-05-27,4.1
2016-05-30,4.5
2016-05-31,4.95
2016-06-01,5.4
2016-06-02,5.15
2016-06-03,4.95
2016-06-06,4.8
2016-06-07,5.0
2016-06-08,5.25
2016-06-09,5.25
2016-06-10,5.4
2016-06-13,5.65
2016-06-14,5.9
2016-06-15,6.15
2016-06-16,6.45
2016-06-17,6.75
2016-06-20,7.05
2016-06-21,7.4
2016-06-22,7.75
2016-06-23,8.1
2016-06-24,8.5
2016-06-27,8.9
2016-06-28,9.3
2016-06-29,9.75
2016-06-30,10.2
2016-07-01,10.7
2016-07-04,11.2
2016-07-05,11.75
2016-07-07,12.3
2016-07-08,12.9
2016-07-11,13.5
2016-07-12,14.15
2016-07-13,13.9
2016-07-14,14.05
2016-07-15,13.35
2016-07-18,12.7
2016-07-19,12.1
2016-07-20,12.4
2016-07-21,13.0
2016-07-22,13.65
2016-07-25,14.0
2016-07-26,13.85
2016-07-27,14.5
2016-07-28,15.2
2016-07-29,15.95
2016-08-01,16.7
2016-08-02,17.5
2016-08-03,18.35
2016-08-04,19.25
2016-08-05,19.2
2016-08-08,18.75
2016-10-13,14.3
2016-10-14,14.95
2016-10-17,14.35
2016-10-18,14.95
2016-10-19,15.0
2016-10-20,14.6
2016-10-21,14.95
2016-10-24,14.95
2016-10-25,15.0
2016-10-26,14.95
2016-10-27,15.0
2016-10-28,15.5
2016-10-30,14.8
2016-11-01,14.95
2016-11-02,14.85
2016-11-03,14.5
2016-11-04,14.2
2016-11-07,15.0
2016-11-08,14.0
2016-11-09,12.8
2016-11-10,13.45
2016-11-11,14.05
2016-11-15,13.95
2016-11-16,12.6
2016-11-17,11.35
2016-11-18,11.05
2016-11-21,11.2
2016-11-22,11.0
2016-11-23,11.1
2016-11-24,11.5
2016-11-25,12.05
2016-11-28,12.4
2016-11-29,12.25
2016-11-30,12.8
2016-12-01,13.4
2016-12-02,13.1
2016-12-05,13.65
2016-12-06,13.7
2016-12-07,13.95
2016-12-08,14.0
2016-12-09,13.45
2016-12-12,13.4
2016-12-13,13.95
2016-12-14,13.5
2016-12-15,13.55
2016-12-16,13.2
2016-12-19,13.5
2016-12-20,13.35
2016-12-21,13.05
2016-12-22,12.45
2016-12-23,13.05
2016-12-26,12.4
2016-12-27,13.0
2016-12-28,12.75
2016-12-29,12.95
2016-12-30,13.0
