Date,COUNCODOS
2016-01-01,8.3
2016-01-04,8.7
2016-02-09,5.0
2016-02-10,4.75
2016-02-11,4.55
2016-02-12,4.45
2016-02-15,4.25
2016-02-16,4.05
2016-02-17,4.2
2016-02-18,4.25
2016-02-19,4.25
2016-02-22,4.4
2016-02-23,4.5
2016-02-24,4.3
2016-02-25,4.25
2016-02-26,4.05
2016-02-29,3.85
2016-03-01,4.0
2016-03-02,4.05
2016-03-03,4.15
2016-03-04,4.1
2016-03-08,3.9
2016-03-09,3.75
2016-03-10,3.9
2016-03-11,4.05
2016-03-14,4.05
2016-03-15,3.9
2016-03-16,4.0
2016-03-17,3.8
2016-03-18,3.7
2016-03-21,3.8
2016-03-22,3.75
2016-03-23,3.9
2016-03-28,3.95
2016-03-29,3.85
2016-03-30,3.9
2016-03-31,3.95
2016-04-01,4.3
2016-04-04,4.6
2016-04-05,4.4
2016-04-06,4.75
2016-04-07,4.75
2016-04-08,5.05
2016-04-11,4.7
2016-04-12,4.65
2016-04-13,4.4
2016-04-18,4.6
2016-04-20,4.25
2016-04-21,4.5
2016-04-22,4.25
2016-04-25,4.0
2016-04-26,4.15
2016-04-27,3.9
2016-04-28,3.9
2016-04-29,3.85
2016-05-02,4.0
2016-05-03,4.1
2016-05-04,3.9
2016-05-05,4.0
2016-05-06,4.0
2016-05-09,4.05
2016-05-10,3.9
2016-05-11,4.65
2016-05-12,5.55
2016-05-13,6.0
2016-05-16,5.45
2016-05-17,4.95
2016-05-18,4.95
2016-05-19,4.85
2016-05-20,4.65
2016-05-23,4.85
2016-05-24,5.05
2016-05-25,5.3
2016-05-26,5.55
2016-05-27,5.45
2016-05-30,5.45
2016-05-31,5.2
2016-06-01,4.95
2016-06-02,4.75
2016-06-03,4.55
2016-06-06,4.35
2016-06-07,4.2
2016-06-08,4.4
2016-06-09,4.3
2016-06-10,4.25
2016-06-13,4.2
2016-06-14,4.3
2016-06-15,4.35
2016-06-16,4.3
2016-06-17,4.5
2016-06-20,4.5
2016-06-21,4.3
2016-06-22,4.4
2016-06-23,4.5
2016-06-24,4.3
2016-06-27,4.2
2016-06-28,4.3
2016-06-29,4.2
2016-06-30,4.35
2016-07-01,4.3
2016-07-04,4.45
2016-07-05,4.35
2016-07-07,4.45
2016-07-08,4.35
2016-07-11,4.45
2016-07-12,4.35
2016-07-13,4.35
2016-07-14,4.35
2016-07-15,4.3
2016-07-18,4.0
2016-07-19,4.1
2016-07-20,3.9
2016-07-21,3.85
2016-07-22,4.0
2016-07-25,3.65
2016-07-26,4.0
2016-07-27,4.0
2016-07-28,4.0
2016-07-29,3.9
2016-08-01,4.0
2016-08-02,3.9
2016-08-03,4.0
2016-08-04,4.05
2016-08-05,4.0
2016-08-08,4.0
2016-08-09,4.2
2016-08-10,3.95
2016-08-11,3.85
2016-08-12,3.8
2016-08-16,3.7
2016-08-17,3.5
2016-08-18,3.5
2016-08-19,3.8
2016-08-22,3.7
2016-08-23,3.8
2016-08-24,3.75
2016-08-25,3.6
2016-08-26,3.8
2016-08-29,3.6
2016-08-30,3.65
2016-08-31,3.6
2016-09-01,3.5
2016-09-02,3.65
2016-09-06,3.65
2016-09-07,3.6
2016-09-08,3.65
2016-09-09,3.75
2016-09-12,3.85
2016-09-14,3.8
2016-09-15,3.85
2016-09-16,3.7
2016-09-19,3.7
2016-09-20,3.65
2016-09-21,3.75
2016-09-22,3.7
2016-09-23,3.75
2016-09-26,3.6
2016-09-27,4.3
2016-09-28,5.15
2016-09-29,4.3
2016-09-30,4.65
2016-10-03,4.55
2016-10-04,4.6
2016-10-05,4.5
2016-10-06,4.45
2016-10-07,5.0
2016-10-10,4.8
2016-10-13,4.65
2016-10-14,4.7
2016-10-17,4.55
2016-10-18,4.8
2016-10-19,4.8
2016-10-20,4.8
2016-10-21,4.6
2016-10-24,4.65
2016-10-25,4.55
2016-10-26,4.65
2016-10-27,4.55
2016-10-28,4.55
2016-10-30,4.7
2016-11-01,4.6
2016-11-02,4.3
2016-11-03,4.3
2016-11-04,4.2
2016-11-07,4.1
2016-11-08,4.15
2016-11-09,4.1
2016-11-10,4.3
2016-11-11,4.25
2016-11-15,4.0
2016-11-16,3.9
2016-11-17,3.8
2016-11-18,3.7
2016-11-21,3.65
2016-11-22,3.65
2016-11-23,3.7
2016-11-24,3.7
2016-11-25,3.95
2016-11-28,4.0
2016-11-29,4.3
2016-11-30,4.65
2016-12-01,4.45
2016-12-02,4.2
2016-12-05,4.1
2016-12-06,4.2
2016-12-07,4.15
2016-12-08,4.2
2016-12-09,4.25
2016-12-12,4.25
2016-12-13,4.35
2016-12-14,4.15
2016-12-15,4.15
2016-12-16,4.05
2016-12-19,4.05
2016-12-20,4.05
2016-12-21,4.05
2016-12-22,4.1
2016-12-23,3.9
2016-12-26,3.9
2016-12-27,4.0
2016-12-28,3.9
2016-12-29,4.0
2016-12-30,4.0
