Date,GOACARBON
2016-01-01,81.5
2016-01-04,77.8
2016-01-05,79.0
2016-01-06,88.45
2016-01-07,81.8
2016-01-08,87.75
2016-01-11,85.95
2016-01-12,83.75
2016-01-13,79.45
2016-01-14,78.3
2016-01-15,74.95
2016-01-18,69.45
2016-01-19,69.5
2016-01-20,67.05
2016-01-21,68.6
2016-01-22,69.5
2016-01-25,70.05
2016-01-27,71.6
2016-01-28,70.95
2016-01-29,72.55
2016-02-01,74.55
2016-02-02,72.75
2016-02-03,69.25
2016-02-04,70.25
2016-02-05,70.95
2016-02-08,70.75
2016-02-09,69.55
2016-02-10,67.3
2016-02-11,64.55
2016-02-12,66.7
2016-02-15,69.05
2016-02-16,65.35
2016-02-17,64.95
2016-02-18,64.55
2016-02-19,65.45
2016-02-22,66.45
2016-02-23,65.65
2016-02-24,65.65
2016-02-25,64.95
2016-02-26,64.1
2016-02-29,64.1
2016-03-01,67.3
2016-03-02,68.45
2016-03-03,70.1
2016-03-04,69.2
2016-03-08,73.15
2016-03-09,70.2
2016-03-10,71.2
2016-03-11,75.05
2016-03-14,78.45
2016-03-15,76.75
2016-03-16,73.9
2016-03-17,74.55
2016-03-18,73.35
2016-03-21,72.0
2016-03-22,71.65
2016-03-23,72.75
2016-03-28,70.75
2016-03-29,69.6
2016-03-30,72.95
2016-03-31,74.4
2016-04-01,78.3
2016-04-04,79.45
2016-04-05,78.85
2016-04-06,79.7
2016-04-07,80.1
2016-04-08,80.8
2016-04-11,81.95
2016-04-12,96.45
2016-04-13,91.35
2016-04-18,90.7
2016-04-20,85.85
2016-04-21,84.9
2016-04-22,90.9
2016-04-25,88.35
2016-04-26,88.05
2016-04-27,87.1
2016-04-28,85.05
2016-04-29,84.05
2016-05-02,83.65
2016-05-03,84.6
2016-05-04,82.75
2016-05-05,84.65
2016-05-06,82.85
2016-05-09,85.2
2016-05-10,85.1
2016-05-11,83.65
2016-05-12,86.25
2016-05-13,84.85
2016-05-16,84.05
2016-05-17,83.05
2016-05-18,83.25
2016-05-19,83.05
2016-05-20,80.8
2016-05-23,78.85
2016-05-24,77.35
2016-05-25,78.0
2016-05-26,79.2
2016-05-27,85.4
2016-05-30,83.65
2016-05-31,83.2
2016-06-01,81.3
2016-06-02,83.05
2016-06-03,81.8
2016-06-06,83.4
2016-06-07,100.05
2016-06-08,100.15
2016-06-09,96.25
2016-06-10,96.25
2016-06-13,91.65
2016-06-14,92.55
2016-06-15,94.35
2016-06-16,90.55
2016-06-17,89.9
2016-06-20,93.7
2016-06-21,93.7
2016-06-22,91.6
2016-06-23,90.25
2016-06-24,87.5
2016-06-27,93.0
2016-06-28,93.4
2016-06-29,96.45
2016-06-30,99.6
2016-07-01,102.9
2016-07-04,101.25
2016-07-05,98.75
2016-07-07,95.85
2016-07-08,95.85
2016-07-11,99.35
2016-07-12,98.55
2016-07-13,97.4
2016-07-14,99.35
2016-07-15,98.9
2016-07-18,96.95
2016-07-19,95.95
2016-07-20,97.25
2016-07-21,96.45
2016-07-22,97.65
2016-07-25,102.85
2016-07-26,101.5
2016-07-27,98.25
2016-07-28,98.3
2016-07-29,99.1
2016-08-01,98.45
2016-08-02,96.8
2016-08-03,94.35
2016-08-04,94.2
2016-08-05,94.35
2016-08-08,93.55
2016-08-09,92.85
2016-08-10,90.4
2016-08-11,87.6
2016-08-12,88.4
2016-08-16,87.9
2016-08-17,87.85
2016-08-18,89.25
2016-08-19,88.7
2016-08-22,88.35
2016-08-23,88.7
2016-08-24,88.3
2016-08-25,92.6
2016-08-26,92.65
2016-08-29,92.35
2016-08-30,96.5
2016-08-31,96.15
2016-09-01,96.35
2016-09-02,94.6
2016-09-06,94.8
2016-09-07,92.05
2016-09-08,92.75
2016-09-09,91.45
2016-09-12,91.4
2016-09-14,91.75
2016-09-15,96.35
2016-09-16,96.2
2016-09-19,95.3
2016-09-20,93.85
2016-09-21,94.0
2016-09-22,97.1
2016-09-23,96.3
2016-09-26,96.45
2016-09-27,115.65
2016-09-28,113.75
2016-09-29,100.7
2016-09-30,106.0
2016-10-03,112.55
2016-10-04,113.1
2016-10-05,117.95
2016-10-06,135.0
2016-10-07,129.45
2016-10-10,130.55
2016-10-13,124.95
2016-10-14,127.55
2016-10-17,127.15
2016-10-18,133.2
2016-10-19,130.2
2016-10-20,128.6
2016-10-21,126.6
2016-10-24,126.55
2016-10-25,125.95
2016-10-26,124.85
2016-10-27,124.0
2016-10-28,127.5
2016-10-30,126.35
2016-11-01,125.35
2016-11-02,120.05
2016-11-03,116.9
2016-11-04,112.7
2016-11-07,113.3
2016-11-08,111.6
2016-11-09,105.4
2016-11-10,109.2
2016-11-11,103.15
2016-11-15,97.15
2016-11-16,97.7
2016-11-17,94.6
2016-11-18,95.25
2016-11-21,92.65
2016-11-22,91.9
2016-11-23,96.05
2016-11-24,101.3
2016-11-25,103.85
2016-11-28,104.35
2016-11-29,105.1
2016-11-30,105.45
2016-12-01,104.8
2016-12-02,99.5
2016-12-05,99.4
2016-12-06,100.25
2016-12-07,101.4
2016-12-08,103.1
2016-12-09,102.5
2016-12-12,100.05
2016-12-13,100.65
2016-12-14,101.3
2016-12-15,102.95
2016-12-16,101.7
2016-12-19,101.3
2016-12-20,99.8
2016-12-21,103.5
2016-12-22,103.6
2016-12-23,103.2
2016-12-26,99.9
2016-12-27,100.9
2016-12-28,103.2
2016-12-29,106.15
2016-12-30,105.55
