Date,JAGSNPHARM
2016-01-01,51.2
2016-01-04,53.25
2016-01-05,60.15
2016-01-06,57.2
2016-01-07,53.15
2016-01-08,55.95
2016-01-11,55.55
2016-01-12,53.25
2016-01-13,48.95
2016-01-14,48.15
2016-01-15,43.7
2016-01-18,38.35
2016-01-19,39.7
2016-01-20,36.7
2016-01-21,37.85
2016-01-22,40.2
2016-01-25,44.2
2016-01-27,43.4
2016-01-28,44.1
2016-01-29,44.75
2016-02-01,46.0
2016-02-02,45.7
2016-02-03,43.1
2016-02-04,40.55
2016-02-05,42.0
2016-02-08,42.3
2016-02-09,41.4
2016-02-10,39.9
2016-02-11,37.05
2016-02-12,34.1
2016-02-15,35.6
2016-02-16,34.25
2016-02-17,33.35
2016-02-18,34.05
2016-02-19,34.35
2016-02-22,35.0
2016-02-23,33.8
2016-02-24,33.9
2016-02-25,33.6
2016-02-26,34.0
2016-02-29,33.1
2016-03-01,34.4
2016-03-02,36.05
2016-03-03,37.65
2016-03-04,38.45
2016-03-08,37.8
2016-03-09,38.5
2016-03-10,39.35
2016-03-11,38.75
2016-03-14,38.6
2016-03-15,37.9
2016-03-16,37.35
2016-03-17,36.8
2016-03-18,36.8
2016-03-21,36.85
2016-03-22,37.35
2016-03-23,36.6
2016-03-28,34.5
2016-03-29,32.8
2016-03-30,33.3
2016-03-31,32.75
2016-04-01,33.85
2016-04-04,34.6
2016-04-05,34.35
2016-04-06,34.5
2016-04-07,34.4
2016-04-08,34.15
2016-04-11,34.85
2016-04-12,35.4
2016-04-13,36.15
2016-04-18,36.3
2016-04-20,36.85
2016-04-21,36.85
2016-04-22,36.7
2016-04-25,35.55
2016-04-26,35.8
2016-04-27,35.35
2016-04-28,35.05
2016-04-29,34.5
2016-05-02,34.55
2016-05-03,34.15
2016-05-04,33.45
2016-05-05,33.65
2016-05-06,33.25
2016-05-09,33.15
2016-05-10,34.15
2016-05-11,33.6
2016-05-12,34.8
2016-05-13,36.15
2016-05-16,36.3
2016-05-17,36.8
2016-05-18,36.0
2016-05-19,35.15
2016-05-20,34.25
2016-05-23,33.1
2016-05-24,33.25
2016-05-25,34.1
2016-05-26,33.2
2016-05-27,34.2
2016-05-30,33.3
2016-05-31,33.85
2016-06-01,36.0
2016-06-02,43.2
2016-06-03,38.6
2016-06-06,40.35
2016-06-07,39.8
2016-06-08,39.75
2016-06-09,40.0
2016-06-10,38.6
2016-06-13,37.75
2016-06-14,40.25
2016-06-15,41.7
2016-06-16,40.7
2016-06-17,39.95
2016-06-20,40.25
2016-06-21,39.7
2016-06-22,38.95
2016-06-23,38.85
2016-06-24,38.25
2016-06-27,39.75
2016-06-28,41.15
2016-06-29,41.15
2016-06-30,42.6
2016-07-01,42.3
2016-07-04,42.6
2016-07-05,41.35
2016-07-07,41.05
2016-07-08,40.15
2016-07-11,40.6
2016-07-12,40.4
2016-07-13,39.5
2016-07-14,39.5
2016-07-15,38.9
2016-07-18,39.0
2016-07-19,38.55
2016-07-20,40.25
2016-07-21,38.6
2016-07-22,39.0
2016-07-25,39.15
2016-07-26,38.15
2016-07-27,38.1
2016-07-28,37.85
2016-07-29,38.25
2016-08-01,37.35
2016-08-02,36.65
2016-08-03,36.15
2016-08-04,35.7
2016-08-05,36.6
2016-08-08,36.3
2016-08-09,36.95
2016-08-10,36.2
2016-08-11,35.75
2016-08-12,35.25
2016-08-16,34.2
2016-08-17,34.45
2016-08-18,34.3
2016-08-19,35.2
2016-08-22,35.55
2016-08-23,35.5
2016-08-24,35.75
2016-08-25,35.15
2016-08-26,34.85
2016-08-29,34.55
2016-08-30,34.8
2016-08-31,34.7
2016-09-01,34.1
2016-09-02,34.6
2016-09-06,34.45
2016-09-07,33.95
2016-09-08,35.0
2016-09-09,36.55
2016-09-12,35.2
2016-09-14,35.4
2016-09-15,36.55
2016-09-16,36.75
2016-09-19,36.55
2016-09-20,37.05
2016-09-21,36.6
2016-09-22,36.95
2016-09-23,36.5
2016-09-26,36.65
2016-09-27,38.65
2016-09-28,41.8
2016-09-29,36.55
2016-09-30,38.6
2016-10-03,39.7
2016-10-04,40.25
2016-10-05,45.35
2016-10-06,43.45
2016-10-07,43.3
2016-10-10,43.75
2016-10-13,41.15
2016-10-14,41.6
2016-10-17,41.6
2016-10-18,42.4
2016-10-19,42.4
2016-10-20,42.15
2016-10-21,40.4
2016-10-24,41.2
2016-10-25,41.0
2016-10-26,40.8
2016-10-27,40.3
2016-10-28,41.25
2016-10-30,41.9
2016-11-01,41.2
2016-11-02,40.6
2016-11-03,39.75
2016-11-04,39.05
2016-11-07,38.7
2016-11-08,38.3
2016-11-09,37.9
2016-11-10,39.35
2016-11-11,38.0
2016-11-15,34.6
2016-11-16,34.3
2016-11-17,33.1
2016-11-18,31.55
2016-11-21,27.25
2016-11-22,28.4
2016-11-23,30.55
2016-11-24,30.55
2016-11-25,32.25
2016-11-28,34.95
2016-11-29,34.9
2016-11-30,34.85
2016-12-01,36.15
2016-12-02,35.8
2016-12-05,35.15
2016-12-06,35.6
2016-12-07,35.3
2016-12-08,35.5
2016-12-09,35.8
2016-12-12,35.6
2016-12-13,35.7
2016-12-14,35.8
2016-12-15,35.45
2016-12-16,35.3
2016-12-19,35.15
2016-12-20,35.0
2016-12-21,35.15
2016-12-22,34.15
2016-12-23,33.95
2016-12-26,33.15
2016-12-27,33.05
2016-12-28,33.8
2016-12-29,34.45
2016-12-30,34.05
