Date,ARIHANT
2016-01-01,54.95
2016-01-04,54.0
2016-01-05,54.85
2016-01-06,54.15
2016-01-07,50.6
2016-01-08,52.0
2016-01-11,50.5
2016-01-12,50.0
2016-01-13,47.9
2016-01-14,50.0
2016-01-15,47.0
2016-01-18,48.95
2016-01-19,45.0
2016-01-21,42.1
2016-01-22,41.75
2016-01-25,44.2
2016-01-27,47.85
2016-01-28,46.45
2016-01-29,46.0
2016-02-01,48.3
2016-02-02,51.9
2016-02-03,47.6
2016-02-04,49.0
2016-02-08,50.9
2016-02-09,46.05
2016-02-10,46.5
2016-02-11,42.3
2016-02-15,42.1
2016-02-16,41.15
2016-02-17,43.7
2016-02-18,40.1
2016-02-19,42.5
2016-02-22,40.2
2016-02-23,39.1
2016-02-24,40.0
2016-02-25,39.45
2016-02-26,37.55
2016-02-29,38.0
2016-03-01,39.85
2016-03-02,42.95
2016-03-03,42.0
2016-03-04,43.45
2016-03-08,42.6
2016-03-09,43.75
2016-03-10,43.8
2016-03-11,44.45
2016-03-14,41.35
2016-03-15,38.15
2016-03-16,40.4
2016-03-17,37.35
2016-03-18,38.4
2016-03-21,38.0
2016-03-22,38.0
2016-03-28,38.3
2016-03-29,40.9
2016-03-30,38.1
2016-03-31,39.95
2016-04-01,40.1
2016-04-04,42.25
2016-04-05,45.95
2016-04-06,42.0
2016-04-07,41.5
2016-04-08,42.4
2016-04-11,41.95
2016-04-12,40.1
2016-04-13,42.75
2016-04-18,41.1
2016-04-20,43.5
2016-04-21,41.05
2016-04-25,41.0
2016-04-27,41.0
2016-04-28,43.0
2016-04-29,41.0
2016-05-03,41.0
2016-05-04,38.1
2016-05-05,41.35
2016-05-06,39.6
2016-05-09,40.75
2016-05-10,38.5
2016-05-11,41.85
2016-05-12,39.35
2016-05-13,40.9
2016-05-16,41.1
2016-05-17,40.1
2016-05-18,42.8
2016-05-19,41.95
2016-05-20,40.45
2016-05-23,40.0
2016-05-24,38.45
2016-05-25,41.8
2016-05-26,40.0
2016-05-27,40.0
2016-05-30,39.0
2016-05-31,41.85
2016-06-01,39.9
2016-06-02,39.4
2016-06-06,39.0
2016-06-07,40.35
2016-06-08,41.2
2016-06-09,40.5
2016-06-10,39.1
2016-06-14,39.0
2016-06-15,41.55
2016-06-16,41.25
2016-06-17,41.25
2016-06-21,39.5
2016-06-22,39.8
2016-06-24,42.65
2016-06-27,42.8
2016-06-28,39.6
2016-06-29,40.6
2016-06-30,39.45
2016-07-01,38.5
2016-07-04,40.0
2016-07-05,40.0
2016-07-07,39.85
2016-07-08,39.15
2016-07-11,41.65
2016-07-12,41.5
2016-07-13,41.5
2016-07-14,41.0
2016-07-15,39.65
2016-07-18,39.15
2016-07-19,40.25
2016-07-20,39.0
2016-07-21,39.1
2016-07-22,37.5
2016-07-25,38.85
2016-07-27,37.65
2016-07-28,39.65
2016-07-29,38.95
2016-08-01,38.6
2016-08-02,39.5
2016-08-03,37.25
2016-08-04,39.65
2016-08-05,39.0
2016-08-08,39.05
2016-08-09,40.0
2016-08-10,40.0
2016-08-11,39.0
2016-08-12,41.85
2016-08-16,40.3
2016-08-17,38.0
2016-08-18,39.0
2016-08-22,40.5
2016-08-23,40.5
2016-08-24,42.05
2016-08-25,44.5
2016-08-26,44.85
2016-08-29,45.0
2016-08-30,44.55
2016-08-31,44.0
2016-09-01,44.35
2016-09-02,43.0
2016-09-06,44.7
2016-09-07,44.0
2016-09-08,43.5
2016-09-09,42.55
2016-09-12,44.7
2016-09-14,44.95
2016-09-15,44.0
2016-09-16,44.0
2016-09-19,42.8
2016-09-20,43.15
2016-09-21,44.95
2016-09-22,41.6
2016-09-23,41.9
2016-09-26,43.0
2016-09-27,43.5
2016-09-28,41.4
2016-09-29,41.75
2016-09-30,43.35
2016-10-03,45.0
2016-10-04,45.35
2016-10-05,44.5
2016-10-06,44.5
2016-10-07,43.0
2016-10-10,46.0
2016-10-13,46.0
2016-10-14,46.75
2016-10-17,49.0
2016-10-18,48.25
2016-10-19,54.55
2016-10-20,64.05
2016-10-21,68.1
2016-10-24,73.6
2016-10-25,70.85
2016-10-26,70.0
2016-10-27,67.6
2016-10-28,67.55
2016-10-30,68.55
2016-11-01,68.7
2016-11-02,66.0
2016-11-03,68.0
2016-11-04,59.75
2016-11-07,62.9
2016-11-08,58.9
2016-11-09,52.8
2016-11-10,59.15
2016-11-11,56.0
2016-11-15,52.3
2016-11-16,47.85
2016-11-17,51.65
2016-11-18,47.7
2016-11-21,45.65
2016-11-22,45.1
2016-11-23,46.85
2016-11-24,44.4
2016-11-25,47.7
2016-11-28,48.65
2016-11-29,50.0
2016-11-30,51.7
2016-12-02,51.6
2016-12-05,60.8
2016-12-06,68.45
2016-12-07,64.05
2016-12-08,61.85
2016-12-09,62.25
2016-12-12,58.75
2016-12-13,70.5
2016-12-14,76.7
2016-12-15,74.2
2016-12-16,70.35
2016-12-19,65.65
2016-12-20,63.6
2016-12-21,63.1
