Date,HERCULES
2016-01-01,182.65
2016-01-04,181.35
2016-01-05,190.4
2016-01-06,185.2
2016-01-07,175.0
2016-01-08,177.6
2016-01-11,175.0
2016-01-12,172.35
2016-01-13,166.95
2016-01-14,164.65
2016-01-15,156.55
2016-01-18,148.45
2016-01-19,154.1
2016-01-20,150.2
2016-01-21,148.35
2016-01-22,151.8
2016-01-25,152.8
2016-01-27,153.4
2016-01-28,153.5
2016-01-29,158.5
2016-02-01,159.55
2016-02-02,156.05
2016-02-03,152.35
2016-02-04,154.6
2016-02-05,154.1
2016-02-08,151.6
2016-02-09,151.8
2016-02-10,151.3
2016-02-11,148.6
2016-02-12,140.7
2016-02-15,148.7
2016-02-16,145.25
2016-02-17,140.8
2016-02-18,137.5
2016-02-19,139.85
2016-02-22,138.5
2016-02-23,135.2
2016-02-24,133.65
2016-02-25,129.8
2016-02-26,128.95
2016-02-29,128.1
2016-03-01,133.75
2016-03-02,136.8
2016-03-03,139.6
2016-03-04,141.0
2016-03-08,136.0
2016-03-09,135.6
2016-03-10,136.2
2016-03-11,134.75
2016-03-14,133.15
2016-03-15,130.95
2016-03-16,131.35
2016-03-17,135.7
2016-03-18,138.35
2016-03-21,155.1
2016-03-22,149.95
2016-03-23,150.55
2016-03-28,146.0
2016-03-29,143.0
2016-03-30,144.55
2016-03-31,145.6
2016-04-01,147.65
2016-04-04,150.05
2016-04-05,149.5
2016-04-06,150.5
2016-04-07,148.45
2016-04-08,153.5
2016-04-11,154.65
2016-04-12,155.85
2016-04-13,167.25
2016-04-18,161.9
2016-04-20,161.6
2016-04-21,159.35
2016-04-22,158.1
2016-04-25,156.05
2016-04-26,158.6
2016-04-27,163.0
2016-04-28,160.8
2016-04-29,160.0
2016-05-02,159.35
2016-05-03,159.7
2016-05-04,156.65
2016-05-05,156.2
2016-05-06,154.8
2016-05-09,156.0
2016-05-10,156.05
2016-05-11,155.5
2016-05-12,157.55
2016-05-13,156.1
2016-05-16,155.9
2016-05-17,156.55
2016-05-18,155.15
2016-05-19,154.1
2016-05-20,153.85
2016-05-23,152.35
2016-05-24,150.9
2016-05-25,151.75
2016-05-26,151.6
2016-05-27,152.75
2016-05-30,151.35
2016-05-31,151.35
2016-06-01,152.95
2016-06-02,152.3
2016-06-03,152.85
2016-06-06,150.85
2016-06-07,152.05
2016-06-08,156.25
2016-06-09,157.8
2016-06-10,157.25
2016-06-13,156.45
2016-06-14,159.65
2016-06-15,154.1
2016-06-16,150.95
2016-06-17,151.05
2016-06-20,151.1
2016-06-21,150.5
2016-06-22,150.2
2016-06-23,149.55
2016-06-24,147.6
2016-06-27,150.0
2016-06-28,162.15
2016-06-29,160.7
2016-06-30,159.2
2016-07-01,162.5
2016-07-04,163.7
2016-07-05,162.6
2016-07-07,161.3
2016-07-08,160.7
2016-07-11,163.7
2016-07-12,163.75
2016-07-13,162.5
2016-07-14,163.1
2016-07-15,162.55
2016-07-18,161.3
2016-07-19,159.2
2016-07-20,159.85
2016-07-21,158.9
2016-07-22,158.75
2016-07-25,159.1
2016-07-26,157.75
2016-07-27,157.85
2016-07-28,161.8
2016-07-29,160.0
2016-08-01,159.8
2016-08-02,157.3
2016-08-03,157.2
2016-08-04,155.6
2016-08-05,157.25
2016-08-08,156.75
2016-08-09,156.9
2016-08-10,153.75
2016-08-11,155.3
2016-08-12,155.25
2016-08-16,158.15
2016-08-17,155.9
2016-08-18,155.7
2016-08-19,155.5
2016-08-22,156.95
2016-08-23,155.7
2016-08-24,156.65
2016-08-25,162.5
2016-08-26,169.35
2016-08-29,165.6
2016-08-30,162.65
2016-08-31,164.2
2016-09-01,169.45
2016-09-02,165.7
2016-09-06,167.3
2016-09-07,164.3
2016-09-08,163.25
2016-09-09,161.75
2016-09-12,156.5
2016-09-14,155.4
2016-09-15,153.95
2016-09-16,154.85
2016-09-19,154.45
2016-09-20,154.45
2016-09-21,157.2
2016-09-22,157.35
2016-09-23,158.95
2016-09-26,158.35
2016-09-27,158.1
2016-09-28,158.3
2016-09-29,147.85
2016-09-30,149.9
2016-10-03,155.05
2016-10-04,166.2
2016-10-05,163.05
2016-10-06,163.15
2016-10-07,168.95
2016-10-10,172.6
2016-10-13,164.7
2016-10-14,188.5
2016-10-17,190.05
2016-10-18,187.45
2016-10-19,182.15
2016-10-20,184.4
2016-10-21,185.95
2016-10-24,182.95
2016-10-25,180.3
2016-10-26,177.6
2016-10-27,176.15
2016-10-28,174.4
2016-10-30,177.05
2016-11-01,173.45
2016-11-02,166.1
2016-11-03,165.9
2016-11-04,162.5
2016-11-07,165.85
2016-11-08,164.6
2016-11-09,155.45
2016-11-10,165.3
2016-11-11,156.5
2016-11-15,152.65
2016-11-16,149.4
2016-11-17,148.6
2016-11-18,149.25
2016-11-21,144.45
2016-11-22,142.8
2016-11-23,145.4
2016-11-24,144.7
2016-11-25,149.25
2016-11-28,148.45
2016-11-29,148.95
2016-11-30,149.25
2016-12-01,149.4
2016-12-02,145.65
2016-12-05,145.85
2016-12-06,145.15
2016-12-07,143.8
2016-12-08,147.25
2016-12-09,145.95
2016-12-12,143.8
2016-12-13,143.95
2016-12-14,140.25
2016-12-15,141.25
2016-12-16,141.8
2016-12-19,140.1
2016-12-20,137.25
2016-12-21,139.4
2016-12-22,135.75
2016-12-23,136.0
2016-12-26,133.65
2016-12-27,134.3
2016-12-28,137.8
2016-12-29,136.85
2016-12-30,138.15
