Date,SATHAISPAT
2016-01-01,35.05
2016-01-04,35.25
2016-01-05,39.8
2016-01-06,39.45
2016-01-07,39.7
2016-01-08,41.35
2016-01-11,44.75
2016-01-12,47.15
2016-01-13,45.45
2016-01-14,45.4
2016-01-15,43.45
2016-01-18,40.35
2016-01-19,38.6
2016-01-20,38.5
2016-01-21,39.9
2016-01-22,39.55
2016-01-25,39.25
2016-01-27,40.4
2016-01-28,39.3
2016-01-29,39.0
2016-02-01,39.4
2016-02-02,38.05
2016-02-03,37.05
2016-02-04,37.9
2016-02-05,36.9
2016-02-08,36.75
2016-02-09,36.1
2016-02-10,34.5
2016-02-11,32.1
2016-02-12,30.0
2016-02-15,32.9
2016-02-16,31.95
2016-02-17,32.65
2016-02-18,34.0
2016-02-19,33.1
2016-02-22,34.15
2016-02-23,34.95
2016-02-24,33.8
2016-02-25,33.9
2016-02-26,33.0
2016-02-29,35.0
2016-03-01,35.35
2016-03-02,35.85
2016-03-03,36.4
2016-03-04,35.65
2016-03-08,36.45
2016-03-09,36.2
2016-03-10,37.55
2016-03-11,36.0
2016-03-14,37.0
2016-03-15,37.0
2016-03-16,37.6
2016-03-17,37.2
2016-03-18,39.5
2016-03-21,42.3
2016-03-22,43.1
2016-03-23,44.85
2016-03-28,44.5
2016-03-29,46.3
2016-03-30,50.45
2016-03-31,49.95
2016-04-01,46.35
2016-04-04,50.15
2016-04-05,50.5
2016-04-06,49.55
2016-04-07,53.1
2016-04-08,51.95
2016-04-11,52.55
2016-04-12,51.45
2016-04-13,49.25
2016-04-18,48.25
2016-04-20,47.7
2016-04-21,47.9
2016-04-22,47.95
2016-04-25,50.05
2016-04-26,50.85
2016-04-27,50.5
2016-04-28,50.0
2016-04-29,50.05
2016-05-02,49.0
2016-05-03,49.25
2016-05-04,52.95
2016-05-05,59.4
2016-05-06,62.15
2016-05-09,61.35
2016-05-10,61.7
2016-05-11,59.35
2016-05-12,60.15
2016-05-13,60.1
2016-05-16,59.4
2016-05-17,62.3
2016-05-18,68.55
2016-05-19,70.25
2016-05-20,66.6
2016-05-23,64.5
2016-05-24,62.7
2016-05-25,63.7
2016-05-26,68.65
2016-05-27,69.85
2016-05-30,67.85
2016-05-31,54.75
2016-06-01,58.3
2016-06-02,58.15
2016-06-03,55.85
2016-06-06,54.2
2016-06-07,53.6
2016-06-08,58.7
2016-06-09,57.85
2016-06-10,57.5
2016-06-13,56.4
2016-06-14,57.05
2016-06-15,57.9
2016-06-16,56.95
2016-06-17,58.0
2016-06-20,57.0
2016-06-21,56.9
2016-06-22,57.0
2016-06-23,57.75
2016-06-24,57.95
2016-06-27,60.65
2016-06-28,66.5
2016-06-29,68.75
2016-06-30,69.3
2016-07-01,74.85
2016-07-04,78.7
2016-07-05,79.15
2016-07-07,77.3
2016-07-08,76.0
2016-07-11,74.35
2016-07-12,74.9
2016-07-13,73.05
2016-07-14,72.9
2016-07-15,71.95
2016-07-18,70.2
2016-07-19,66.1
2016-07-20,79.3
2016-07-21,84.9
2016-07-22,86.95
2016-07-25,96.65
2016-07-26,98.05
2016-07-27,94.5
2016-07-28,92.45
2016-07-29,94.25
2016-08-01,89.05
2016-08-02,90.2
2016-08-03,83.3
2016-08-04,75.25
2016-08-05,80.45
2016-08-08,79.0
2016-08-09,74.45
2016-08-10,73.6
2016-08-11,66.75
2016-08-12,64.75
2016-08-16,67.95
2016-08-17,71.3
2016-08-18,74.85
2016-08-19,75.4
2016-08-22,71.65
2016-08-23,68.1
2016-08-24,70.35
2016-08-25,69.15
2016-08-26,68.05
2016-08-29,65.25
2016-08-30,62.6
2016-08-31,65.7
2016-09-01,62.55
2016-09-02,60.6
2016-09-06,63.85
2016-09-07,64.0
2016-09-08,64.25
2016-09-09,62.45
2016-09-12,60.1
2016-09-14,60.65
2016-09-15,60.55
2016-09-16,63.1
2016-09-19,63.95
2016-09-20,64.7
2016-09-21,63.4
2016-09-22,65.65
2016-09-23,64.6
2016-09-26,64.95
2016-09-27,69.4
2016-09-28,74.5
2016-09-29,67.55
2016-09-30,69.7
2016-10-03,71.8
2016-10-04,71.6
2016-10-05,77.1
2016-10-06,78.75
2016-10-07,77.55
2016-10-10,76.9
2016-10-13,75.0
2016-10-14,74.3
2016-10-17,71.0
2016-10-18,73.3
2016-10-19,75.35
2016-10-20,74.8
2016-10-21,89.75
2016-10-24,95.8
2016-10-25,93.15
2016-10-26,89.65
2016-10-27,87.1
2016-10-28,85.3
2016-10-30,87.85
2016-11-01,85.45
2016-11-02,83.35
2016-11-03,83.75
2016-11-04,78.05
2016-11-07,72.35
2016-11-08,69.25
2016-11-09,66.55
2016-11-10,69.35
2016-11-11,64.15
2016-11-15,58.05
2016-11-16,57.25
2016-11-17,58.2
2016-11-18,58.6
2016-11-21,53.2
2016-11-22,55.2
2016-11-23,58.4
2016-11-24,57.15
2016-11-25,61.9
2016-11-28,62.85
2016-11-29,63.0
2016-11-30,67.2
2016-12-01,64.65
2016-12-02,63.85
2016-12-05,61.15
2016-12-06,66.95
2016-12-07,65.45
2016-12-08,66.9
2016-12-09,65.65
2016-12-12,68.2
2016-12-13,70.6
2016-12-14,68.75
2016-12-15,69.1
2016-12-16,67.05
2016-12-19,66.8
2016-12-20,66.15
2016-12-21,66.55
2016-12-22,64.35
2016-12-23,64.8
2016-12-26,62.4
2016-12-27,62.45
2016-12-28,64.35
2016-12-29,65.15
2016-12-30,63.9
