Date,CINEVISTA
2016-01-01,5.85
2016-01-04,5.6
2016-01-05,5.55
2016-01-06,5.55
2016-01-07,5.3
2016-01-08,5.15
2016-01-11,5.4
2016-01-12,5.65
2016-01-13,5.9
2016-01-14,6.15
2016-01-15,5.9
2016-01-18,5.65
2016-01-19,5.9
2016-01-20,5.65
2016-01-21,5.75
2016-01-22,5.8
2016-01-25,5.55
2016-01-27,5.35
2016-01-28,5.15
2016-01-29,5.15
2016-02-01,5.35
2016-02-02,5.1
2016-02-03,5.0
2016-02-04,4.9
2016-02-05,4.8
2016-02-08,5.0
2016-02-09,4.7
2016-02-10,4.95
2016-02-11,4.55
2016-02-12,4.85
2016-02-15,4.45
2016-02-16,4.2
2016-02-17,4.6
2016-02-18,4.8
2016-02-19,4.7
2016-02-22,4.4
2016-02-23,4.7
2016-02-24,4.4
2016-02-25,4.15
2016-02-26,4.2
2016-02-29,3.8
2016-03-01,4.05
2016-03-02,3.75
2016-03-03,3.75
2016-03-04,3.6
2016-03-08,3.75
2016-03-09,3.9
2016-03-10,3.8
2016-03-14,3.75
2016-03-15,3.85
2016-03-16,3.8
2016-03-17,3.7
2016-03-18,3.8
2016-03-21,3.65
2016-03-22,3.6
2016-03-23,3.7
2016-03-28,3.7
2016-03-29,3.6
2016-03-30,3.45
2016-03-31,3.6
2016-04-01,3.3
2016-04-04,3.35
2016-04-05,3.6
2016-04-06,3.85
2016-04-07,4.15
2016-04-08,3.95
2016-04-11,3.8
2016-04-13,3.95
2016-04-18,3.95
2016-04-20,3.8
2016-04-21,3.75
2016-04-22,3.6
2016-04-25,3.9
2016-04-26,3.8
2016-04-27,3.85
2016-04-28,3.6
2016-04-29,3.95
2016-05-02,3.7
2016-05-03,3.7
2016-05-04,3.55
2016-05-05,3.5
2016-05-06,3.6
2016-05-09,3.9
2016-05-10,4.0
2016-05-11,3.55
2016-05-12,3.9
2016-05-13,4.0
2016-05-16,3.9
2016-05-17,4.1
2016-05-18,4.0
2016-05-19,4.15
2016-05-20,4.0
2016-05-23,4.0
2016-05-24,4.0
2016-05-25,3.75
2016-05-26,3.65
2016-05-27,3.65
2016-05-30,3.85
2016-05-31,3.8
2016-06-01,3.8
2016-06-02,3.9
2016-06-03,3.8
2016-06-06,3.65
2016-06-07,4.0
2016-06-08,3.85
2016-06-09,3.9
2016-06-10,4.15
2016-06-13,4.2
2016-06-14,3.9
2016-06-15,4.0
2016-06-16,3.95
2016-06-17,3.9
2016-06-20,3.9
2016-06-21,4.1
2016-06-22,4.2
2016-06-23,4.1
2016-06-24,3.85
2016-06-28,3.85
2016-06-29,3.95
2016-06-30,4.05
2016-07-01,4.6
2016-07-04,5.5
2016-07-05,6.05
2016-07-07,5.45
2016-07-08,5.5
2016-07-11,5.65
2016-07-12,5.3
2016-07-13,5.0
2016-07-14,5.0
2016-07-15,5.0
2016-07-18,5.2
2016-07-19,5.1
2016-07-20,5.05
2016-07-21,5.05
2016-07-22,5.55
2016-07-25,5.7
2016-07-26,5.45
2016-07-27,5.7
2016-07-28,5.5
2016-07-29,5.3
2016-08-01,5.3
2016-08-02,5.4
2016-08-03,5.9
2016-08-04,6.0
2016-08-05,6.2
2016-08-08,6.2
2016-08-09,6.15
2016-08-10,6.1
2016-08-11,5.75
2016-08-12,5.8
2016-08-16,5.8
2016-08-17,5.6
2016-08-18,5.45
2016-08-19,5.6
2016-08-22,6.5
2016-08-23,7.8
2016-08-24,9.35
2016-08-25,9.45
2016-08-26,8.55
2016-08-29,8.4
2016-08-30,7.65
2016-08-31,7.55
2016-09-01,7.5
2016-09-02,7.75
2016-09-06,8.0
2016-09-07,7.8
2016-09-08,7.85
2016-09-09,8.0
2016-09-12,7.6
2016-09-14,7.25
2016-09-15,7.1
2016-09-16,6.95
2016-09-19,6.7
2016-09-20,6.7
2016-09-21,6.5
2016-09-22,6.7
2016-09-23,6.8
2016-09-26,6.55
2016-09-27,6.6
2016-09-28,6.45
2016-09-29,6.3
2016-09-30,6.05
2016-10-03,6.35
2016-10-04,6.5
2016-10-05,6.5
2016-10-06,6.5
2016-10-07,6.5
2016-10-10,6.65
2016-10-13,7.3
2016-10-14,7.5
2016-10-17,7.05
2016-10-18,7.05
2016-10-19,7.05
2016-10-20,6.85
2016-10-21,6.8
2016-10-24,6.8
2016-10-25,7.2
2016-10-26,7.1
2016-10-27,7.25
2016-10-28,7.2
2016-10-30,7.0
2016-11-01,7.65
2016-11-02,7.7
2016-11-03,8.05
2016-11-04,7.55
2016-11-07,8.05
2016-11-08,8.2
2016-11-09,7.8
2016-11-10,8.25
2016-11-11,7.6
2016-11-15,6.6
2016-11-16,6.7
2016-11-17,6.45
2016-11-18,6.2
2016-11-21,5.25
2016-11-22,5.25
2016-11-23,5.6
2016-11-24,5.4
2016-11-25,5.65
2016-11-28,5.65
2016-11-29,6.05
2016-11-30,6.1
2016-12-01,6.2
2016-12-02,5.9
2016-12-05,6.15
2016-12-06,5.8
2016-12-07,5.95
2016-12-08,6.4
2016-12-09,6.6
2016-12-12,6.65
2016-12-13,6.1
2016-12-14,6.0
2016-12-15,6.2
2016-12-16,6.35
2016-12-19,6.3
2016-12-20,6.0
2016-12-21,6.15
2016-12-22,5.8
2016-12-23,5.9
2016-12-26,5.95
2016-12-27,5.85
2016-12-28,6.15
2016-12-29,6.0
2016-12-30,6.0
