Date,FACT
2016-01-01,25.25
2016-01-04,24.7
2016-01-05,24.75
2016-01-06,25.05
2016-01-07,24.0
2016-01-08,24.0
2016-01-11,23.75
2016-01-12,23.95
2016-01-13,24.0
2016-01-14,22.95
2016-01-15,22.0
2016-01-18,20.05
2016-01-19,20.4
2016-01-20,20.3
2016-01-21,20.75
2016-01-22,21.35
2016-01-25,21.6
2016-01-27,21.05
2016-01-28,21.0
2016-01-29,21.3
2016-02-01,21.65
2016-02-02,21.35
2016-02-03,20.25
2016-02-04,20.55
2016-02-05,20.85
2016-02-08,21.65
2016-02-09,21.1
2016-02-10,20.8
2016-02-11,19.6
2016-02-12,19.1
2016-02-15,19.85
2016-02-16,19.55
2016-02-17,19.05
2016-02-18,19.45
2016-02-19,20.45
2016-02-22,24.05
2016-02-23,22.4
2016-02-24,21.3
2016-02-25,20.85
2016-02-26,21.55
2016-02-29,19.65
2016-03-01,19.9
2016-03-02,20.5
2016-03-03,24.25
2016-03-04,24.05
2016-03-08,23.1
2016-03-09,22.15
2016-03-10,21.5
2016-03-11,21.05
2016-03-14,21.85
2016-03-15,21.2
2016-03-16,21.2
2016-03-17,20.95
2016-03-18,20.85
2016-03-21,21.35
2016-03-22,21.6
2016-03-23,21.4
2016-03-28,21.25
2016-03-29,20.6
2016-03-30,21.15
2016-03-31,21.3
2016-04-01,21.75
2016-04-04,21.75
2016-04-05,21.0
2016-04-06,21.4
2016-04-07,21.6
2016-04-08,21.6
2016-04-11,21.75
2016-04-12,22.3
2016-04-13,23.35
2016-04-18,22.9
2016-04-20,23.35
2016-04-21,22.65
2016-04-22,22.7
2016-04-25,23.15
2016-04-26,23.75
2016-04-27,25.05
2016-04-28,24.15
2016-04-29,23.9
2016-05-02,24.25
2016-05-03,24.0
2016-05-04,23.5
2016-05-05,22.9
2016-05-06,23.4
2016-05-09,23.4
2016-05-10,23.35
2016-05-11,23.1
2016-05-12,24.65
2016-05-13,26.6
2016-05-16,26.3
2016-05-17,25.85
2016-05-18,25.7
2016-05-19,24.95
2016-05-20,23.6
2016-05-23,23.35
2016-05-24,24.4
2016-05-25,24.2
2016-05-26,23.7
2016-05-27,23.7
2016-05-30,23.3
2016-05-31,23.15
2016-06-01,23.55
2016-06-02,23.55
2016-06-03,23.8
2016-06-06,23.55
2016-06-07,23.5
2016-06-08,24.2
2016-06-09,24.2
2016-06-10,24.05
2016-06-13,24.2
2016-06-14,24.75
2016-06-15,24.9
2016-06-16,24.75
2016-06-17,24.5
2016-06-20,25.05
2016-06-21,24.7
2016-06-22,24.0
2016-06-23,23.65
2016-06-24,23.2
2016-06-27,24.0
2016-06-28,24.05
2016-06-29,24.5
2016-06-30,26.4
2016-07-01,26.1
2016-07-04,25.65
2016-07-05,25.25
2016-07-07,25.45
2016-07-08,25.05
2016-07-11,25.15
2016-07-12,25.1
2016-07-13,24.85
2016-07-14,24.8
2016-07-15,24.2
2016-07-18,24.0
2016-07-19,23.75
2016-07-20,23.6
2016-07-21,24.6
2016-07-22,25.3
2016-07-25,25.15
2016-07-26,24.6
2016-07-27,24.4
2016-07-28,24.25
2016-07-29,23.95
2016-08-01,23.6
2016-08-02,23.45
2016-08-03,23.15
2016-08-04,23.15
2016-08-05,23.25
2016-08-08,23.6
2016-08-09,23.4
2016-08-10,23.35
2016-08-11,22.85
2016-08-12,23.05
2016-08-16,22.65
2016-08-17,22.65
2016-08-18,22.95
2016-08-19,23.5
2016-08-22,23.9
2016-08-23,23.55
2016-08-24,23.95
2016-08-25,23.6
2016-08-26,23.7
2016-08-29,23.3
2016-08-30,23.1
2016-08-31,23.0
2016-09-01,22.75
2016-09-02,22.75
2016-09-06,23.0
2016-09-07,22.95
2016-09-08,23.2
2016-09-09,23.2
2016-09-12,22.85
2016-09-14,23.35
2016-09-15,23.05
2016-09-16,22.7
2016-09-19,23.3
2016-09-20,23.2
2016-09-21,23.05
2016-09-22,23.15
2016-09-23,23.15
2016-09-26,22.8
2016-09-27,23.05
2016-09-28,23.4
2016-09-29,22.1
2016-09-30,22.75
2016-10-03,23.05
2016-10-04,23.05
2016-10-05,23.2
2016-10-06,22.95
2016-10-07,23.55
2016-10-10,23.6
2016-10-13,23.35
2016-10-14,23.45
2016-10-17,23.7
2016-10-18,23.85
2016-10-19,25.05
2016-10-20,24.3
2016-10-21,23.8
2016-10-24,24.25
2016-10-25,24.35
2016-10-26,24.15
2016-10-27,24.15
2016-10-28,24.25
2016-10-30,24.35
2016-11-01,25.05
2016-11-02,24.55
2016-11-03,24.05
2016-11-04,24.55
2016-11-07,24.05
2016-11-08,23.6
2016-11-09,22.85
2016-11-10,23.7
2016-11-11,22.65
2016-11-15,21.55
2016-11-16,21.65
2016-11-17,21.5
2016-11-18,21.25
2016-11-21,20.8
2016-11-22,20.9
2016-11-23,21.15
2016-11-24,21.5
2016-11-25,21.9
2016-11-28,22.2
2016-11-29,22.6
2016-11-30,23.05
2016-12-01,23.25
2016-12-02,22.6
2016-12-05,22.75
2016-12-06,22.9
2016-12-07,23.5
2016-12-08,25.0
2016-12-09,24.0
2016-12-12,23.5
2016-12-13,24.3
2016-12-14,23.75
2016-12-15,23.4
2016-12-16,22.95
2016-12-19,24.05
2016-12-20,23.55
2016-12-21,23.65
2016-12-22,23.15
2016-12-23,22.8
2016-12-26,22.55
2016-12-27,23.0
2016-12-28,23.0
2016-12-29,23.75
2016-12-30,23.9
