Date,FEDDERELEC
2016-01-01,100.85
2016-01-04,97.75
2016-01-05,97.5
2016-01-06,100.6
2016-01-07,93.2
2016-01-08,96.7
2016-01-11,92.65
2016-01-12,88.7
2016-01-13,85.35
2016-01-14,83.7
2016-01-15,81.35
2016-01-18,76.0
2016-01-19,77.9
2016-01-20,73.4
2016-01-21,70.5
2016-01-22,72.2
2016-01-25,70.5
2016-01-27,73.55
2016-01-28,84.9
2016-01-29,83.6
2016-02-01,81.5
2016-02-02,83.65
2016-02-03,79.85
2016-02-04,80.45
2016-02-05,78.6
2016-02-08,79.4
2016-02-09,78.3
2016-02-10,76.45
2016-02-11,71.25
2016-02-12,70.6
2016-02-15,67.5
2016-02-16,65.3
2016-02-17,63.75
2016-02-18,64.15
2016-02-19,64.05
2016-02-22,68.65
2016-02-23,65.95
2016-02-24,62.8
2016-02-25,60.75
2016-02-26,60.1
2016-02-29,58.65
2016-03-01,61.75
2016-03-02,64.9
2016-03-03,66.1
2016-03-04,67.3
2016-03-08,66.8
2016-03-09,64.05
2016-03-10,64.25
2016-03-11,64.65
2016-03-14,66.85
2016-03-15,64.25
2016-03-16,64.6
2016-03-17,64.9
2016-03-18,65.55
2016-03-21,69.7
2016-03-22,70.65
2016-03-23,69.8
2016-03-28,68.55
2016-03-29,68.4
2016-03-30,72.05
2016-03-31,71.6
2016-04-01,73.05
2016-04-04,74.75
2016-04-05,72.65
2016-04-06,72.6
2016-04-07,72.75
2016-04-08,77.2
2016-04-11,80.55
2016-04-12,83.4
2016-04-13,82.05
2016-04-18,85.1
2016-04-20,86.65
2016-04-21,85.35
2016-04-22,83.45
2016-04-25,82.7
2016-04-26,83.65
2016-04-27,83.65
2016-04-28,81.05
2016-04-29,80.5
2016-05-02,80.65
2016-05-03,81.25
2016-05-04,77.25
2016-05-05,78.0
2016-05-06,78.15
2016-05-09,78.85
2016-05-10,78.7
2016-05-11,78.4
2016-05-12,83.2
2016-05-13,83.9
2016-05-16,83.85
2016-05-17,83.6
2016-05-18,84.45
2016-05-19,81.3
2016-05-20,79.5
2016-05-23,78.7
2016-05-24,77.75
2016-05-25,78.9
2016-05-26,79.7
2016-05-27,80.85
2016-05-30,79.15
2016-05-31,72.15
2016-06-01,71.1
2016-06-02,70.0
2016-06-03,70.15
2016-06-06,68.9
2016-06-07,69.6
2016-06-08,70.85
2016-06-09,71.55
2016-06-10,73.35
2016-06-13,71.75
2016-06-14,71.75
2016-06-15,73.45
2016-06-16,75.4
2016-06-17,73.8
2016-06-20,74.6
2016-06-21,73.35
2016-06-22,73.65
2016-06-23,72.5
2016-06-24,70.1
2016-06-27,72.15
2016-06-28,72.35
2016-06-29,72.85
2016-06-30,74.35
2016-07-01,73.8
2016-07-04,74.7
2016-07-05,74.9
2016-07-07,74.75
2016-07-08,73.6
2016-07-11,74.9
2016-07-12,74.9
2016-07-13,73.35
2016-07-14,74.15
2016-07-15,74.15
2016-07-18,73.3
2016-07-19,73.9
2016-07-20,74.05
2016-07-21,73.65
2016-07-22,73.35
2016-07-25,75.45
2016-07-26,76.7
2016-07-27,79.7
2016-07-28,77.3
2016-07-29,73.45
2016-08-01,71.85
2016-08-02,70.6
2016-08-03,70.4
2016-08-04,70.15
2016-08-05,69.6
2016-08-08,69.25
2016-08-09,69.2
2016-08-10,68.45
2016-08-11,67.9
2016-08-12,68.5
2016-08-16,70.2
2016-08-17,68.3
2016-08-18,69.85
2016-08-19,68.65
2016-08-22,71.8
2016-08-23,71.1
2016-08-24,75.3
2016-08-25,73.8
2016-08-26,72.05
2016-08-29,70.8
2016-08-30,70.25
2016-08-31,70.55
2016-09-01,71.3
2016-09-02,70.9
2016-09-06,70.05
2016-09-07,70.75
2016-09-08,71.55
2016-09-09,74.9
2016-09-12,71.8
2016-09-14,72.15
2016-09-15,74.1
2016-09-16,72.0
2016-09-19,73.0
2016-09-20,76.5
2016-09-21,75.45
2016-09-22,76.5
2016-09-23,75.55
2016-09-26,74.7
2016-09-27,74.4
2016-09-28,76.1
2016-09-29,72.35
2016-09-30,73.95
2016-10-03,74.95
2016-10-04,74.6
2016-10-05,76.15
2016-10-06,77.85
2016-10-07,77.1
2016-10-10,78.2
2016-10-13,75.5
2016-10-14,75.25
2016-10-17,75.75
2016-10-18,79.5
2016-10-19,79.35
2016-10-20,84.05
2016-10-21,84.6
2016-10-24,83.55
2016-10-25,83.4
2016-10-26,82.6
2016-10-27,81.9
2016-10-28,81.85
2016-10-30,82.9
2016-11-01,85.85
2016-11-02,83.1
2016-11-03,81.25
2016-11-04,79.0
2016-11-07,79.7
2016-11-08,78.95
2016-11-09,77.35
2016-11-10,78.15
2016-11-11,74.9
2016-11-15,71.2
2016-11-16,69.85
2016-11-17,68.4
2016-11-18,68.6
2016-11-21,65.15
2016-11-22,66.35
2016-11-23,68.75
2016-11-24,69.9
2016-11-25,71.7
2016-11-28,70.65
2016-11-29,70.45
2016-11-30,69.6
2016-12-01,69.8
2016-12-02,69.0
2016-12-05,69.0
2016-12-06,68.75
2016-12-07,67.05
2016-12-08,66.95
2016-12-09,68.85
2016-12-12,66.75
2016-12-13,66.1
2016-12-14,66.8
2016-12-15,65.9
2016-12-16,66.95
2016-12-19,64.95
2016-12-20,64.85
2016-12-21,63.15
2016-12-22,61.65
2016-12-23,61.05
2016-12-26,58.3
2016-12-27,57.45
2016-12-28,67.85
2016-12-29,65.4
2016-12-30,65.5
