Date,VIDHIING
2016-03-02,59.5
2016-03-03,57.95
2016-03-04,56.65
2016-03-08,56.05
2016-03-09,57.35
2016-03-10,59.0
2016-03-11,58.7
2016-03-14,58.0
2016-03-15,57.25
2016-03-16,57.25
2016-03-17,57.65
2016-03-18,57.6
2016-03-21,56.75
2016-03-22,56.65
2016-03-23,64.25
2016-03-28,64.2
2016-03-29,63.95
2016-03-30,67.15
2016-03-31,65.15
2016-04-01,65.25
2016-04-04,67.85
2016-04-05,65.4
2016-04-06,71.85
2016-04-07,68.95
2016-04-08,68.35
2016-04-11,71.65
2016-04-12,72.15
2016-04-13,70.05
2016-04-18,69.3
2016-04-20,67.7
2016-04-21,68.65
2016-04-22,66.8
2016-04-25,66.25
2016-04-26,66.3
2016-04-27,67.55
2016-04-28,65.05
2016-04-29,65.8
2016-05-02,65.95
2016-05-03,64.25
2016-05-04,62.0
2016-05-05,62.5
2016-05-06,62.0
2016-05-09,61.15
2016-05-10,62.35
2016-05-11,60.75
2016-05-12,61.55
2016-05-13,62.45
2016-05-16,61.8
2016-05-17,61.4
2016-05-18,60.75
2016-05-19,59.9
2016-05-20,60.1
2016-05-23,61.6
2016-05-24,65.05
2016-05-25,61.9
2016-05-26,60.2
2016-05-27,55.75
2016-05-30,53.6
2016-05-31,55.15
2016-06-01,56.25
2016-06-02,54.9
2016-06-03,53.35
2016-06-06,52.4
2016-06-07,52.95
2016-06-08,55.8
2016-06-09,54.9
2016-06-10,54.65
2016-06-13,54.2
2016-06-14,54.75
2016-06-15,57.6
2016-06-16,57.15
2016-06-17,56.4
2016-06-20,56.25
2016-06-21,55.35
2016-06-22,54.1
2016-06-23,54.15
2016-06-24,53.15
2016-06-27,54.15
2016-06-28,54.35
2016-06-29,54.6
2016-06-30,55.35
2016-07-01,54.85
2016-07-04,54.5
2016-07-05,53.7
2016-07-07,54.35
2016-07-08,53.75
2016-07-11,54.55
2016-07-12,55.0
2016-07-13,53.55
2016-07-14,52.65
2016-07-15,52.75
2016-07-18,52.2
2016-07-19,55.3
2016-07-20,56.05
2016-07-21,54.65
2016-07-22,54.4
2016-07-25,53.7
2016-07-26,53.55
2016-07-27,53.8
2016-07-28,59.15
2016-07-29,58.5
2016-08-01,58.8
2016-08-02,58.0
2016-08-03,56.65
2016-08-04,55.35
2016-08-05,55.0
2016-08-08,54.8
2016-08-09,54.95
2016-08-10,54.2
2016-08-11,54.85
2016-08-12,53.1
2016-08-16,52.0
2016-08-17,52.85
2016-08-18,53.25
2016-08-19,53.45
2016-08-22,53.7
2016-08-23,54.35
2016-08-24,54.2
2016-08-25,53.45
2016-08-26,52.7
2016-08-29,52.3
2016-08-30,52.95
2016-08-31,52.7
2016-09-01,52.3
2016-09-02,52.3
2016-09-06,52.0
2016-09-07,53.05
2016-09-08,53.25
2016-09-09,52.6
2016-09-12,51.45
2016-09-14,52.8
2016-09-15,53.0
2016-09-16,52.5
2016-09-19,53.6
2016-09-20,58.1
2016-09-21,58.35
2016-09-22,58.5
2016-09-23,56.8
2016-09-26,57.65
2016-09-27,61.9
2016-09-28,61.05
2016-09-29,55.3
2016-09-30,58.0
2016-10-03,60.5
2016-10-04,59.35
2016-10-05,59.55
2016-10-06,58.7
2016-10-07,57.8
2016-10-10,58.2
2016-10-13,57.3
2016-10-14,57.7
2016-10-17,57.3
2016-10-18,57.45
2016-10-19,58.1
2016-10-20,57.9
2016-10-21,57.55
2016-10-24,59.8
2016-10-25,58.55
2016-10-26,61.1
2016-10-27,59.2
2016-10-28,59.6
2016-10-30,60.45
2016-11-01,59.4
2016-11-02,58.25
2016-11-03,63.6
2016-11-04,60.3
2016-11-07,61.2
2016-11-08,60.45
2016-11-09,57.95
2016-11-10,58.8
2016-11-11,58.8
2016-11-15,52.85
2016-11-16,51.0
2016-11-17,49.4
2016-11-18,49.3
2016-11-21,48.75
2016-11-22,49.05
2016-11-23,52.6
2016-11-24,51.85
2016-11-25,52.1
2016-11-28,52.0
2016-11-29,52.35
2016-11-30,54.4
2016-12-01,53.15
2016-12-02,52.7
2016-12-05,52.55
2016-12-06,52.7
2016-12-07,51.35
2016-12-08,52.55
2016-12-09,53.05
2016-12-12,52.75
2016-12-13,53.05
2016-12-14,54.0
2016-12-15,52.7
2016-12-16,52.8
2016-12-19,54.2
2016-12-20,52.65
2016-12-21,50.65
2016-12-22,51.05
2016-12-23,50.6
2016-12-26,49.9
2016-12-27,51.65
2016-12-28,51.05
2016-12-29,51.8
2016-12-30,51.8
