Date,PATSPINLTD
2016-01-01,12.2
2016-01-04,12.75
2016-01-05,13.35
2016-01-06,13.35
2016-01-07,12.7
2016-01-08,12.5
2016-01-11,12.15
2016-01-12,11.55
2016-01-13,11.0
2016-01-14,10.55
2016-01-15,10.05
2016-01-18,9.55
2016-01-19,9.15
2016-01-20,8.7
2016-01-21,8.9
2016-01-22,8.55
2016-01-25,8.95
2016-01-27,9.3
2016-01-28,9.75
2016-01-29,9.5
2016-02-01,9.85
2016-02-02,9.45
2016-02-03,9.0
2016-02-05,8.75
2016-02-08,8.7
2016-02-09,8.65
2016-02-10,8.65
2016-02-11,8.25
2016-02-12,8.4
2016-02-15,8.1
2016-02-17,8.0
2016-02-18,8.1
2016-02-19,8.2
2016-02-24,8.0
2016-02-25,7.65
2016-02-26,7.75
2016-03-01,8.1
2016-03-02,8.0
2016-03-03,8.4
2016-03-04,8.1
2016-03-08,8.0
2016-03-09,8.0
2016-03-10,8.3
2016-03-11,8.05
2016-03-14,7.85
2016-03-15,7.75
2016-03-16,7.95
2016-03-17,8.25
2016-03-18,8.0
2016-03-21,7.8
2016-03-22,8.1
2016-03-23,7.75
2016-03-28,7.65
2016-03-29,7.8
2016-03-30,7.9
2016-03-31,7.9
2016-04-01,8.4
2016-04-04,8.45
2016-04-05,8.7
2016-04-06,8.25
2016-04-07,8.3
2016-04-08,8.5
2016-04-11,8.35
2016-04-12,8.5
2016-04-13,8.8
2016-04-18,8.75
2016-04-20,9.05
2016-04-21,8.35
2016-04-22,8.5
2016-04-25,8.8
2016-04-26,8.65
2016-04-27,8.6
2016-04-28,8.4
2016-04-29,8.25
2016-05-02,8.0
2016-05-03,8.6
2016-05-04,8.05
2016-05-05,8.7
2016-05-06,8.65
2016-05-09,8.45
2016-05-10,8.5
2016-05-11,8.4
2016-05-12,8.05
2016-05-13,8.4
2016-05-16,8.8
2016-05-17,9.15
2016-05-18,9.15
2016-05-19,8.65
2016-05-20,9.0
2016-05-23,8.9
2016-05-24,9.15
2016-05-25,8.95
2016-05-26,9.3
2016-05-27,9.1
2016-05-30,9.4
2016-05-31,8.7
2016-06-01,8.6
2016-06-02,8.45
2016-06-03,8.6
2016-06-06,8.45
2016-06-07,8.0
2016-06-08,8.2
2016-06-09,8.2
2016-06-10,8.35
2016-06-13,8.15
2016-06-14,8.45
2016-06-15,8.45
2016-06-16,8.5
2016-06-17,8.9
2016-06-20,8.9
2016-06-21,9.35
2016-06-22,9.4
2016-06-23,9.1
2016-06-24,8.7
2016-06-27,8.7
2016-06-28,9.1
2016-06-29,8.8
2016-06-30,9.05
2016-07-01,8.95
2016-07-04,9.45
2016-07-05,9.75
2016-07-07,10.0
2016-07-08,10.75
2016-07-11,11.15
2016-07-12,11.4
2016-07-13,11.15
2016-07-14,11.0
2016-07-15,10.35
2016-07-18,10.35
2016-07-19,10.2
2016-07-20,11.15
2016-07-21,11.3
2016-07-22,11.45
2016-07-25,11.7
2016-07-26,11.4
2016-07-27,11.4
2016-07-28,11.4
2016-07-29,11.15
2016-08-01,11.0
2016-08-02,9.95
2016-08-03,9.5
2016-08-04,9.65
2016-08-05,9.6
2016-08-08,9.8
2016-08-09,9.7
2016-08-10,9.05
2016-08-11,9.3
2016-08-12,9.4
2016-08-17,8.8
2016-08-18,9.35
2016-08-19,9.45
2016-08-22,9.1
2016-08-23,9.05
2016-08-24,9.45
2016-08-25,9.4
2016-08-26,9.3
2016-08-29,8.85
2016-08-30,9.45
2016-08-31,8.85
2016-09-01,9.0
2016-09-02,9.0
2016-09-06,8.8
2016-09-07,9.05
2016-09-08,9.1
2016-09-09,9.2
2016-09-12,9.2
2016-09-14,9.0
2016-09-15,9.1
2016-09-16,9.35
2016-09-19,9.3
2016-09-20,9.05
2016-09-21,9.55
2016-09-22,9.1
2016-09-23,9.4
2016-09-26,9.4
2016-09-27,9.05
2016-09-28,9.1
2016-09-29,8.85
2016-09-30,9.2
2016-10-03,9.25
2016-10-04,9.2
2016-10-05,9.5
2016-10-06,9.6
2016-10-07,9.7
2016-10-10,9.8
2016-10-13,9.9
2016-10-14,9.7
2016-10-17,9.55
2016-10-18,9.85
2016-10-19,10.65
2016-10-20,10.95
2016-10-21,11.25
2016-10-24,11.6
2016-10-25,12.35
2016-10-26,11.85
2016-10-27,11.65
2016-10-28,11.2
2016-10-30,10.85
2016-11-01,11.4
2016-11-02,11.7
2016-11-03,11.25
2016-11-04,11.25
2016-11-07,11.05
2016-11-08,11.25
2016-11-09,10.55
2016-11-10,10.85
2016-11-11,10.1
2016-11-15,10.2
2016-11-16,9.8
2016-11-17,10.25
2016-11-18,9.95
2016-11-21,9.05
2016-11-22,9.4
2016-11-23,9.55
2016-11-24,9.5
2016-11-25,10.2
2016-11-28,9.85
2016-11-29,9.9
2016-11-30,10.2
2016-12-01,9.95
2016-12-02,9.95
2016-12-05,9.95
2016-12-06,9.9
2016-12-07,10.4
2016-12-08,10.2
2016-12-09,10.0
2016-12-13,10.25
2016-12-14,10.0
2016-12-15,10.0
2016-12-16,10.15
2016-12-19,10.3
2016-12-20,9.9
2016-12-21,10.05
2016-12-22,10.0
2016-12-23,10.35
2016-12-26,9.5
2016-12-27,10.35
2016-12-28,9.9
2016-12-29,9.85
2016-12-30,10.2
