Date,OIL
2016-01-01,389.05
2016-01-04,398.95
2016-01-05,402.3
2016-01-06,399.75
2016-01-07,388.4
2016-01-08,393.85
2016-01-11,376.25
2016-01-12,374.4
2016-01-13,362.8
2016-01-14,358.05
2016-01-15,355.15
2016-01-18,347.0
2016-01-19,343.15
2016-01-20,339.85
2016-01-21,333.7
2016-01-22,344.0
2016-01-25,346.05
2016-01-27,347.05
2016-01-28,348.25
2016-01-29,351.55
2016-02-01,356.05
2016-02-02,347.4
2016-02-03,339.9
2016-02-04,341.55
2016-02-05,341.5
2016-02-08,335.85
2016-02-09,339.1
2016-02-10,331.65
2016-02-11,326.75
2016-02-12,315.75
2016-02-15,323.0
2016-02-16,318.5
2016-02-17,315.65
2016-02-18,323.45
2016-02-19,321.6
2016-02-22,320.4
2016-02-23,319.45
2016-02-24,318.4
2016-02-25,317.8
2016-02-26,318.9
2016-02-29,309.25
2016-03-01,301.45
2016-03-02,306.6
2016-03-03,308.75
2016-03-04,309.0
2016-03-08,311.3
2016-03-09,309.75
2016-03-10,309.6
2016-03-11,310.9
2016-03-14,309.95
2016-03-15,308.15
2016-03-16,303.35
2016-03-17,306.25
2016-03-18,313.35
2016-03-21,317.65
2016-03-22,317.4
2016-03-23,317.1
2016-03-28,315.05
2016-03-29,312.55
2016-03-30,315.1
2016-03-31,313.0
2016-04-01,316.3
2016-04-04,314.75
2016-04-05,313.7
2016-04-06,318.7
2016-04-07,318.05
2016-04-08,317.15
2016-04-11,317.5
2016-04-12,318.05
2016-04-13,319.65
2016-04-18,313.45
2016-04-20,313.9
2016-04-21,317.05
2016-04-22,317.0
2016-04-25,316.0
2016-04-26,318.9
2016-04-27,327.9
2016-04-28,330.8
2016-04-29,332.05
2016-05-02,335.3
2016-05-03,337.6
2016-05-04,328.4
2016-05-05,320.4
2016-05-06,328.6
2016-05-09,331.95
2016-05-10,326.35
2016-05-11,327.05
2016-05-12,324.95
2016-05-13,328.6
2016-05-16,329.65
2016-05-17,341.2
2016-05-18,345.0
2016-05-19,341.0
2016-05-20,339.15
2016-05-23,339.55
2016-05-24,341.6
2016-05-25,342.65
2016-05-26,347.7
2016-05-27,348.7
2016-05-30,349.65
2016-05-31,350.0
2016-06-01,352.35
2016-06-02,352.65
2016-06-03,351.15
2016-06-06,349.1
2016-06-07,352.0
2016-06-08,351.3
2016-06-09,358.65
2016-06-10,357.95
2016-06-13,350.0
2016-06-14,350.0
2016-06-15,349.6
2016-06-16,351.6
2016-06-17,349.85
2016-06-20,352.3
2016-06-21,356.85
2016-06-22,357.9
2016-06-23,359.25
2016-06-24,348.25
2016-06-27,348.45
2016-06-28,346.05
2016-06-29,351.6
2016-06-30,352.2
2016-07-01,363.55
2016-07-04,372.6
2016-07-05,374.3
2016-07-07,368.35
2016-07-08,360.65
2016-07-11,364.35
2016-07-12,365.45
2016-07-13,371.5
2016-07-14,368.5
2016-07-15,374.45
2016-07-18,362.7
2016-07-19,369.75
2016-07-20,372.6
2016-07-21,374.8
2016-07-22,374.95
2016-07-25,374.95
2016-07-26,372.45
2016-07-27,372.95
2016-07-28,370.3
2016-07-29,368.55
2016-08-01,369.75
2016-08-02,370.65
2016-08-03,366.65
2016-08-04,368.15
2016-08-05,374.95
2016-08-08,373.9
2016-08-09,371.4
2016-08-10,364.0
2016-08-11,365.85
2016-08-12,368.9
2016-08-16,368.8
2016-08-17,369.95
2016-08-18,374.5
2016-08-19,374.95
2016-08-22,373.85
2016-08-23,371.75
2016-08-24,386.3
2016-08-25,383.75
2016-08-26,384.7
2016-08-29,384.25
2016-08-30,385.75
2016-08-31,384.5
2016-09-01,384.35
2016-09-02,385.8
2016-09-06,387.55
2016-09-07,395.9
2016-09-08,396.7
2016-09-09,400.6
2016-09-12,395.95
2016-09-14,396.75
2016-09-15,391.95
2016-09-16,403.2
2016-09-19,401.6
2016-09-20,404.9
2016-09-21,404.65
2016-09-22,406.8
2016-09-23,403.75
2016-09-26,403.7
2016-09-27,407.3
2016-09-28,402.4
2016-09-29,398.5
2016-09-30,400.1
2016-10-03,414.85
2016-10-04,415.0
2016-10-05,410.6
2016-10-06,412.1
2016-10-07,415.35
2016-10-10,412.6
2016-10-13,414.75
2016-10-14,417.9
2016-10-17,414.3
2016-10-18,409.7
2016-10-19,413.85
2016-10-20,414.25
2016-10-21,414.4
2016-10-24,417.25
2016-10-25,414.9
2016-10-26,411.95
2016-10-27,412.4
2016-10-28,416.0
2016-10-30,417.3
2016-11-01,418.0
2016-11-02,410.15
2016-11-03,408.3
2016-11-04,402.6
2016-11-07,407.55
2016-11-08,409.6
2016-11-09,403.4
2016-11-10,410.95
2016-11-11,407.5
2016-11-15,404.9
2016-11-16,410.15
2016-11-17,409.75
2016-11-18,418.55
2016-11-21,417.25
2016-11-22,425.85
2016-11-23,427.2
2016-11-24,439.35
2016-11-25,436.85
2016-11-28,428.25
2016-11-29,415.0
2016-11-30,419.35
2016-12-01,428.15
2016-12-02,426.55
2016-12-05,436.7
2016-12-06,436.9
2016-12-07,436.75
2016-12-08,440.85
2016-12-09,442.65
2016-12-12,443.5
2016-12-13,444.1
2016-12-14,446.85
2016-12-15,439.65
2016-12-16,440.05
2016-12-19,441.35
2016-12-20,437.25
2016-12-21,439.8
2016-12-22,438.75
2016-12-23,437.05
2016-12-26,430.35
2016-12-27,436.1
2016-12-28,437.05
2016-12-29,444.15
2016-12-30,452.1
