Date,ESABINDIA
2016-01-01,652.0
2016-01-04,665.65
2016-01-05,658.0
2016-01-06,641.0
2016-01-07,641.95
2016-01-08,641.15
2016-01-11,647.7
2016-01-12,633.0
2016-01-13,632.4
2016-01-14,612.9
2016-01-15,600.6
2016-01-18,535.8
2016-01-19,555.1
2016-01-20,545.2
2016-01-21,545.85
2016-01-22,555.0
2016-01-25,540.85
2016-01-27,535.95
2016-01-28,534.2
2016-01-29,538.2
2016-02-01,545.65
2016-02-02,540.3
2016-02-03,531.3
2016-02-04,529.45
2016-02-05,516.35
2016-02-08,525.5
2016-02-09,513.3
2016-02-10,506.95
2016-02-11,496.15
2016-02-12,458.55
2016-02-15,479.9
2016-02-16,453.05
2016-02-17,440.95
2016-02-18,462.5
2016-02-19,453.35
2016-02-22,464.25
2016-02-23,455.9
2016-02-24,449.65
2016-02-25,473.95
2016-02-26,475.65
2016-02-29,488.7
2016-03-01,514.6
2016-03-02,542.8
2016-03-03,555.65
2016-03-04,565.5
2016-03-08,571.15
2016-03-09,549.1
2016-03-10,538.25
2016-03-11,567.4
2016-03-14,574.85
2016-03-15,548.15
2016-03-16,557.1
2016-03-17,596.65
2016-03-18,618.7
2016-03-21,649.2
2016-03-22,665.45
2016-03-23,650.0
2016-03-28,657.6
2016-03-29,627.2
2016-03-30,617.95
2016-03-31,638.15
2016-04-01,615.5
2016-04-04,594.45
2016-04-05,579.3
2016-04-06,576.05
2016-04-07,567.8
2016-04-08,558.1
2016-04-11,547.8
2016-04-12,550.45
2016-04-13,561.05
2016-04-18,558.5
2016-04-20,578.0
2016-04-21,560.0
2016-04-22,565.0
2016-04-25,559.15
2016-04-26,594.25
2016-04-27,589.95
2016-04-28,602.85
2016-04-29,597.05
2016-05-02,582.55
2016-05-03,590.6
2016-05-04,566.0
2016-05-05,563.45
2016-05-06,569.45
2016-05-09,559.05
2016-05-10,559.15
2016-05-11,563.75
2016-05-12,562.85
2016-05-13,560.95
2016-05-16,555.6
2016-05-17,560.0
2016-05-18,559.9
2016-05-19,564.5
2016-05-20,586.7
2016-05-23,559.85
2016-05-24,555.6
2016-05-25,561.1
2016-05-26,563.05
2016-05-27,551.1
2016-05-30,563.2
2016-05-31,576.5
2016-06-01,578.4
2016-06-02,581.9
2016-06-03,576.55
2016-06-06,570.7
2016-06-07,563.45
2016-06-08,571.75
2016-06-09,569.6
2016-06-10,581.1
2016-06-13,570.55
2016-06-14,565.3
2016-06-15,585.55
2016-06-16,574.2
2016-06-17,563.6
2016-06-20,557.35
2016-06-21,561.2
2016-06-22,554.95
2016-06-23,552.35
2016-06-24,560.7
2016-06-27,565.85
2016-06-28,602.0
2016-06-29,638.3
2016-06-30,672.75
2016-07-01,662.6
2016-07-04,651.6
2016-07-05,640.1
2016-07-07,642.8
2016-07-08,621.4
2016-07-11,660.95
2016-07-12,657.75
2016-07-13,629.7
2016-07-14,627.3
2016-07-15,620.3
2016-07-18,607.45
2016-07-19,597.05
2016-07-20,597.35
2016-07-21,602.0
2016-07-22,602.9
2016-07-25,597.35
2016-07-26,593.1
2016-07-27,593.95
2016-07-28,626.5
2016-07-29,630.85
2016-08-01,605.9
2016-08-02,603.05
2016-08-03,607.6
2016-08-04,588.6
2016-08-05,610.45
2016-08-08,595.4
2016-08-09,590.2
2016-08-10,580.25
2016-08-11,582.95
2016-08-12,576.9
2016-08-16,589.05
2016-08-17,597.15
2016-08-18,574.55
2016-08-19,583.6
2016-08-22,582.25
2016-08-23,575.25
2016-08-24,584.35
2016-08-25,589.5
2016-08-26,578.3
2016-08-29,580.5
2016-08-30,580.1
2016-08-31,587.35
2016-09-01,580.25
2016-09-02,575.95
2016-09-06,572.65
2016-09-07,581.45
2016-09-08,585.85
2016-09-09,574.45
2016-09-12,569.75
2016-09-14,575.0
2016-09-15,564.35
2016-09-16,571.25
2016-09-19,579.8
2016-09-20,574.9
2016-09-21,580.0
2016-09-22,585.15
2016-09-23,594.1
2016-09-26,596.7
2016-09-27,589.95
2016-09-28,607.45
2016-09-29,605.55
2016-09-30,619.65
2016-10-03,608.55
2016-10-04,601.05
2016-10-05,600.0
2016-10-06,592.75
2016-10-07,586.65
2016-10-10,584.85
2016-10-13,581.3
2016-10-14,569.75
2016-10-17,576.65
2016-10-18,575.15
2016-10-19,570.4
2016-10-20,576.25
2016-10-21,579.45
2016-10-24,581.8
2016-10-25,580.9
2016-10-26,587.65
2016-10-27,583.65
2016-10-28,586.75
2016-10-30,592.95
2016-11-01,580.1
2016-11-02,598.25
2016-11-03,611.25
2016-11-04,611.25
2016-11-07,617.25
2016-11-08,598.55
2016-11-09,595.6
2016-11-10,602.3
2016-11-11,579.45
2016-11-15,550.95
2016-11-16,569.45
2016-11-17,561.3
2016-11-18,573.85
2016-11-21,554.5
2016-11-22,550.25
2016-11-23,554.85
2016-11-24,555.65
2016-11-25,571.45
2016-11-28,573.75
2016-11-29,579.95
2016-11-30,577.4
2016-12-01,573.5
2016-12-02,571.55
2016-12-05,563.75
2016-12-06,568.3
2016-12-07,558.6
2016-12-08,566.1
2016-12-09,567.45
2016-12-12,566.0
2016-12-13,573.25
2016-12-14,566.9
2016-12-15,569.75
2016-12-16,561.45
2016-12-19,546.2
2016-12-20,551.1
2016-12-21,552.0
2016-12-22,551.85
2016-12-23,591.35
2016-12-26,565.8
2016-12-27,562.95
2016-12-28,567.8
2016-12-29,581.95
2016-12-30,577.5
