Date,SAMBHAAV
2016-01-01,9.05
2016-01-04,8.8
2016-01-05,9.05
2016-01-06,8.7
2016-01-07,8.85
2016-01-08,8.8
2016-01-11,8.9
2016-01-12,8.5
2016-01-13,8.1
2016-01-14,8.0
2016-01-15,7.6
2016-01-19,7.25
2016-01-21,6.9
2016-01-22,6.65
2016-01-25,6.7
2016-01-27,6.4
2016-01-28,6.1
2016-01-29,6.0
2016-02-01,6.25
2016-02-02,5.95
2016-02-03,5.75
2016-02-04,5.5
2016-02-05,5.75
2016-02-08,6.0
2016-02-09,6.15
2016-02-10,5.85
2016-02-11,5.6
2016-02-12,5.75
2016-02-15,5.95
2016-02-16,5.7
2016-02-17,5.95
2016-02-18,5.9
2016-02-19,5.65
2016-02-22,5.6
2016-02-23,5.35
2016-02-24,5.1
2016-02-25,5.1
2016-02-26,4.85
2016-02-29,5.05
2016-03-01,5.0
2016-03-02,5.25
2016-03-03,5.2
2016-03-04,4.95
2016-03-08,5.1
2016-03-09,4.9
2016-03-10,5.0
2016-03-11,5.2
2016-03-14,5.05
2016-03-15,4.9
2016-03-16,4.9
2016-03-17,4.75
2016-03-18,4.75
2016-03-21,4.85
2016-03-22,4.75
2016-03-23,4.75
2016-03-28,4.55
2016-03-29,4.75
2016-03-30,4.95
2016-03-31,4.75
2016-04-01,4.6
2016-04-04,4.7
2016-04-05,4.65
2016-04-06,4.65
2016-04-07,4.85
2016-04-08,5.0
2016-04-11,4.75
2016-04-12,4.85
2016-04-13,4.9
2016-04-18,4.8
2016-04-20,4.9
2016-04-21,4.55
2016-04-22,4.8
2016-04-25,4.7
2016-04-26,4.7
2016-04-27,4.6
2016-04-28,4.7
2016-04-29,4.65
2016-05-02,4.5
2016-05-03,4.55
2016-05-04,4.5
2016-05-05,4.65
2016-05-06,4.45
2016-05-09,4.3
2016-05-10,4.3
2016-05-11,4.45
2016-05-12,4.65
2016-05-13,4.5
2016-05-16,4.1
2016-05-17,4.25
2016-05-18,4.2
2016-05-19,4.4
2016-05-20,4.4
2016-05-23,4.3
2016-05-24,4.15
2016-05-25,4.2
2016-05-26,4.25
2016-05-27,4.05
2016-05-30,4.05
2016-05-31,4.25
2016-06-01,4.25
2016-06-02,4.55
2016-06-03,4.35
2016-06-06,4.6
2016-06-07,4.55
2016-06-08,4.4
2016-06-09,4.45
2016-06-10,4.5
2016-06-13,4.5
2016-06-14,4.5
2016-06-15,4.25
2016-06-16,4.35
2016-06-17,4.2
2016-06-20,4.0
2016-06-21,4.2
2016-06-22,3.95
2016-06-23,4.05
2016-06-24,4.15
2016-06-27,4.2
2016-06-28,4.3
2016-06-29,4.35
2016-06-30,4.15
2016-07-01,4.1
2016-07-04,4.05
2016-07-05,4.2
2016-07-07,4.15
2016-07-08,4.95
2016-07-11,5.9
2016-07-12,6.45
2016-07-13,6.35
2016-07-14,6.7
2016-07-15,6.4
2016-07-18,6.3
2016-07-19,6.15
2016-07-20,6.1
2016-07-21,5.7
2016-07-22,5.75
2016-07-25,5.9
2016-07-26,5.95
2016-07-27,5.75
2016-07-28,5.65
2016-07-29,5.45
2016-08-01,5.3
2016-08-02,5.2
2016-08-03,5.65
2016-08-04,5.3
2016-08-05,5.2
2016-08-08,5.3
2016-08-09,5.25
2016-08-10,5.25
2016-08-11,5.35
2016-08-12,6.2
2016-08-16,5.75
2016-08-17,5.65
2016-08-18,5.6
2016-08-19,5.65
2016-08-22,5.65
2016-08-23,5.8
2016-08-24,5.75
2016-08-25,5.8
2016-08-26,5.95
2016-08-29,5.8
2016-08-30,5.7
2016-08-31,5.6
2016-09-01,6.45
2016-09-02,7.0
2016-09-06,7.6
2016-09-07,7.3
2016-09-08,7.45
2016-09-09,7.35
2016-09-12,6.8
2016-09-14,6.9
2016-09-15,6.9
2016-09-16,7.05
2016-09-19,7.1
2016-09-20,6.9
2016-09-21,6.75
2016-09-22,6.7
2016-09-23,6.65
2016-09-26,6.6
2016-09-27,6.55
2016-09-28,6.5
2016-09-29,6.15
2016-09-30,6.35
2016-10-03,6.4
2016-10-04,6.45
2016-10-05,7.1
2016-10-06,6.95
2016-10-07,6.8
2016-10-10,6.75
2016-10-13,6.5
2016-10-14,6.85
2016-10-17,6.5
2016-10-18,6.55
2016-10-19,6.5
2016-10-20,6.6
2016-10-21,6.7
2016-10-24,6.7
2016-10-25,7.3
2016-10-26,6.95
2016-10-27,6.95
2016-10-28,7.15
2016-10-30,6.95
2016-11-01,7.25
2016-11-02,6.85
2016-11-03,7.5
2016-11-04,7.4
2016-11-07,7.75
2016-11-08,7.35
2016-11-09,6.85
2016-11-10,7.4
2016-11-11,7.05
2016-11-15,6.6
2016-11-16,6.75
2016-11-17,6.15
2016-11-18,6.5
2016-11-21,5.8
2016-11-22,5.8
2016-11-23,5.7
2016-11-24,5.95
2016-11-25,6.1
2016-11-28,6.0
2016-11-29,6.1
2016-11-30,6.1
2016-12-01,5.9
2016-12-02,5.85
2016-12-05,5.95
2016-12-06,6.05
2016-12-07,6.05
2016-12-08,6.05
2016-12-09,5.8
2016-12-12,5.75
2016-12-13,5.75
2016-12-14,5.6
2016-12-15,5.65
2016-12-16,5.6
2016-12-19,5.7
2016-12-20,5.55
2016-12-21,5.65
2016-12-22,5.6
2016-12-23,5.65
2016-12-26,6.0
2016-12-27,5.5
2016-12-28,5.3
2016-12-29,5.3
2016-12-30,5.5
