Date,MCX
2016-01-01,927.05
2016-01-04,914.8
2016-01-05,898.0
2016-01-06,905.75
2016-01-07,889.45
2016-01-08,899.9
2016-01-11,900.65
2016-01-12,894.3
2016-01-13,870.55
2016-01-14,862.85
2016-01-15,833.35
2016-01-18,814.45
2016-01-19,824.85
2016-01-20,825.9
2016-01-21,820.4
2016-01-22,830.9
2016-01-25,838.75
2016-01-27,844.25
2016-01-28,838.7
2016-01-29,854.6
2016-02-01,871.25
2016-02-02,843.5
2016-02-03,813.4
2016-02-04,814.7
2016-02-05,814.75
2016-02-08,816.1
2016-02-09,806.05
2016-02-10,802.45
2016-02-11,764.1
2016-02-12,753.55
2016-02-15,758.25
2016-02-16,740.25
2016-02-17,747.6
2016-02-18,740.5
2016-02-19,747.25
2016-02-22,793.8
2016-02-23,789.35
2016-02-24,780.05
2016-02-25,771.8
2016-02-26,770.35
2016-02-29,813.7
2016-03-01,804.55
2016-03-02,820.6
2016-03-03,819.65
2016-03-04,839.95
2016-03-08,851.65
2016-03-09,829.25
2016-03-10,851.7
2016-03-11,842.65
2016-03-14,860.55
2016-03-15,846.2
2016-03-16,829.95
2016-03-17,820.8
2016-03-18,816.85
2016-03-21,844.4
2016-03-22,847.6
2016-03-23,850.2
2016-03-28,832.75
2016-03-29,823.1
2016-03-30,833.35
2016-03-31,836.65
2016-04-01,834.0
2016-04-04,831.65
2016-04-05,822.35
2016-04-06,831.1
2016-04-07,825.4
2016-04-08,815.8
2016-04-11,819.05
2016-04-12,818.15
2016-04-13,835.4
2016-04-18,830.45
2016-04-20,837.35
2016-04-21,850.35
2016-04-22,870.05
2016-04-25,882.8
2016-04-26,883.35
2016-04-27,891.9
2016-04-28,878.65
2016-04-29,879.55
2016-05-02,909.35
2016-05-03,905.95
2016-05-04,885.45
2016-05-05,916.95
2016-05-06,888.7
2016-05-09,889.25
2016-05-10,880.95
2016-05-11,879.0
2016-05-12,890.05
2016-05-13,874.95
2016-05-16,869.65
2016-05-17,870.4
2016-05-18,869.15
2016-05-19,854.9
2016-05-20,857.05
2016-05-23,920.45
2016-05-24,912.6
2016-05-25,921.8
2016-05-26,932.65
2016-05-27,963.85
2016-05-30,955.35
2016-05-31,958.3
2016-06-01,998.65
2016-06-02,984.2
2016-06-03,972.9
2016-06-06,983.4
2016-06-07,983.75
2016-06-08,984.2
2016-06-09,993.4
2016-06-10,978.8
2016-06-13,967.95
2016-06-14,992.3
2016-06-15,1000.65
2016-06-16,993.25
2016-06-17,999.4
2016-06-20,982.6
2016-06-21,985.45
2016-06-22,974.05
2016-06-23,980.45
2016-06-24,959.95
2016-06-27,960.85
2016-06-28,999.5
2016-06-29,999.2
2016-06-30,1000.8
2016-07-01,1008.95
2016-07-04,1023.9
2016-07-05,1009.15
2016-07-07,1041.85
2016-07-08,1065.1
2016-07-11,1074.05
2016-07-12,1085.5
2016-07-13,1062.65
2016-07-14,1048.25
2016-07-15,1018.65
2016-07-18,1013.0
2016-07-19,1003.4
2016-07-20,1038.25
2016-07-21,1022.35
2016-07-22,1082.0
2016-07-25,1056.5
2016-07-26,1031.15
2016-07-27,1055.75
2016-07-28,1070.0
2016-07-29,1054.05
2016-08-01,1046.8
2016-08-02,1022.75
2016-08-03,1021.7
2016-08-04,1031.4
2016-08-05,1019.9
2016-08-08,1015.85
2016-08-09,1002.25
2016-08-10,975.25
2016-08-11,996.95
2016-08-12,1003.1
2016-08-16,1001.7
2016-08-17,989.45
2016-08-18,993.45
2016-08-19,992.1
2016-08-22,991.05
2016-08-23,999.15
2016-08-24,986.15
2016-08-25,990.3
2016-08-26,986.2
2016-08-29,984.3
2016-08-30,988.95
2016-08-31,988.5
2016-09-01,992.55
2016-09-02,998.95
2016-09-06,996.4
