Date,TI
2016-01-01,22.75
2016-01-04,22.85
2016-01-05,23.1
2016-01-06,23.4
2016-01-07,22.25
2016-01-08,22.45
2016-01-11,22.3
2016-01-12,22.1
2016-01-13,20.9
2016-01-14,20.15
2016-01-15,18.85
2016-01-18,17.2
2016-01-19,17.95
2016-01-20,17.85
2016-01-21,17.95
2016-01-22,18.35
2016-01-25,18.85
2016-01-27,18.75
2016-01-28,19.85
2016-01-29,21.1
2016-02-01,19.8
2016-02-02,19.65
2016-02-03,18.7
2016-02-04,18.1
2016-02-05,18.3
2016-02-08,18.4
2016-02-09,18.0
2016-02-10,17.15
2016-02-11,16.85
2016-02-12,16.95
2016-02-15,17.85
2016-02-16,17.15
2016-02-17,16.75
2016-02-18,16.6
2016-02-19,16.7
2016-02-22,16.45
2016-02-23,16.35
2016-02-24,16.25
2016-02-25,16.05
2016-02-26,15.75
2016-02-29,15.45
2016-03-01,16.2
2016-03-02,16.9
2016-03-03,17.15
2016-03-04,17.0
2016-03-08,16.6
2016-03-09,16.85
2016-03-10,16.85
2016-03-11,16.85
2016-03-14,16.55
2016-03-15,16.65
2016-03-16,16.4
2016-03-17,16.4
2016-03-18,16.45
2016-03-21,16.2
2016-03-22,16.2
2016-03-23,16.1
2016-03-28,15.75
2016-03-29,16.0
2016-03-30,15.75
2016-03-31,16.05
2016-04-01,17.55
2016-04-04,17.4
2016-04-05,19.05
2016-04-06,18.8
2016-04-07,18.6
2016-04-08,18.65
2016-04-11,17.9
2016-04-12,17.8
2016-04-13,17.9
2016-04-18,18.05
2016-04-20,17.4
2016-04-21,17.75
2016-04-22,17.7
2016-04-25,17.55
2016-04-26,17.65
2016-04-27,17.4
2016-04-28,17.4
2016-04-29,17.15
2016-05-02,17.15
2016-05-03,17.2
2016-05-04,17.05
2016-05-05,16.95
2016-05-06,16.7
2016-05-09,16.75
2016-05-10,17.05
2016-05-11,16.95
2016-05-12,16.9
2016-05-13,16.7
2016-05-16,16.55
2016-05-17,16.4
2016-05-18,16.25
2016-05-19,16.15
2016-05-20,16.1
2016-05-23,16.0
2016-05-24,16.25
2016-05-25,16.05
2016-05-26,16.0
2016-05-27,15.9
2016-05-30,15.85
2016-05-31,15.95
2016-06-01,15.95
2016-06-02,15.95
2016-06-03,15.9
2016-06-06,15.8
2016-06-07,16.35
2016-06-08,16.15
2016-06-09,16.15
2016-06-10,15.8
2016-06-13,15.85
2016-06-14,16.0
2016-06-15,16.2
2016-06-16,16.15
2016-06-17,16.0
2016-06-20,16.05
2016-06-21,16.2
2016-06-22,16.4
2016-06-23,17.75
2016-06-24,17.6
2016-06-27,18.0
2016-06-28,18.05
2016-06-29,17.95
2016-06-30,18.0
2016-07-01,17.9
2016-07-04,17.75
2016-07-05,18.4
2016-07-07,18.2
2016-07-08,18.3
2016-07-11,18.15
2016-07-12,18.2
2016-07-13,18.0
2016-07-14,17.9
2016-07-15,17.4
2016-07-18,16.95
2016-07-19,16.8
2016-07-20,16.65
2016-07-21,16.55
2016-07-22,16.55
2016-07-25,16.7
2016-07-26,16.35
2016-07-27,16.5
2016-07-28,16.5
2016-07-29,16.45
2016-08-01,17.4
2016-08-02,16.6
2016-08-03,16.45
2016-08-04,16.25
2016-08-05,16.25
2016-08-08,16.1
2016-08-09,16.05
2016-08-10,16.05
2016-08-11,16.25
2016-08-12,16.15
2016-08-16,15.7
2016-08-17,16.05
2016-08-18,16.15
2016-08-19,16.1
2016-08-22,16.05
2016-08-23,16.0
2016-08-24,15.95
2016-08-25,16.05
2016-08-26,15.85
2016-08-29,15.75
2016-08-30,15.85
2016-08-31,15.65
2016-09-01,15.5
2016-09-02,15.3
2016-09-06,15.25
2016-09-07,14.85
2016-09-08,15.1
2016-09-09,15.75
2016-09-12,15.25
2016-09-14,15.1
2016-09-15,15.1
2016-09-16,15.3
2016-09-19,15.45
2016-09-20,16.55
2016-09-21,16.3
2016-09-22,16.85
2016-09-23,16.65
2016-09-26,16.3
2016-09-27,17.5
2016-09-28,17.85
2016-09-29,16.5
2016-09-30,17.8
2016-10-03,17.5
2016-10-04,17.25
2016-10-05,17.2
2016-10-06,16.7
2016-10-07,16.55
2016-10-10,16.5
2016-10-13,16.1
2016-10-14,17.0
2016-10-17,16.95
2016-10-18,17.05
2016-10-19,17.25
2016-10-20,17.15
2016-10-21,16.9
2016-10-24,16.75
2016-10-25,16.7
2016-10-26,16.7
2016-10-27,16.35
2016-10-28,16.15
2016-10-30,16.25
2016-11-01,16.25
2016-11-02,15.95
2016-11-03,15.8
2016-11-04,15.3
2016-11-07,15.25
2016-11-08,15.3
2016-11-09,14.7
2016-11-10,14.65
2016-11-11,14.1
2016-11-15,14.6
2016-11-16,14.85
2016-11-17,14.6
2016-11-18,14.15
2016-11-21,14.05
2016-11-22,14.0
2016-11-23,14.15
2016-11-24,14.05
2016-11-25,14.25
2016-11-28,15.2
2016-11-29,14.95
2016-11-30,15.2
2016-12-01,15.0
2016-12-02,14.95
2016-12-05,15.05
2016-12-06,15.0
2016-12-07,15.05
2016-12-08,15.2
2016-12-09,15.0
2016-12-12,15.0
2016-12-13,15.2
2016-12-14,16.05
2016-12-15,16.1
2016-12-16,15.55
2016-12-19,15.3
2016-12-20,15.15
2016-12-21,15.1
2016-12-22,14.95
2016-12-23,14.85
2016-12-26,14.7
2016-12-27,14.85
2016-12-28,14.8
2016-12-29,14.95
2016-12-30,14.9
