Date,NAVKARCORP
2016-01-01,211.45
2016-01-04,207.95
2016-01-05,209.7
2016-01-06,206.95
2016-01-07,201.15
2016-01-08,204.25
2016-01-11,202.4
2016-01-12,199.95
2016-01-13,201.4
2016-01-14,200.6
2016-01-15,200.45
2016-01-18,183.95
2016-01-19,191.85
2016-01-20,192.45
2016-01-21,195.7
2016-01-22,196.5
2016-01-25,196.6
2016-01-27,195.15
2016-01-28,195.35
2016-01-29,199.75
2016-02-01,196.85
2016-02-02,197.45
2016-02-03,197.2
2016-02-04,187.85
2016-02-05,187.0
2016-02-08,190.55
2016-02-09,185.05
2016-02-10,184.9
2016-02-11,173.7
2016-02-12,167.8
2016-02-15,167.6
2016-02-16,161.8
2016-02-17,161.95
2016-02-18,160.15
2016-02-19,160.0
2016-02-22,160.0
2016-02-23,155.5
2016-02-24,154.75
2016-02-25,158.0
2016-02-26,155.85
2016-02-29,151.8
2016-03-01,153.1
2016-03-02,156.7
2016-03-03,154.65
2016-03-04,154.45
2016-03-08,164.75
2016-03-09,164.5
2016-03-10,163.35
2016-03-11,162.45
2016-03-14,164.35
2016-03-15,166.25
2016-03-16,167.65
2016-03-17,170.0
2016-03-18,165.9
2016-03-21,162.15
2016-03-22,162.7
2016-03-23,164.2
2016-03-28,171.95
2016-03-29,177.6
2016-03-30,176.65
2016-03-31,182.0
2016-04-01,181.05
2016-04-04,184.3
2016-04-05,174.45
2016-04-06,176.05
2016-04-07,178.4
2016-04-08,179.0
2016-04-11,182.95
2016-04-12,181.75
2016-04-13,188.3
2016-04-18,195.05
2016-04-20,194.25
2016-04-21,188.7
2016-04-22,187.65
2016-04-25,186.9
2016-04-26,188.15
2016-04-27,184.65
2016-04-28,182.35
2016-04-29,181.3
2016-05-02,185.8
2016-05-03,181.7
2016-05-04,178.4
2016-05-05,174.4
2016-05-06,175.6
2016-05-09,177.8
2016-05-10,176.75
2016-05-11,175.0
2016-05-12,176.0
2016-05-13,183.75
2016-05-16,183.25
2016-05-17,183.45
2016-05-18,184.6
2016-05-19,183.25
2016-05-20,184.1
2016-05-23,186.9
2016-05-24,185.0
2016-05-25,185.0
2016-05-26,188.55
2016-05-27,190.7
2016-05-30,188.25
2016-05-31,200.1
2016-06-01,195.55
2016-06-02,193.5
2016-06-03,199.65
2016-06-06,197.45
2016-06-07,195.4
2016-06-08,199.0
2016-06-09,196.95
2016-06-10,198.8
2016-06-13,195.65
2016-06-14,195.0
2016-06-15,199.0
2016-06-16,196.35
2016-06-17,197.9
2016-06-20,194.4
2016-06-21,195.5
2016-06-22,203.1
2016-06-23,204.7
2016-06-24,203.1
2016-06-27,203.9
2016-06-28,218.8
2016-06-29,217.95
2016-06-30,215.5
2016-07-01,213.25
2016-07-04,213.75
2016-07-05,210.85
2016-07-07,212.95
2016-07-08,214.6
2016-07-11,214.6
2016-07-12,211.1
2016-07-13,207.65
2016-07-14,217.8
2016-07-15,211.9
2016-07-18,209.7
2016-07-19,208.0
2016-07-20,208.35
2016-07-21,211.55
2016-07-22,218.25
2016-07-25,213.15
2016-07-26,207.65
2016-07-27,209.3
2016-07-28,216.65
2016-07-29,214.05
2016-08-01,209.9
2016-08-02,211.55
2016-08-03,212.2
2016-08-04,204.6
2016-08-05,205.6
2016-08-08,205.85
2016-08-09,202.65
2016-08-10,193.85
2016-08-11,192.1
2016-08-12,201.75
2016-08-16,199.6
2016-08-17,193.05
2016-08-18,195.1
2016-08-19,195.35
2016-08-22,200.8
2016-08-23,200.25
2016-08-24,197.05
2016-08-25,196.55
2016-08-26,197.9
2016-08-29,199.2
2016-08-30,197.95
2016-08-31,196.85
2016-09-01,195.3
2016-09-02,192.0
2016-09-06,192.75
2016-09-07,190.9
2016-09-08,187.8
2016-09-09,190.15
2016-09-12,195.4
2016-09-14,199.6
2016-09-15,199.7
2016-09-16,199.7
2016-09-19,198.75
2016-09-20,195.55
2016-09-21,196.3
2016-09-22,193.95
2016-09-23,192.85
2016-09-26,194.85
2016-09-27,194.2
2016-09-28,188.8
2016-09-29,181.8
2016-09-30,186.05
2016-10-03,190.45
2016-10-04,192.7
2016-10-05,193.0
2016-10-06,193.65
2016-10-07,195.65
2016-10-10,194.25
2016-10-13,192.0
2016-10-14,194.8
2016-10-17,197.05
2016-10-18,199.15
2016-10-19,199.15
2016-10-20,200.15
2016-10-21,199.3
2016-10-24,199.85
2016-10-25,199.75
2016-10-26,196.4
2016-10-27,198.45
2016-10-28,199.35
2016-10-30,206.2
2016-11-01,202.3
2016-11-02,202.35
2016-11-03,201.95
2016-11-04,195.8
2016-11-07,198.1
2016-11-08,197.35
2016-11-09,189.35
2016-11-10,193.6
2016-11-11,185.2
2016-11-15,182.9
2016-11-16,182.1
2016-11-17,180.05
2016-11-18,179.3
2016-11-21,166.45
2016-11-22,172.0
2016-11-23,176.15
2016-11-24,173.2
2016-11-25,178.95
2016-11-28,175.6
2016-11-29,172.4
2016-11-30,175.0
2016-12-01,175.65
2016-12-02,177.2
2016-12-05,175.7
2016-12-06,176.1
2016-12-07,175.6
2016-12-08,176.8
2016-12-09,179.9
2016-12-12,177.35
2016-12-13,175.0
2016-12-14,174.8
2016-12-15,173.5
2016-12-16,174.2
2016-12-19,171.2
2016-12-20,170.3
2016-12-21,167.95
2016-12-22,163.8
2016-12-23,161.8
2016-12-26,160.5
2016-12-27,159.7
2016-12-28,157.4
2016-12-29,161.75
2016-12-30,165.05
