Date,ADANIPORTS
2016-01-01,267.55
2016-01-04,257.95
2016-01-05,255.7
2016-01-06,251.8
2016-01-07,245.0
2016-01-08,241.4
2016-01-11,234.05
2016-01-12,236.6
2016-01-13,230.2
2016-01-14,227.8
2016-01-15,218.25
2016-01-18,219.3
2016-01-19,232.85
2016-01-20,219.4
2016-01-21,221.3
2016-01-22,221.75
2016-01-25,218.4
2016-01-27,215.35
2016-01-28,210.85
2016-01-29,212.25
2016-02-01,221.1
2016-02-02,213.25
2016-02-03,210.2
2016-02-04,215.7
2016-02-05,211.1
2016-02-08,212.05
2016-02-09,210.4
2016-02-10,202.85
2016-02-11,186.85
2016-02-12,178.05
2016-02-15,191.15
2016-02-16,200.35
2016-02-17,212.5
2016-02-18,210.4
2016-02-19,209.4
2016-02-22,205.9
2016-02-23,204.2
2016-02-24,200.15
2016-02-25,198.45
2016-02-26,200.1
2016-02-29,196.7
2016-03-01,206.9
2016-03-02,218.8
2016-03-03,227.5
2016-03-04,225.15
2016-03-08,228.25
2016-03-09,226.0
2016-03-10,226.45
2016-03-11,231.2
2016-03-14,232.4
2016-03-15,228.25
2016-03-16,228.55
2016-03-17,235.7
2016-03-18,241.95
2016-03-21,243.85
2016-03-22,239.55
2016-03-23,238.3
2016-03-28,235.65
2016-03-29,237.85
2016-03-30,245.95
2016-03-31,247.7
2016-04-01,242.9
2016-04-04,242.55
2016-04-05,226.25
2016-04-06,224.35
2016-04-07,216.8
2016-04-08,219.25
2016-04-11,229.05
2016-04-12,233.6
2016-04-13,233.55
2016-04-18,231.3
2016-04-20,233.5
2016-04-21,229.35
2016-04-22,230.1
2016-04-25,231.8
2016-04-26,229.1
2016-04-27,241.25
2016-04-28,235.45
2016-04-29,238.2
2016-05-02,232.95
2016-05-03,235.5
2016-05-04,208.25
2016-05-05,198.0
2016-05-06,194.55
2016-05-09,196.75
2016-05-10,194.55
2016-05-11,193.0
2016-05-12,195.15
2016-05-13,188.55
2016-05-16,185.8
2016-05-17,183.25
2016-05-18,183.2
2016-05-19,171.55
2016-05-20,177.95
2016-05-23,181.1
2016-05-24,180.85
2016-05-25,182.85
2016-05-26,184.8
2016-05-27,191.7
2016-05-30,190.25
2016-05-31,192.15
2016-06-01,202.3
2016-06-02,205.2
2016-06-03,204.55
2016-06-06,203.7
2016-06-07,206.5
2016-06-08,203.4
2016-06-09,201.9
2016-06-10,202.75
2016-06-13,202.6
2016-06-14,208.6
2016-06-15,207.0
2016-06-16,208.5
2016-06-17,207.7
2016-06-20,206.8
2016-06-21,203.25
2016-06-22,207.35
2016-06-23,207.15
2016-06-24,201.9
2016-06-27,203.85
2016-06-28,202.9
2016-06-29,203.05
2016-06-30,206.85
2016-07-01,204.3
2016-07-04,213.25
2016-07-05,214.55
2016-07-07,210.05
2016-07-08,207.05
2016-07-11,217.45
2016-07-12,218.0
2016-07-13,217.3
2016-07-14,216.9
2016-07-15,220.5
2016-07-18,217.95
2016-07-19,220.6
2016-07-20,221.4
2016-07-21,223.2
2016-07-22,225.35
2016-07-25,226.15
2016-07-26,224.4
2016-07-27,228.7
2016-07-28,225.25
2016-07-29,232.4
2016-08-01,228.55
2016-08-02,224.65
2016-08-03,222.85
2016-08-04,227.9
2016-08-05,234.0
2016-08-08,240.65
2016-08-09,239.75
2016-08-10,258.45
2016-08-11,253.5
2016-08-12,258.25
2016-08-16,273.55
2016-08-17,267.65
2016-08-18,275.45
2016-08-19,273.05
2016-08-22,270.55
2016-08-23,272.5
2016-08-24,270.1
2016-08-25,261.75
2016-08-26,257.7
2016-08-29,262.6
2016-08-30,262.95
2016-08-31,262.95
2016-09-01,258.7
2016-09-02,268.2
2016-09-06,270.6
2016-09-07,272.25
2016-09-08,275.6
2016-09-09,272.2
2016-09-12,260.0
2016-09-14,264.7
2016-09-15,267.4
2016-09-16,271.15
2016-09-19,276.15
2016-09-20,270.1
2016-09-21,269.7
2016-09-22,275.35
2016-09-23,275.1
2016-09-26,270.4
2016-09-27,264.7
2016-09-28,271.0
2016-09-29,256.8
2016-09-30,256.75
2016-10-03,264.5
2016-10-04,268.7
2016-10-05,265.45
2016-10-06,264.9
2016-10-07,266.85
2016-10-10,264.0
2016-10-13,251.1
2016-10-14,254.35
2016-10-17,250.75
2016-10-18,267.0
2016-10-19,271.6
2016-10-20,285.25
2016-10-21,285.75
2016-10-24,285.65
2016-10-25,312.8
2016-10-26,305.1
2016-10-27,305.0
2016-10-28,307.0
2016-10-30,305.3
2016-11-01,305.15
2016-11-02,299.9
2016-11-03,288.2
2016-11-04,287.7
2016-11-07,293.5
2016-11-08,289.85
2016-11-09,282.4
2016-11-10,294.55
2016-11-11,276.75
2016-11-15,266.65
2016-11-16,265.25
2016-11-17,264.6
2016-11-18,261.9
2016-11-21,255.7
2016-11-22,260.8
2016-11-23,263.7
2016-11-24,257.7
2016-11-25,265.05
2016-11-28,272.75
2016-11-29,276.9
2016-11-30,277.9
2016-12-01,275.1
2016-12-02,265.9
2016-12-05,268.7
2016-12-06,271.9
2016-12-07,277.4
2016-12-08,287.1
2016-12-09,285.65
2016-12-12,281.35
2016-12-13,286.0
2016-12-14,283.85
2016-12-15,284.25
2016-12-16,280.25
2016-12-19,276.45
2016-12-20,272.4
2016-12-21,274.2
2016-12-22,263.55
2016-12-23,262.9
2016-12-26,260.0
2016-12-27,266.95
2016-12-28,268.5
2016-12-29,264.65
2016-12-30,268.45
