Date,MUKANDLTD
2016-01-01,48.8
2016-01-04,46.8
2016-01-05,48.45
2016-01-06,46.15
2016-01-07,45.9
2016-01-08,45.35
2016-01-11,46.05
2016-01-12,45.65
2016-01-13,43.5
2016-01-14,42.35
2016-01-15,39.95
2016-01-18,37.55
2016-01-19,37.75
2016-01-20,35.05
2016-01-21,35.25
2016-01-22,37.5
2016-01-25,38.4
2016-01-27,39.35
2016-01-28,38.25
2016-01-29,39.45
2016-02-01,38.95
2016-02-02,38.1
2016-02-03,36.05
2016-02-04,36.95
2016-02-05,38.15
2016-02-08,37.1
2016-02-09,37.65
2016-02-10,36.7
2016-02-11,34.05
2016-02-12,33.7
2016-02-15,33.5
2016-02-16,33.45
2016-02-17,31.2
2016-02-18,29.15
2016-02-19,29.0
2016-02-22,30.7
2016-02-23,29.5
2016-02-24,29.95
2016-02-25,30.0
2016-02-26,29.75
2016-02-29,29.35
2016-03-01,30.6
2016-03-02,31.75
2016-03-03,33.65
2016-03-04,32.6
2016-03-08,33.35
2016-03-09,31.85
2016-03-10,32.25
2016-03-11,31.95
2016-03-14,31.85
2016-03-15,32.05
2016-03-16,32.25
2016-03-17,32.5
2016-03-18,32.3
2016-03-21,33.05
2016-03-22,32.75
2016-03-23,33.6
2016-03-28,31.5
2016-03-29,31.2
2016-03-30,32.65
2016-03-31,31.9
2016-04-01,33.0
2016-04-04,33.85
2016-04-05,33.5
2016-04-06,34.0
2016-04-07,34.1
2016-04-08,35.65
2016-04-11,36.05
2016-04-12,34.8
2016-04-13,36.95
2016-04-18,36.45
2016-04-20,37.7
2016-04-21,37.15
2016-04-22,37.45
2016-04-25,36.1
2016-04-26,37.5
2016-04-27,36.9
2016-04-28,35.9
2016-04-29,35.05
2016-05-02,36.05
2016-05-03,36.4
2016-05-04,35.25
2016-05-05,35.0
2016-05-06,35.0
2016-05-09,35.9
2016-05-10,35.2
2016-05-11,35.1
2016-05-12,35.0
2016-05-13,34.7
2016-05-16,35.0
2016-05-17,34.65
2016-05-18,34.1
2016-05-19,34.55
2016-05-20,34.75
2016-05-23,37.9
2016-05-24,35.95
2016-05-25,37.85
2016-05-26,38.7
2016-05-27,37.55
2016-05-30,37.4
2016-05-31,36.7
2016-06-01,36.6
2016-06-02,36.45
2016-06-03,35.25
2016-06-06,35.1
2016-06-07,35.4
2016-06-08,40.3
2016-06-09,39.1
2016-06-10,39.15
2016-06-13,39.65
2016-06-14,40.15
2016-06-15,40.65
2016-06-16,40.0
2016-06-17,39.55
2016-06-20,41.05
2016-06-21,41.7
2016-06-22,40.1
2016-06-23,39.7
2016-06-24,38.65
2016-06-27,39.65
2016-06-28,40.1
2016-06-29,39.95
2016-06-30,41.0
2016-07-01,41.05
2016-07-04,41.7
2016-07-05,40.85
2016-07-07,42.25
2016-07-08,41.7
2016-07-11,41.15
2016-07-12,41.1
2016-07-13,45.8
2016-07-14,44.7
2016-07-15,44.9
2016-07-18,45.6
2016-07-19,45.55
2016-07-20,48.15
2016-07-21,46.7
2016-07-22,45.8
2016-07-25,46.75
2016-07-26,49.95
2016-07-27,50.5
2016-07-28,50.7
2016-07-29,49.5
2016-08-01,48.9
2016-08-02,46.55
2016-08-03,47.1
2016-08-04,48.0
2016-08-05,51.55
2016-08-08,49.55
2016-08-09,53.0
2016-08-10,50.75
2016-08-11,49.65
2016-08-12,51.65
2016-08-16,52.6
2016-08-17,52.05
2016-08-18,52.6
2016-08-19,58.2
2016-08-22,57.6
2016-08-23,54.15
2016-08-24,57.6
2016-08-25,56.45
2016-08-26,55.75
2016-08-29,55.2
2016-08-30,57.45
2016-08-31,55.75
2016-09-01,58.45
2016-09-02,63.2
2016-09-06,65.6
2016-09-07,66.05
2016-09-08,65.5
2016-09-09,67.55
2016-09-12,64.45
2016-09-14,64.1
2016-09-15,64.95
2016-09-16,64.7
2016-09-19,64.7
2016-09-20,63.8
2016-09-21,64.05
2016-09-22,64.55
2016-09-23,65.55
2016-09-26,63.55
2016-09-27,63.15
2016-09-28,63.3
2016-09-29,57.1
2016-09-30,59.1
2016-10-03,63.0
2016-10-04,66.4
2016-10-05,68.7
2016-10-06,66.65
2016-10-07,66.3
2016-10-10,67.6
2016-10-13,63.8
2016-10-14,64.05
2016-10-17,63.15
2016-10-18,64.75
2016-10-19,66.1
2016-10-20,67.5
2016-10-21,69.05
2016-10-24,70.4
2016-10-25,73.2
2016-10-26,71.5
2016-10-27,68.85
2016-10-28,68.05
2016-10-30,69.6
2016-11-01,68.55
2016-11-02,65.75
2016-11-03,65.7
2016-11-04,65.05
2016-11-07,64.55
2016-11-08,63.8
2016-11-09,59.75
2016-11-10,64.4
2016-11-11,60.3
2016-11-15,54.55
2016-11-16,53.0
2016-11-17,51.3
2016-11-18,51.4
2016-11-21,47.95
2016-11-22,47.25
2016-11-23,49.3
2016-11-24,52.15
2016-11-25,53.2
2016-11-28,53.8
2016-11-29,55.15
2016-11-30,55.8
2016-12-01,55.15
2016-12-02,54.05
2016-12-05,53.4
2016-12-06,53.75
2016-12-07,53.55
2016-12-08,55.85
2016-12-09,55.65
2016-12-12,53.55
2016-12-13,54.1
2016-12-14,53.1
2016-12-15,53.25
2016-12-16,52.2
2016-12-19,51.75
2016-12-20,51.05
2016-12-21,51.25
2016-12-22,49.6
2016-12-23,49.8
2016-12-26,49.0
2016-12-27,54.05
2016-12-28,63.35
2016-12-29,62.85
2016-12-30,62.6
