Date,AMJLAND
2016-01-01,50.05
2016-01-04,48.7
2016-01-05,48.95
2016-01-06,52.0
2016-01-07,49.4
2016-01-08,49.95
2016-01-11,53.7
2016-01-12,52.65
2016-01-13,49.0
2016-01-14,47.1
2016-01-15,44.0
2016-01-18,38.65
2016-01-19,40.15
2016-01-20,37.8
2016-01-21,39.05
2016-01-22,42.25
2016-01-25,43.15
2016-01-27,41.95
2016-01-28,41.7
2016-01-29,43.55
2016-02-01,43.65
2016-02-02,44.3
2016-02-03,42.6
2016-02-04,44.4
2016-02-05,47.5
2016-02-08,47.05
2016-02-09,43.0
2016-02-10,41.4
2016-02-25,16.9
2016-02-26,15.25
2016-02-29,15.35
2016-03-01,15.25
2016-03-02,15.35
2016-03-03,16.85
2016-03-04,18.5
2016-03-08,20.35
2016-03-09,21.35
2016-03-10,22.4
2016-03-11,23.5
2016-03-14,22.9
2016-03-15,22.1
2016-03-16,22.8
2016-03-17,21.7
2016-03-18,21.6
2016-03-21,20.9
2016-03-22,20.8
2016-03-23,20.15
2016-03-28,20.0
2016-03-29,20.5
2016-03-30,19.7
2016-03-31,19.3
2016-04-01,19.1
2016-04-04,18.75
2016-04-05,18.2
2016-04-06,18.6
2016-04-07,19.3
2016-04-08,18.05
2016-04-11,18.4
2016-04-12,18.25
2016-04-13,17.85
2016-04-18,18.35
2016-04-20,18.95
2016-04-21,18.45
2016-04-22,18.6
2016-04-25,18.55
2016-04-26,18.45
2016-04-27,18.25
2016-04-28,18.3
2016-04-29,18.25
2016-05-02,17.7
2016-05-03,17.6
2016-05-04,17.1
2016-05-05,16.6
2016-05-06,16.6
2016-05-09,17.25
2016-05-10,16.9
2016-05-11,16.7
2016-05-12,16.8
2016-05-13,16.85
2016-05-16,15.95
2016-05-17,16.05
2016-05-18,15.9
2016-05-19,15.3
2016-05-20,15.35
2016-05-23,15.55
2016-05-24,15.15
2016-05-25,15.5
2016-05-26,15.6
2016-05-27,15.3
2016-05-30,14.95
2016-05-31,14.6
2016-06-01,14.5
2016-06-02,14.75
2016-06-03,14.5
2016-06-06,14.35
2016-06-07,14.5
2016-06-08,14.55
2016-06-09,14.5
2016-06-10,14.3
2016-06-13,14.65
2016-06-14,14.55
2016-06-15,15.35
2016-06-16,15.6
2016-06-17,15.0
2016-06-20,15.25
2016-06-21,15.8
2016-06-22,16.15
2016-06-23,15.9
2016-06-24,15.6
2016-06-27,15.4
2016-06-28,15.4
2016-06-29,15.55
2016-06-30,15.35
2016-07-01,15.0
2016-07-04,18.0
2016-07-05,20.35
2016-07-07,22.3
2016-07-08,20.9
2016-07-11,20.7
2016-07-12,20.25
2016-07-13,19.35
2016-07-14,19.3
2016-07-15,18.85
2016-07-18,18.15
2016-07-19,18.35
2016-07-20,19.0
2016-07-21,18.45
2016-07-22,18.45
2016-07-25,19.1
2016-07-26,20.0
2016-07-27,20.0
2016-07-28,19.45
2016-07-29,20.25
2016-08-01,20.45
2016-08-02,19.5
2016-08-03,18.95
2016-08-04,18.65
2016-08-05,19.1
2016-08-08,19.0
2016-08-09,19.9
2016-08-10,21.25
2016-08-11,20.55
2016-08-12,19.75
2016-08-16,19.55
2016-08-17,19.9
2016-08-18,19.05
2016-08-19,19.45
2016-08-22,19.85
2016-08-23,19.45
2016-08-24,19.05
2016-08-25,19.3
2016-08-26,19.1
2016-08-29,18.5
2016-08-30,18.7
2016-08-31,18.9
2016-09-01,18.2
2016-09-02,19.05
2016-09-06,18.5
2016-09-07,18.25
2016-09-08,18.55
2016-09-09,18.55
2016-09-12,18.25
2016-09-14,18.2
2016-09-15,18.35
2016-09-16,18.2
2016-09-19,18.9
2016-09-20,18.5
2016-09-21,18.35
2016-09-22,18.35
2016-09-23,18.25
2016-09-26,18.45
2016-09-27,18.4
2016-09-28,19.15
2016-09-29,18.0
2016-09-30,17.9
2016-10-03,18.2
2016-10-04,18.45
2016-10-05,22.1
2016-10-06,24.95
2016-10-07,23.55
2016-10-10,22.7
2016-10-13,21.25
2016-10-14,22.55
2016-10-17,22.95
2016-10-18,23.25
2016-10-19,23.5
2016-10-20,23.45
2016-10-21,23.2
2016-10-24,23.1
2016-10-25,23.1
2016-10-26,22.25
2016-10-27,21.8
2016-10-28,21.6
2016-10-30,22.4
2016-11-01,22.5
2016-11-02,21.6
2016-11-03,25.85
2016-11-04,24.65
2016-11-07,22.65
2016-11-08,23.1
2016-11-09,21.6
2016-11-10,22.3
2016-11-11,21.25
2016-11-15,19.95
2016-11-16,19.95
2016-11-17,20.0
2016-11-18,20.25
2016-11-21,19.55
2016-11-22,19.55
2016-11-23,19.45
2016-11-24,19.6
2016-11-25,20.3
2016-11-28,20.65
2016-11-29,20.85
2016-11-30,21.7
2016-12-01,21.85
2016-12-02,20.95
2016-12-05,21.85
2016-12-06,21.4
2016-12-07,21.25
2016-12-08,20.9
2016-12-09,21.3
2016-12-12,20.85
2016-12-13,20.9
2016-12-14,20.5
2016-12-15,20.05
2016-12-16,21.6
2016-12-19,23.0
2016-12-20,21.7
2016-12-21,20.55
2016-12-22,20.0
2016-12-23,20.55
2016-12-26,20.0
2016-12-27,20.1
2016-12-28,20.4
2016-12-29,20.5
2016-12-30,20.45
