Date,VRLLOG
2016-01-01,431.65
2016-01-04,418.45
2016-01-05,417.9
2016-01-06,418.8
2016-01-07,405.95
2016-01-08,413.0
2016-01-11,412.6
2016-01-12,413.15
2016-01-13,403.7
2016-01-14,395.7
2016-01-15,384.15
2016-01-18,367.75
2016-01-19,386.5
2016-01-20,386.7
2016-01-21,381.8
2016-01-22,387.65
2016-01-25,394.8
2016-01-27,383.45
2016-01-28,391.55
2016-01-29,400.0
2016-02-01,395.05
2016-02-02,363.95
2016-02-03,357.3
2016-02-04,344.85
2016-02-05,349.95
2016-02-08,347.6
2016-02-09,342.55
2016-02-10,326.35
2016-02-11,329.45
2016-02-12,330.4
2016-02-15,332.8
2016-02-16,333.4
2016-02-17,318.7
2016-02-18,318.65
2016-02-19,309.5
2016-02-22,314.85
2016-02-23,312.0
2016-02-24,307.5
2016-02-25,304.65
2016-02-26,305.35
2016-02-29,316.75
2016-03-01,366.65
2016-03-02,354.15
2016-03-03,365.6
2016-03-04,355.9
2016-03-08,355.0
2016-03-09,353.65
2016-03-10,345.6
2016-03-11,361.95
2016-03-14,367.9
2016-03-15,364.5
2016-03-16,366.65
2016-03-17,364.8
2016-03-18,368.6
2016-03-21,382.55
2016-03-22,384.15
2016-03-23,373.95
2016-03-28,371.25
2016-03-29,364.0
2016-03-30,375.1
2016-03-31,368.8
2016-04-01,371.8
2016-04-04,375.9
2016-04-05,369.45
2016-04-06,368.75
2016-04-07,376.75
2016-04-08,378.7
2016-04-11,376.7
2016-04-12,380.65
2016-04-13,383.8
2016-04-18,388.95
2016-04-20,410.4
2016-04-21,404.35
2016-04-22,406.7
2016-04-25,400.5
2016-04-26,408.6
2016-04-27,421.2
2016-04-28,407.45
2016-04-29,400.8
2016-05-02,401.7
2016-05-03,399.5
2016-05-04,388.65
2016-05-05,393.2
2016-05-06,391.55
2016-05-09,390.2
2016-05-10,395.0
2016-05-11,389.95
2016-05-12,398.25
2016-05-13,392.7
2016-05-16,389.65
2016-05-17,396.7
2016-05-18,392.0
2016-05-19,394.6
2016-05-20,399.0
2016-05-23,393.4
2016-05-24,314.75
2016-05-25,276.2
2016-05-26,290.85
2016-05-27,276.8
2016-05-30,278.55
2016-05-31,276.8
2016-06-01,274.75
2016-06-02,266.45
2016-06-03,276.05
2016-06-06,275.8
2016-06-07,282.2
2016-06-08,304.9
2016-06-09,306.6
2016-06-10,309.95
2016-06-13,310.75
2016-06-14,301.25
2016-06-15,300.5
2016-06-16,299.8
2016-06-17,298.45
2016-06-20,303.25
2016-06-21,304.9
2016-06-22,308.55
2016-06-23,309.55
2016-06-24,308.0
2016-06-27,311.15
2016-06-28,309.8
2016-06-29,318.55
2016-06-30,318.0
2016-07-01,313.0
2016-07-04,313.35
2016-07-05,312.35
2016-07-07,311.7
2016-07-08,314.65
2016-07-11,316.55
2016-07-12,316.05
2016-07-13,313.65
2016-07-14,329.55
2016-07-15,314.9
2016-07-18,313.2
2016-07-19,312.2
2016-07-20,314.3
2016-07-21,349.3
2016-07-22,356.05
2016-07-25,362.95
2016-07-26,351.6
2016-07-27,348.0
2016-07-28,360.65
2016-07-29,361.0
2016-08-01,354.3
2016-08-02,338.6
2016-08-03,327.45
2016-08-04,312.4
2016-08-05,313.95
2016-08-08,314.1
2016-08-09,300.65
2016-08-10,287.75
2016-08-11,288.05
2016-08-12,286.55
2016-08-16,285.15
2016-08-17,290.9
2016-08-18,304.7
2016-08-19,306.85
2016-08-22,294.95
2016-08-23,296.4
2016-08-24,299.75
2016-08-25,296.75
2016-08-26,294.65
2016-08-29,294.0
2016-08-30,288.35
2016-08-31,292.15
2016-09-01,290.85
2016-09-02,290.65
2016-09-06,289.95
2016-09-07,289.3
2016-09-08,292.5
2016-09-09,294.25
2016-09-12,291.45
2016-09-14,291.2
2016-09-15,290.3
2016-09-16,294.5
2016-09-19,293.3
2016-09-20,292.1
2016-09-21,295.55
2016-09-22,296.05
2016-09-23,296.75
2016-09-26,296.5
2016-09-27,296.6
2016-09-28,306.15
2016-09-29,300.0
2016-09-30,299.6
2016-10-03,314.0
2016-10-04,309.8
2016-10-05,309.6
2016-10-06,312.25
2016-10-07,311.9
2016-10-10,315.0
2016-10-13,313.55
2016-10-14,312.75
2016-10-17,312.65
2016-10-18,317.55
2016-10-19,327.5
2016-10-20,322.15
2016-10-21,321.9
2016-10-24,319.25
2016-10-25,318.35
2016-10-26,313.65
2016-10-27,309.5
2016-10-28,288.5
2016-10-30,294.05
2016-11-01,287.1
2016-11-02,281.25
2016-11-03,283.5
2016-11-04,284.75
2016-11-07,283.15
2016-11-08,280.25
2016-11-09,279.4
2016-11-10,286.15
2016-11-11,280.3
2016-11-15,267.7
2016-11-16,264.65
2016-11-17,260.05
2016-11-18,267.6
2016-11-21,263.8
2016-11-22,262.1
2016-11-23,262.05
2016-11-24,261.45
2016-11-25,266.05
2016-11-28,266.75
2016-11-29,269.2
2016-11-30,275.0
2016-12-01,273.9
2016-12-02,264.15
2016-12-05,265.25
2016-12-06,263.85
2016-12-07,264.15
2016-12-08,265.9
2016-12-09,267.8
2016-12-12,266.45
2016-12-13,267.85
2016-12-14,265.5
2016-12-15,265.85
2016-12-16,266.4
2016-12-19,264.4
2016-12-20,267.85
2016-12-21,268.65
2016-12-22,262.4
2016-12-23,264.6
2016-12-26,262.2
2016-12-27,260.1
2016-12-28,259.55
2016-12-29,259.25
2016-12-30,258.5
