Date,IVP
2016-01-01,119.2
2016-01-04,127.65
2016-01-05,126.75
2016-01-06,122.2
2016-01-07,116.75
2016-01-08,120.7
2016-01-11,117.45
2016-01-12,115.05
2016-01-13,107.6
2016-01-14,107.4
2016-01-15,104.7
2016-01-18,94.6
2016-01-19,98.5
2016-01-20,92.8
2016-01-21,96.25
2016-01-22,98.5
2016-01-25,100.05
2016-01-27,99.25
2016-01-28,99.4
2016-01-29,103.55
2016-02-01,103.4
2016-02-02,101.0
2016-02-03,97.85
2016-02-04,96.1
2016-02-05,99.8
2016-02-08,101.0
2016-02-09,96.2
2016-02-10,89.85
2016-02-11,80.5
2016-02-12,81.2
2016-02-15,83.85
2016-02-16,81.0
2016-02-17,78.35
2016-02-18,80.2
2016-02-19,78.7
2016-02-22,82.0
2016-02-23,78.9
2016-02-24,79.0
2016-02-25,79.05
2016-02-26,76.3
2016-02-29,75.5
2016-03-01,82.35
2016-03-02,83.65
2016-03-03,83.35
2016-03-04,86.35
2016-03-08,84.45
2016-03-09,84.95
2016-03-10,83.0
2016-03-11,80.1
2016-03-14,80.6
2016-03-15,83.0
2016-03-16,81.0
2016-03-17,82.55
2016-03-18,79.6
2016-03-21,82.4
2016-03-22,83.7
2016-03-23,85.0
2016-03-28,83.25
2016-03-29,83.55
2016-03-30,84.1
2016-03-31,83.45
2016-04-01,84.0
2016-04-04,87.95
2016-04-05,92.3
2016-04-06,94.35
2016-04-07,88.45
2016-04-08,87.2
2016-04-11,87.8
2016-04-12,94.65
2016-04-13,94.3
2016-04-18,93.75
2016-04-20,92.35
2016-04-21,91.15
2016-04-22,92.3
2016-04-25,91.4
2016-04-26,91.85
2016-04-27,94.2
2016-04-28,91.05
2016-04-29,91.65
2016-05-02,91.05
2016-05-03,90.8
2016-05-04,89.15
2016-05-05,89.3
2016-05-06,88.15
2016-05-09,89.15
2016-05-10,89.0
2016-05-11,90.1
2016-05-12,90.0
2016-05-13,91.5
2016-05-16,90.8
2016-05-17,92.55
2016-05-18,90.9
2016-05-19,92.3
2016-05-20,89.55
2016-05-23,89.0
2016-05-24,89.0
2016-05-25,91.05
2016-05-26,90.45
2016-05-27,91.65
2016-05-30,82.7
2016-05-31,82.0
2016-06-01,81.95
2016-06-02,81.65
2016-06-03,81.25
2016-06-06,80.9
2016-06-07,82.15
2016-06-08,82.0
2016-06-09,80.55
2016-06-10,80.35
2016-06-13,79.25
2016-06-14,81.2
2016-06-15,80.8
2016-06-16,80.0
2016-06-17,80.0
2016-06-20,79.0
2016-06-21,79.65
2016-06-22,79.55
2016-06-23,78.1
2016-06-24,76.9
2016-06-27,76.5
2016-06-28,79.95
2016-06-29,95.9
2016-06-30,115.05
2016-07-01,103.85
2016-07-04,114.2
2016-07-05,117.25
2016-07-07,113.5
2016-07-08,112.5
2016-07-11,112.8
2016-07-12,107.0
2016-07-13,104.1
2016-07-14,103.2
2016-07-15,101.65
2016-07-18,111.05
2016-07-19,107.7
2016-07-20,109.35
2016-07-21,106.15
2016-07-22,116.65
2016-07-25,124.6
2016-07-26,123.4
2016-07-27,119.8
2016-07-28,120.75
2016-07-29,115.4
2016-08-01,115.5
2016-08-02,113.9
2016-08-03,114.55
2016-08-04,111.7
2016-08-05,112.15
2016-08-08,110.3
2016-08-09,112.15
2016-08-10,127.05
2016-08-11,125.4
2016-08-12,124.5
2016-08-16,112.1
2016-08-17,113.6
2016-08-18,116.65
2016-08-19,122.6
2016-08-22,124.85
2016-08-23,123.25
2016-08-24,123.0
2016-08-25,128.1
2016-08-26,126.25
2016-08-29,127.65
2016-08-30,129.5
2016-08-31,126.45
2016-09-01,123.95
2016-09-02,123.45
2016-09-06,126.9
2016-09-07,128.15
2016-09-08,126.3
2016-09-09,124.1
2016-09-12,120.05
2016-09-14,123.2
2016-09-15,124.6
2016-09-16,122.8
2016-09-19,120.65
2016-09-20,119.4
2016-09-21,131.35
2016-09-22,130.9
2016-09-23,129.5
2016-09-26,129.0
2016-09-27,126.95
2016-09-28,125.85
2016-09-29,115.05
2016-09-30,124.1
2016-10-03,124.9
2016-10-04,123.2
2016-10-05,121.2
2016-10-06,125.75
2016-10-07,124.55
2016-10-10,125.45
2016-10-13,122.1
2016-10-14,123.25
2016-10-17,126.4
2016-10-18,126.2
2016-10-19,127.6
2016-10-20,132.6
2016-10-21,148.35
2016-10-24,143.85
2016-10-25,141.9
2016-10-26,142.1
2016-10-27,143.1
2016-10-28,143.3
2016-10-30,148.0
2016-11-01,147.75
2016-11-02,144.25
2016-11-03,140.4
2016-11-04,135.25
2016-11-07,139.15
2016-11-08,137.6
2016-11-09,131.15
2016-11-10,133.5
2016-11-11,127.95
2016-11-15,124.0
2016-11-16,135.0
2016-11-17,127.9
2016-11-18,127.7
2016-11-21,119.1
2016-11-22,112.85
2016-11-23,117.45
2016-11-24,123.95
2016-11-25,124.15
2016-11-28,125.15
2016-11-29,125.6
2016-11-30,128.15
2016-12-01,129.1
2016-12-02,126.85
2016-12-05,130.6
2016-12-06,131.0
2016-12-07,131.0
2016-12-08,133.95
2016-12-09,133.8
2016-12-12,131.85
2016-12-13,131.4
2016-12-14,131.0
2016-12-15,126.55
2016-12-16,127.2
2016-12-19,129.3
2016-12-20,125.45
2016-12-21,122.8
2016-12-22,120.25
2016-12-23,121.95
2016-12-26,119.6
2016-12-27,117.75
2016-12-28,119.45
2016-12-29,119.95
2016-12-30,119.3
