Date,RAMANEWS
2016-01-01,26.55
2016-01-04,26.5
2016-01-05,26.25
2016-01-06,26.35
2016-01-07,25.05
2016-01-08,24.95
2016-01-11,23.95
2016-01-12,23.5
2016-01-13,23.2
2016-01-14,22.3
2016-01-15,21.65
2016-01-18,20.6
2016-01-19,20.0
2016-01-20,19.0
2016-01-21,18.05
2016-01-22,18.95
2016-01-25,19.85
2016-01-27,20.8
2016-01-28,21.8
2016-01-29,22.85
2016-02-01,23.95
2016-02-02,24.75
2016-02-03,23.8
2016-02-04,24.15
2016-02-05,23.35
2016-02-08,23.1
2016-02-09,23.1
2016-02-10,21.95
2016-02-11,20.9
2016-02-12,19.9
2016-02-15,20.85
2016-02-16,21.85
2016-02-17,21.85
2016-02-18,22.1
2016-02-19,21.85
2016-02-22,21.85
2016-02-23,22.05
2016-02-24,22.35
2016-02-25,22.75
2016-02-26,22.6
2016-02-29,22.55
2016-03-01,23.45
2016-03-02,24.6
2016-03-03,23.9
2016-03-04,24.8
2016-03-08,24.75
2016-03-09,27.1
2016-03-10,25.6
2016-03-11,26.7
2016-03-14,26.4
2016-03-15,26.05
2016-03-16,26.05
2016-03-17,25.25
2016-03-18,25.8
2016-03-21,26.45
2016-03-22,25.95
2016-03-23,25.55
2016-03-28,25.2
2016-03-29,24.9
2016-03-30,25.7
2016-03-31,25.9
2016-04-01,25.45
2016-04-04,25.25
2016-04-05,25.95
2016-04-06,26.35
2016-04-07,25.0
2016-04-08,25.1
2016-04-11,24.5
2016-04-12,24.2
2016-04-13,23.95
2016-04-18,23.2
2016-04-20,23.85
2016-04-21,23.55
2016-04-22,23.6
2016-04-25,23.55
2016-04-26,23.0
2016-04-27,23.45
2016-04-28,22.6
2016-04-29,22.5
2016-05-02,22.55
2016-05-03,22.85
2016-05-04,22.85
2016-05-05,22.9
2016-05-06,22.5
2016-05-09,23.2
2016-05-10,23.9
2016-05-11,23.45
2016-05-12,23.9
2016-05-13,23.1
2016-05-16,23.3
2016-05-17,23.45
2016-05-18,23.1
2016-05-19,21.3
2016-05-20,21.9
2016-05-23,22.3
2016-05-24,24.8
2016-05-25,24.7
2016-05-26,23.25
2016-05-27,23.15
2016-05-30,23.5
2016-05-31,23.0
2016-06-01,24.55
2016-06-02,24.75
2016-06-03,24.25
2016-06-06,25.0
2016-06-07,24.6
2016-06-08,24.45
2016-06-09,24.9
2016-06-10,24.55
2016-06-13,23.95
2016-06-14,24.15
2016-06-15,25.65
2016-06-16,25.25
2016-06-17,25.25
2016-06-20,25.15
2016-06-21,25.0
2016-06-22,24.75
2016-06-23,24.7
2016-06-24,24.6
2016-06-27,24.5
2016-06-28,24.05
2016-06-29,24.1
2016-06-30,26.15
2016-07-01,26.35
2016-07-04,26.4
2016-07-05,25.9
2016-07-07,25.7
2016-07-08,25.55
2016-07-11,25.9
2016-07-12,25.8
2016-07-13,25.8
2016-07-14,25.7
2016-07-15,25.55
2016-07-18,25.2
2016-07-19,24.45
2016-07-20,24.15
2016-07-21,24.0
2016-07-22,24.25
2016-07-25,24.0
2016-07-26,24.05
2016-07-27,24.0
2016-07-28,23.85
2016-07-29,23.85
2016-08-01,24.0
2016-08-02,23.85
2016-08-03,23.5
2016-08-04,23.8
2016-08-05,23.55
2016-08-08,23.65
2016-08-09,23.75
2016-08-10,23.45
2016-08-11,23.05
2016-08-12,23.5
2016-08-16,23.5
2016-08-17,23.1
2016-08-18,22.6
2016-08-19,22.8
2016-08-22,23.6
2016-08-23,23.25
2016-08-24,23.85
2016-08-25,25.05
2016-08-26,25.55
2016-08-29,24.6
2016-08-30,24.55
2016-08-31,24.05
2016-09-01,23.6
2016-09-02,24.05
2016-09-06,24.55
2016-09-07,27.2
2016-09-08,27.9
2016-09-09,26.0
2016-09-12,25.4
2016-09-14,26.9
2016-09-15,26.5
2016-09-16,27.2
2016-09-19,27.5
2016-09-20,26.3
2016-09-21,26.0
2016-09-22,26.75
2016-09-23,26.6
2016-09-26,26.75
2016-09-27,25.95
2016-09-28,26.2
2016-09-29,25.1
2016-09-30,25.5
2016-10-03,25.7
2016-10-04,26.4
2016-10-05,26.15
2016-10-06,25.0
2016-10-07,26.2
2016-10-10,27.25
2016-10-13,27.55
2016-10-14,28.8
2016-10-17,28.15
2016-10-18,27.9
2016-10-19,27.9
2016-10-20,27.75
2016-10-21,27.6
2016-10-24,27.75
2016-10-25,29.0
2016-10-26,28.15
2016-10-27,28.25
2016-10-28,28.05
2016-10-30,28.15
2016-11-01,29.95
2016-11-02,30.1
2016-11-03,34.2
2016-11-04,32.5
2016-11-07,32.8
2016-11-08,32.85
2016-11-09,31.5
2016-11-10,31.3
2016-11-11,29.7
2016-11-15,28.55
2016-11-16,28.2
2016-11-17,27.25
2016-11-18,27.25
2016-11-21,26.15
2016-11-22,27.75
2016-11-23,29.0
2016-11-24,28.95
2016-11-25,29.0
2016-11-28,28.95
2016-11-29,29.9
2016-11-30,31.65
2016-12-01,29.85
2016-12-02,29.15
2016-12-05,28.6
2016-12-06,29.85
2016-12-07,29.25
2016-12-08,35.1
2016-12-09,35.25
2016-12-12,33.95
2016-12-13,32.7
2016-12-14,34.75
2016-12-15,36.3
2016-12-16,35.4
2016-12-19,35.25
2016-12-20,34.05
2016-12-21,33.75
2016-12-22,33.15
2016-12-23,32.9
2016-12-26,32.8
2016-12-27,32.95
2016-12-28,33.3
2016-12-29,33.8
2016-12-30,34.6
