Date,VIVIDHA
2016-01-01,76.0
2016-01-04,75.15
2016-01-05,74.7
2016-01-06,71.4
2016-01-07,62.25
2016-01-08,56.05
2016-01-11,56.7
2016-01-12,68.0
2016-01-13,76.25
2016-01-14,76.1
2016-01-15,69.15
2016-01-18,60.05
2016-01-19,60.4
2016-01-20,58.0
2016-01-21,65.75
2016-01-22,70.9
2016-01-25,77.65
2016-01-27,81.45
2016-01-28,75.9
2016-01-29,91.05
2016-02-01,72.85
2016-02-02,61.45
2016-02-03,49.2
2016-02-04,53.4
2016-02-05,51.65
2016-02-08,51.9
2016-02-09,51.0
2016-02-10,45.9
2016-02-11,43.3
2016-02-12,39.85
2016-02-15,41.8
2016-02-16,43.85
2016-02-17,42.15
2016-02-18,40.05
2016-02-19,38.2
2016-02-22,36.3
2016-02-23,34.5
2016-02-24,32.8
2016-02-25,34.25
2016-02-26,33.85
2016-02-29,33.65
2016-03-01,33.8
2016-03-02,32.15
2016-03-03,30.6
2016-03-04,28.0
2016-03-08,25.4
2016-03-09,26.35
2016-03-10,24.6
2016-03-11,24.65
2016-03-14,22.75
2016-03-15,21.95
2016-03-16,19.85
2016-03-17,18.9
2016-03-18,18.0
2016-03-21,17.1
2016-03-22,17.95
2016-03-23,18.8
2016-03-28,18.05
2016-03-29,17.15
2016-03-30,13.45
2016-03-31,12.8
2016-04-01,12.2
2016-04-04,11.6
2016-04-05,12.15
2016-04-06,12.75
2016-04-07,12.15
2016-04-08,11.55
2016-04-11,12.1
2016-04-12,12.7
2016-04-13,12.1
2016-04-18,11.5
2016-04-20,11.15
2016-04-21,10.6
2016-04-22,10.1
2016-04-25,9.6
2016-04-26,9.15
2016-04-27,8.7
2016-04-28,8.3
2016-04-29,7.9
2016-05-02,7.6
2016-05-03,7.25
2016-05-04,6.9
2016-05-05,6.6
2016-05-06,6.3
2016-05-09,6.5
2016-05-10,6.3
2016-05-11,6.0
2016-05-12,5.7
2016-05-13,5.5
2016-05-16,5.25
2016-05-17,5.0
2016-05-18,4.75
2016-05-19,4.55
2016-05-20,4.75
2016-05-23,4.95
2016-05-24,5.15
2016-05-25,5.4
2016-05-26,5.65
2016-05-27,5.9
2016-05-30,5.65
2016-05-31,5.4
2016-06-01,5.15
2016-06-02,4.9
2016-06-03,4.45
2016-06-06,4.05
2016-06-07,4.05
2016-06-08,4.0
2016-06-09,4.0
2016-06-10,3.9
2016-06-13,4.0
2016-06-14,3.7
2016-06-15,3.8
2016-06-16,3.75
2016-06-17,3.75
2016-06-20,3.75
2016-06-21,3.7
2016-06-22,3.8
2016-06-23,3.85
2016-06-24,3.75
2016-06-27,3.75
2016-06-28,3.75
2016-06-29,3.75
2016-06-30,3.75
2016-07-01,4.5
2016-07-04,4.1
2016-07-05,4.15
2016-07-07,3.35
2016-07-08,3.35
2016-07-11,4.0
2016-07-12,3.2
2016-07-13,3.45
2016-07-14,3.2
2016-07-15,3.1
2016-07-18,3.15
2016-07-19,3.0
2016-07-20,3.0
2016-07-21,3.0
2016-07-22,2.75
2016-07-25,2.95
2016-07-26,2.7
2016-07-27,2.75
2016-07-28,2.75
2016-07-29,2.75
2016-08-01,2.7
2016-08-02,2.7
2016-08-03,2.65
2016-08-04,2.7
2016-08-05,2.55
2016-08-08,2.5
2016-08-09,2.5
2016-08-10,2.5
2016-08-11,2.45
2016-08-12,2.5
2016-08-16,2.45
2016-08-17,2.4
2016-08-18,2.05
2016-08-19,2.45
2016-08-22,2.7
2016-08-23,2.7
2016-08-24,2.2
2016-08-25,2.25
2016-08-26,2.25
2016-08-29,2.2
2016-08-30,2.2
2016-08-31,2.05
2016-09-01,2.1
2016-09-02,2.05
2016-09-06,2.05
2016-09-07,2.15
2016-09-08,2.1
2016-09-09,2.05
2016-09-12,2.0
2016-09-14,2.05
2016-09-15,2.0
2016-09-16,2.0
2016-09-19,2.0
2016-09-20,2.0
2016-09-21,2.05
2016-09-22,2.05
2016-09-23,2.15
2016-09-26,2.55
2016-09-27,2.3
2016-09-28,2.25
2016-09-29,2.1
2016-09-30,2.15
2016-10-03,2.2
2016-10-04,2.3
2016-10-05,2.55
2016-10-06,2.45
2016-10-07,2.45
2016-10-10,2.45
2016-10-13,2.3
2016-10-14,2.3
2016-10-17,2.3
2016-10-18,2.3
2016-10-19,2.25
2016-10-20,2.3
2016-10-21,2.35
2016-10-24,2.45
2016-10-25,2.45
2016-10-26,2.5
2016-10-27,2.35
2016-10-28,2.45
2016-10-30,2.45
2016-11-01,2.45
2016-11-02,2.35
2016-11-03,2.3
2016-11-04,2.2
2016-11-07,2.3
2016-11-08,2.35
2016-11-09,2.35
2016-11-10,2.35
2016-11-11,2.2
2016-11-15,2.1
2016-11-16,2.1
2016-11-17,2.1
2016-11-18,2.05
2016-11-21,2.0
2016-11-22,2.05
2016-11-23,2.05
2016-11-24,2.1
2016-11-25,2.1
2016-11-28,2.1
2016-11-29,2.05
2016-11-30,2.05
2016-12-01,2.05
2016-12-02,2.05
2016-12-05,2.0
2016-12-06,2.05
2016-12-07,2.05
2016-12-08,2.0
2016-12-09,2.0
2016-12-12,2.0
2016-12-13,2.0
2016-12-14,1.95
2016-12-15,1.85
2016-12-16,1.9
2016-12-19,1.95
2016-12-20,1.85
2016-12-21,1.9
2016-12-22,1.85
2016-12-23,1.85
2016-12-26,1.75
2016-12-27,1.75
2016-12-28,1.9
2016-12-29,1.9
2016-12-30,1.9
