Date,SANGHIIND
2016-01-01,65.3
2016-01-04,67.3
2016-01-05,67.35
2016-01-06,65.65
2016-01-07,63.25
2016-01-08,63.2
2016-01-11,62.2
2016-01-12,62.3
2016-01-13,58.7
2016-01-14,56.9
2016-01-15,55.6
2016-01-18,52.05
2016-01-19,52.55
2016-01-20,50.45
2016-01-21,50.6
2016-01-22,52.25
2016-01-25,55.7
2016-01-27,56.15
2016-01-28,53.95
2016-01-29,54.8
2016-02-01,54.7
2016-02-02,52.4
2016-02-03,51.95
2016-02-04,52.15
2016-02-05,51.7
2016-02-08,52.2
2016-02-09,51.15
2016-02-10,50.9
2016-02-11,46.45
2016-02-12,45.2
2016-02-15,50.9
2016-02-16,49.3
2016-02-17,49.45
2016-02-18,49.55
2016-02-19,49.5
2016-02-22,50.3
2016-02-23,51.8
2016-02-24,50.85
2016-02-25,50.3
2016-02-26,50.0
2016-02-29,49.25
2016-03-01,50.9
2016-03-02,50.8
2016-03-03,52.35
2016-03-04,52.35
2016-03-08,52.85
2016-03-09,52.85
2016-03-10,53.9
2016-03-11,52.5
2016-03-14,52.85
2016-03-15,52.4
2016-03-16,51.3
2016-03-17,53.55
2016-03-18,57.4
2016-03-21,58.95
2016-03-22,66.0
2016-03-23,66.8
2016-03-28,63.95
2016-03-29,61.2
2016-03-30,62.65
2016-03-31,60.5
2016-04-01,63.65
2016-04-04,66.85
2016-04-05,64.9
2016-04-06,67.65
2016-04-07,66.8
2016-04-08,70.7
2016-04-11,70.9
2016-04-12,69.55
2016-04-13,71.4
2016-04-18,69.65
2016-04-20,69.0
2016-04-21,67.05
2016-04-22,70.85
2016-04-25,69.55
2016-04-26,72.9
2016-04-27,75.6
2016-04-28,75.8
2016-04-29,73.8
2016-05-02,71.9
2016-05-03,73.1
2016-05-04,73.2
2016-05-05,72.9
2016-05-06,72.05
2016-05-09,74.1
2016-05-10,71.95
2016-05-11,71.25
2016-05-12,72.2
2016-05-13,71.6
2016-05-16,70.95
2016-05-17,71.05
2016-05-18,72.75
2016-05-19,71.1
2016-05-20,70.6
2016-05-23,70.95
2016-05-24,70.45
2016-05-25,70.5
2016-05-26,68.2
2016-05-27,65.9
2016-05-30,68.1
2016-05-31,70.15
2016-06-01,69.35
2016-06-02,68.05
2016-06-03,68.55
2016-06-06,68.9
2016-06-07,69.25
2016-06-08,72.85
2016-06-09,72.5
2016-06-10,72.2
2016-06-13,73.9
2016-06-14,73.6
2016-06-15,72.85
2016-06-16,71.6
2016-06-17,71.25
2016-06-20,71.45
2016-06-21,72.75
2016-06-22,71.3
2016-06-23,71.8
2016-06-24,69.05
2016-06-27,70.1
2016-06-28,73.65
2016-06-29,74.4
2016-06-30,73.55
2016-07-01,72.85
2016-07-04,71.15
2016-07-05,69.7
2016-07-07,70.05
2016-07-08,70.05
2016-07-11,70.7
2016-07-12,71.15
2016-07-13,68.95
2016-07-14,68.45
2016-07-15,68.6
2016-07-18,68.35
2016-07-19,67.65
2016-07-20,68.2
2016-07-21,67.75
2016-07-22,68.6
2016-07-25,70.8
2016-07-26,69.0
2016-07-27,68.7
2016-07-28,68.45
2016-07-29,67.5
2016-08-01,66.9
2016-08-02,68.1
2016-08-03,67.0
2016-08-04,68.35
2016-08-05,69.85
2016-08-08,71.95
2016-08-09,71.8
2016-08-10,69.8
2016-08-11,70.65
2016-08-12,71.85
2016-08-16,73.05
2016-08-17,72.55
2016-08-18,71.85
2016-08-19,78.75
2016-08-22,81.65
2016-08-23,82.25
2016-08-24,82.45
2016-08-25,87.85
2016-08-26,84.95
2016-08-29,84.4
2016-08-30,85.25
2016-08-31,83.3
2016-09-01,81.0
2016-09-02,80.85
2016-09-06,80.7
2016-09-07,78.7
2016-09-08,81.05
2016-09-09,78.85
2016-09-12,76.4
2016-09-14,77.1
2016-09-15,76.3
2016-09-16,76.45
2016-09-19,75.2
2016-09-20,74.75
2016-09-21,74.6
2016-09-22,74.8
2016-09-23,74.3
2016-09-26,73.95
2016-09-27,72.75
2016-09-28,72.65
2016-09-29,68.15
2016-09-30,68.55
2016-10-03,69.1
2016-10-04,70.15
2016-10-05,71.25
2016-10-06,68.4
2016-10-07,66.6
2016-10-10,67.1
2016-10-13,66.8
2016-10-14,71.15
2016-10-17,75.55
2016-10-18,73.35
2016-10-19,72.85
2016-10-20,73.15
2016-10-21,72.05
2016-10-24,73.05
2016-10-25,72.25
2016-10-26,71.8
2016-10-27,70.6
2016-10-28,71.15
2016-10-30,71.4
2016-11-01,71.05
2016-11-02,69.45
2016-11-03,70.15
2016-11-04,68.1
2016-11-07,69.9
2016-11-08,69.95
2016-11-09,67.95
2016-11-10,67.55
2016-11-11,64.4
2016-11-15,58.15
2016-11-16,58.0
2016-11-17,56.5
2016-11-18,55.25
2016-11-21,52.7
2016-11-22,51.0
2016-11-23,52.0
2016-11-24,51.55
2016-11-25,52.9
2016-11-28,54.7
2016-11-29,58.45
2016-11-30,58.7
2016-12-01,58.4
2016-12-02,55.2
2016-12-05,54.75
2016-12-06,54.8
2016-12-07,54.35
2016-12-08,54.15
2016-12-09,53.5
2016-12-12,51.85
2016-12-13,50.05
2016-12-14,49.95
2016-12-15,49.95
2016-12-16,50.05
2016-12-19,49.95
2016-12-20,49.8
2016-12-21,50.15
2016-12-22,49.25
2016-12-23,49.95
2016-12-26,47.85
2016-12-27,49.95
2016-12-28,50.0
2016-12-29,50.3
2016-12-30,48.95
