Date,NATHBIOGEN
2016-01-01,79.9
2016-01-04,81.3
2016-01-05,82.95
2016-01-06,99.5
2016-01-07,98.25
2016-01-08,109.45
2016-01-11,103.0
2016-01-12,99.6
2016-01-13,91.6
2016-01-14,85.95
2016-01-15,85.2
2016-01-18,78.3
2016-01-19,87.9
2016-01-20,81.45
2016-01-21,84.2
2016-01-22,83.7
2016-01-25,84.1
2016-01-27,86.25
2016-01-28,83.5
2016-01-29,82.75
2016-02-01,85.05
2016-02-02,81.05
2016-02-03,77.65
2016-02-04,75.2
2016-02-05,74.2
2016-02-08,74.35
2016-02-09,72.75
2016-02-10,68.7
2016-02-11,65.75
2016-02-12,60.5
2016-02-15,65.15
2016-02-16,63.7
2016-02-17,61.3
2016-02-18,61.9
2016-02-19,63.35
2016-02-22,62.35
2016-02-23,68.15
2016-02-24,65.65
2016-02-25,66.05
2016-02-26,65.45
2016-02-29,66.75
2016-03-01,69.45
2016-03-02,73.05
2016-03-03,77.5
2016-03-04,77.6
2016-03-08,81.3
2016-03-09,80.2
2016-03-10,82.75
2016-03-11,84.15
2016-03-14,82.9
2016-03-15,82.3
2016-03-16,79.75
2016-03-17,80.2
2016-03-18,77.15
2016-03-21,78.95
2016-03-22,77.35
2016-03-23,82.5
2016-03-28,76.75
2016-03-29,73.9
2016-03-30,77.3
2016-03-31,80.6
2016-04-01,82.45
2016-04-04,83.9
2016-04-05,81.0
2016-04-06,81.0
2016-04-07,80.8
2016-04-08,80.2
2016-04-11,86.25
2016-04-12,95.9
2016-04-13,97.0
2016-04-18,95.4
2016-04-20,92.5
2016-04-21,92.05
2016-04-22,91.4
2016-04-25,88.5
2016-04-26,89.4
2016-04-27,90.45
2016-04-28,87.65
2016-04-29,86.75
2016-05-02,88.85
2016-05-03,92.85
2016-05-04,88.1
2016-05-05,90.0
2016-05-06,85.6
2016-05-09,86.0
2016-05-10,84.75
2016-05-11,85.3
2016-05-12,87.35
2016-05-13,91.3
2016-05-16,90.45
2016-05-17,92.5
2016-05-18,88.95
2016-05-19,88.3
2016-05-20,87.6
2016-05-23,86.0
2016-05-24,84.0
2016-05-25,84.4
2016-05-26,86.6
2016-05-27,86.1
2016-05-30,85.5
2016-05-31,88.3
2016-06-01,90.3
2016-06-02,90.25
2016-06-03,93.05
2016-06-06,89.3
2016-06-07,91.15
2016-06-08,95.1
2016-06-09,90.65
2016-06-10,90.95
2016-06-13,90.05
2016-06-14,92.15
2016-06-15,93.85
2016-06-16,92.85
2016-06-17,91.1
2016-06-20,91.75
2016-06-21,90.95
2016-06-22,94.2
2016-06-23,92.2
2016-06-24,91.55
2016-06-27,99.95
2016-06-28,98.35
2016-06-29,101.4
2016-06-30,101.25
2016-07-01,108.6
2016-07-04,110.95
2016-07-05,106.65
2016-07-07,104.65
2016-07-08,103.15
2016-07-11,104.65
2016-07-12,101.1
2016-07-13,101.7
2016-07-14,101.6
2016-07-15,100.05
2016-07-18,95.85
2016-07-19,95.85
2016-07-20,97.45
2016-07-21,97.05
2016-07-22,109.15
2016-07-25,126.6
2016-07-26,119.75
2016-07-27,121.35
2016-07-28,128.45
2016-07-29,126.7
2016-08-01,112.75
2016-08-02,109.05
2016-08-03,109.2
2016-08-04,105.0
2016-08-05,103.7
2016-08-08,104.95
2016-08-09,100.8
2016-08-10,102.25
2016-08-11,101.65
2016-08-12,101.45
2016-08-16,101.4
2016-08-17,100.15
2016-08-18,101.6
2016-08-19,108.05
2016-08-22,107.8
2016-08-23,108.15
2016-08-24,105.85
2016-08-25,106.6
2016-08-26,107.8
2016-08-29,106.0
2016-08-30,104.2
2016-08-31,104.95
2016-09-01,101.85
2016-09-02,105.95
2016-09-06,106.9
2016-09-07,104.95
2016-09-08,105.65
2016-09-09,103.85
2016-09-12,101.95
2016-09-14,102.0
2016-09-15,102.65
2016-09-16,101.85
2016-09-19,100.05
2016-09-20,99.95
2016-09-21,97.65
2016-09-22,97.5
2016-09-23,96.9
2016-09-26,97.5
2016-09-27,102.35
2016-09-28,122.8
2016-09-29,108.1
2016-09-30,117.4
2016-10-03,116.8
2016-10-04,117.8
2016-10-05,114.7
2016-10-06,116.1
2016-10-07,114.15
2016-10-10,121.05
2016-10-13,118.45
2016-10-14,123.45
2016-10-17,128.15
2016-10-18,153.75
2016-10-19,181.8
2016-10-20,170.65
2016-10-21,172.9
2016-10-24,172.65
2016-10-25,167.15
2016-10-26,167.9
2016-10-27,168.2
2016-10-28,168.75
2016-10-30,169.55
2016-11-01,172.5
2016-11-02,168.25
2016-11-03,163.9
2016-11-04,173.4
2016-11-07,192.45
2016-11-08,195.3
2016-11-09,178.55
2016-11-10,199.3
2016-11-11,186.35
2016-11-15,150.5
2016-11-16,139.25
2016-11-17,141.7
2016-11-18,144.8
2016-11-21,135.75
2016-11-22,137.15
2016-11-23,142.25
2016-11-24,146.45
2016-11-25,160.15
2016-11-28,161.0
2016-11-29,158.05
2016-11-30,158.25
2016-12-01,153.25
2016-12-02,148.2
2016-12-05,148.9
2016-12-06,146.6
2016-12-07,144.55
2016-12-08,148.0
2016-12-09,145.75
2016-12-12,144.3
2016-12-13,140.95
2016-12-14,142.15
2016-12-15,141.1
2016-12-16,139.7
2016-12-19,148.8
2016-12-20,152.15
2016-12-21,153.8
2016-12-22,151.8
2016-12-23,141.35
2016-12-26,137.3
2016-12-27,140.2
2016-12-28,141.25
2016-12-29,144.65
2016-12-30,148.5
