Date,NETWORK18
2016-01-01,59.0
2016-01-04,58.35
2016-01-05,57.15
2016-01-06,57.4
2016-01-07,54.85
2016-01-08,55.95
2016-01-11,56.85
2016-01-12,56.1
2016-01-13,54.8
2016-01-14,52.85
2016-01-15,49.8
2016-01-18,47.35
2016-01-19,47.9
2016-01-20,46.15
2016-01-21,45.6
2016-01-22,48.2
2016-01-25,46.95
2016-01-27,46.9
2016-01-28,47.3
2016-01-29,47.8
2016-02-01,47.45
2016-02-02,46.05
2016-02-03,44.85
2016-02-04,45.0
2016-02-05,45.3
2016-02-08,45.1
2016-02-09,44.5
2016-02-10,44.4
2016-02-11,41.6
2016-02-12,41.55
2016-02-15,42.4
2016-02-16,40.3
2016-02-17,40.65
2016-02-18,41.0
2016-02-19,40.15
2016-02-22,40.8
2016-02-23,39.3
2016-02-24,39.15
2016-02-25,38.85
2016-02-26,38.9
2016-02-29,38.45
2016-03-01,40.35
2016-03-02,41.7
2016-03-03,42.85
2016-03-04,42.7
2016-03-08,43.2
2016-03-09,42.85
2016-03-10,42.95
2016-03-11,43.0
2016-03-14,42.35
2016-03-15,42.15
2016-03-16,42.7
2016-03-17,42.1
2016-03-18,43.5
2016-03-21,44.9
2016-03-22,44.2
2016-03-23,45.3
2016-03-28,43.0
2016-03-29,43.65
2016-03-30,44.2
2016-03-31,44.0
2016-04-01,44.5
2016-04-04,44.1
2016-04-05,42.65
2016-04-06,43.9
2016-04-07,42.5
2016-04-08,41.85
2016-04-11,41.8
2016-04-12,42.0
2016-04-13,42.45
2016-04-18,42.85
2016-04-20,44.45
2016-04-21,42.35
2016-04-22,42.45
2016-04-25,42.2
2016-04-26,41.75
2016-04-27,41.65
2016-04-28,40.9
2016-04-29,40.65
2016-05-02,40.9
2016-05-03,40.7
2016-05-04,39.65
2016-05-05,39.65
2016-05-06,39.45
2016-05-09,39.35
2016-05-10,39.4
2016-05-11,39.45
2016-05-12,39.3
2016-05-13,42.65
2016-05-16,42.5
2016-05-17,43.25
2016-05-18,42.25
2016-05-19,41.25
2016-05-20,41.25
2016-05-23,41.55
2016-05-24,41.6
2016-05-25,42.0
2016-05-26,42.2
2016-05-27,41.75
2016-05-30,42.3
2016-05-31,41.95
2016-06-01,41.8
2016-06-02,42.1
2016-06-03,41.8
2016-06-06,41.2
2016-06-07,41.3
2016-06-08,43.7
2016-06-09,43.65
2016-06-10,42.75
2016-06-13,42.65
2016-06-14,42.55
2016-06-15,42.7
2016-06-16,42.1
2016-06-17,42.4
2016-06-20,42.55
2016-06-21,43.45
2016-06-22,43.55
2016-06-23,42.35
2016-06-24,41.05
2016-06-27,40.95
2016-06-28,41.55
2016-06-29,43.6
2016-06-30,44.25
2016-07-01,43.45
2016-07-04,43.5
2016-07-05,44.6
2016-07-07,47.1
2016-07-08,47.35
2016-07-11,47.95
2016-07-12,47.4
2016-07-13,43.05
2016-07-14,42.2
2016-07-15,41.6
2016-07-18,41.0
2016-07-19,40.6
2016-07-20,40.95
2016-07-21,40.8
2016-07-22,40.8
2016-07-25,42.45
2016-07-26,41.6
2016-07-27,40.85
2016-07-28,40.8
2016-07-29,41.85
2016-08-01,40.85
2016-08-02,42.3
2016-08-03,42.3
2016-08-04,41.95
2016-08-05,42.75
2016-08-08,42.1
2016-08-09,41.85
2016-08-10,41.1
2016-08-11,41.05
2016-08-12,41.9
2016-08-16,41.85
2016-08-17,41.6
2016-08-18,41.85
2016-08-19,41.7
2016-08-22,41.55
2016-08-23,41.95
2016-08-24,42.5
2016-08-25,43.0
2016-08-26,43.15
2016-08-29,44.6
2016-08-30,45.9
2016-08-31,46.0
2016-09-01,44.25
2016-09-02,44.65
2016-09-06,43.9
2016-09-07,43.25
2016-09-08,43.1
2016-09-09,42.95
2016-09-12,42.25
2016-09-14,41.75
2016-09-15,43.45
2016-09-16,43.9
2016-09-19,44.35
2016-09-20,43.55
2016-09-21,43.75
2016-09-22,45.15
2016-09-23,44.3
2016-09-26,43.35
2016-09-27,43.25
2016-09-28,48.65
2016-09-29,43.9
2016-09-30,44.75
2016-10-03,47.6
2016-10-04,46.15
2016-10-05,47.05
2016-10-06,46.8
2016-10-07,46.15
2016-10-10,47.7
2016-10-13,45.35
2016-10-14,44.65
2016-10-17,43.2
2016-10-18,43.7
2016-10-19,43.85
2016-10-20,44.2
2016-10-21,42.45
2016-10-24,42.8
2016-10-25,42.65
2016-10-26,42.05
2016-10-27,41.95
2016-10-28,41.95
2016-10-30,42.15
2016-11-01,42.25
2016-11-02,41.55
2016-11-03,41.3
2016-11-04,40.2
2016-11-07,40.3
2016-11-08,40.2
2016-11-09,39.9
2016-11-10,41.15
2016-11-11,39.25
2016-11-15,38.55
2016-11-16,38.1
2016-11-17,38.2
2016-11-18,37.85
2016-11-21,36.55
2016-11-22,36.3
2016-11-23,36.45
2016-11-24,36.25
2016-11-25,36.2
2016-11-28,38.0
2016-11-29,38.15
2016-11-30,37.8
2016-12-01,38.0
2016-12-02,37.6
2016-12-05,38.0
2016-12-06,37.9
2016-12-07,37.75
2016-12-08,36.5
2016-12-09,36.5
2016-12-12,36.35
2016-12-13,36.45
2016-12-14,36.15
2016-12-15,36.8
2016-12-16,36.65
2016-12-19,35.85
2016-12-20,35.35
2016-12-21,33.8
2016-12-22,32.9
2016-12-23,32.5
2016-12-26,31.35
2016-12-27,30.7
2016-12-28,33.45
2016-12-29,33.7
2016-12-30,33.4
