Date,KSK
2016-01-01,51.85
2016-01-04,51.3
2016-01-05,52.35
2016-01-06,53.85
2016-01-07,49.5
2016-01-08,51.95
2016-01-11,53.15
2016-01-12,53.45
2016-01-13,51.95
2016-01-14,51.4
2016-01-15,47.05
2016-01-18,45.85
2016-01-19,42.7
2016-01-20,41.95
2016-01-21,42.25
2016-01-22,44.25
2016-01-25,44.9
2016-01-27,44.95
2016-01-28,44.15
2016-01-29,47.6
2016-02-01,46.1
2016-02-02,44.4
2016-02-03,42.45
2016-02-04,42.45
2016-02-05,42.8
2016-02-08,43.45
2016-02-09,43.15
2016-02-10,46.1
2016-02-11,39.5
2016-02-12,40.2
2016-02-15,42.65
2016-02-16,41.4
2016-02-17,42.8
2016-02-18,42.0
2016-02-19,40.65
2016-02-22,40.0
2016-02-23,39.0
2016-02-24,38.5
2016-02-25,37.0
2016-02-26,36.7
2016-02-29,36.3
2016-03-01,37.45
2016-03-02,37.5
2016-03-03,37.7
2016-03-04,37.95
2016-03-08,37.25
2016-03-09,39.7
2016-03-10,40.5
2016-03-11,38.15
2016-03-14,38.9
2016-03-15,38.4
2016-03-16,37.5
2016-03-17,37.85
2016-03-18,38.1
2016-03-21,37.6
2016-03-22,36.7
2016-03-23,36.25
2016-03-28,35.05
2016-03-29,34.2
2016-03-30,33.7
2016-03-31,32.85
2016-04-01,33.6
2016-04-04,35.65
2016-04-05,35.7
2016-04-06,37.25
2016-04-07,36.9
2016-04-08,34.85
2016-04-11,32.05
2016-04-12,33.3
2016-04-13,33.5
2016-04-18,33.35
2016-04-20,34.3
2016-04-21,34.55
2016-04-22,34.35
2016-04-25,34.0
2016-04-26,33.95
2016-04-27,33.65
2016-04-28,33.25
2016-04-29,33.0
2016-05-02,33.7
2016-05-03,33.3
2016-05-04,33.8
2016-05-05,33.6
2016-05-06,32.95
2016-05-09,33.6
2016-05-10,33.1
2016-05-11,32.85
2016-05-12,33.55
2016-05-13,33.45
2016-05-16,33.25
2016-05-17,33.2
2016-05-18,33.2
2016-05-19,32.75
2016-05-20,31.1
2016-05-23,31.4
2016-05-24,30.65
2016-05-25,30.7
2016-05-26,30.7
2016-05-27,31.75
2016-05-30,31.75
2016-05-31,30.3
2016-06-01,29.55
2016-06-02,28.6
2016-06-03,29.1
2016-06-06,28.8
2016-06-07,30.0
2016-06-08,30.55
2016-06-09,30.7
2016-06-10,30.3
2016-06-13,29.75
2016-06-14,30.25
2016-06-15,30.55
2016-06-16,30.1
2016-06-17,30.1
2016-06-20,30.1
2016-06-21,30.05
2016-06-22,29.8
2016-06-23,29.55
2016-06-24,28.8
2016-06-27,29.4
2016-06-28,29.9
2016-06-29,29.95
2016-06-30,29.85
2016-07-01,30.1
2016-07-04,30.1
2016-07-05,29.95
2016-07-07,30.6
2016-07-08,30.65
2016-07-11,30.8
2016-07-12,30.35
2016-07-13,30.15
2016-07-14,29.95
2016-07-15,29.65
2016-07-18,29.65
2016-07-19,29.7
2016-07-20,28.5
2016-07-21,29.6
2016-07-22,29.55
2016-07-25,29.3
2016-07-26,29.7
2016-07-27,29.65
2016-07-28,29.5
2016-07-29,29.35
2016-08-01,29.35
2016-08-02,29.05
2016-08-03,28.1
2016-08-04,28.4
2016-08-05,29.15
2016-08-08,29.25
2016-08-09,28.75
2016-08-10,29.2
2016-08-11,28.35
2016-08-12,28.45
2016-08-16,27.25
2016-08-17,27.3
2016-08-18,27.75
2016-08-19,27.45
2016-08-22,27.2
2016-08-23,27.3
2016-08-24,27.3
2016-08-25,28.55
2016-08-26,28.8
2016-08-29,28.3
2016-08-30,27.75
2016-08-31,27.65
2016-09-01,27.6
2016-09-02,29.85
2016-09-06,29.6
2016-09-07,29.05
2016-09-08,28.8
2016-09-09,29.15
2016-09-12,28.6
2016-09-14,28.55
2016-09-15,28.05
2016-09-16,28.25
2016-09-19,28.25
2016-09-20,28.1
2016-09-21,29.8
2016-09-22,29.3
2016-09-23,28.8
2016-09-26,28.45
2016-09-27,28.4
2016-09-28,28.3
2016-09-29,27.25
2016-09-30,27.4
2016-10-03,28.1
2016-10-04,27.95
2016-10-05,28.2
2016-10-06,27.75
2016-10-07,26.95
2016-10-10,26.85
2016-10-13,26.65
2016-10-14,26.7
2016-10-17,26.55
2016-10-18,26.55
2016-10-19,26.4
2016-10-20,26.4
2016-10-21,26.5
2016-10-24,26.35
2016-10-25,26.3
2016-10-26,26.3
2016-10-27,26.0
2016-10-28,25.75
2016-10-30,26.1
2016-11-01,26.05
2016-11-02,25.6
2016-11-03,25.3
2016-11-04,24.8
2016-11-07,24.9
2016-11-08,25.05
2016-11-09,23.55
2016-11-10,23.9
2016-11-11,23.45
2016-11-15,22.35
2016-11-16,22.55
2016-11-17,22.6
2016-11-18,22.65
2016-11-21,21.75
2016-11-22,21.8
2016-11-23,21.75
2016-11-24,21.45
2016-11-25,21.8
2016-11-28,21.75
2016-11-29,21.75
2016-11-30,21.25
2016-12-01,21.2
2016-12-02,21.1
2016-12-05,21.0
2016-12-06,20.4
2016-12-07,20.05
2016-12-08,19.6
2016-12-09,19.2
2016-12-12,20.35
2016-12-13,19.95
2016-12-14,19.1
2016-12-15,18.65
2016-12-16,18.3
2016-12-19,15.25
2016-12-20,12.2
2016-12-21,13.4
2016-12-22,14.7
2016-12-23,16.15
2016-12-26,15.75
2016-12-27,15.7
2016-12-28,15.35
2016-12-29,15.35
2016-12-30,14.95
