Date,UJAAS
2016-01-01,25.9
2016-01-04,29.8
2016-01-05,29.35
2016-01-06,30.65
2016-01-07,28.6
2016-01-08,29.85
2016-01-11,29.85
2016-01-12,29.05
2016-01-13,26.3
2016-01-14,23.95
2016-01-15,21.85
2016-01-18,20.8
2016-01-19,21.8
2016-01-20,22.85
2016-01-21,23.95
2016-01-22,25.1
2016-01-25,25.1
2016-01-27,25.45
2016-01-28,24.65
2016-01-29,25.3
2016-02-01,26.55
2016-02-02,27.15
2016-02-03,26.95
2016-02-04,25.75
2016-02-05,25.8
2016-02-08,25.55
2016-02-09,24.95
2016-02-10,24.3
2016-02-11,23.1
2016-02-12,22.35
2016-02-15,23.45
2016-02-16,24.0
2016-02-17,24.0
2016-02-18,24.05
2016-02-19,23.75
2016-02-22,24.9
2016-02-23,24.05
2016-02-24,24.65
2016-02-25,24.7
2016-02-26,23.85
2016-02-29,22.75
2016-03-01,23.1
2016-03-02,23.55
2016-03-03,23.75
2016-03-04,23.95
2016-03-08,23.85
2016-03-09,23.75
2016-03-10,23.45
2016-03-11,23.15
2016-03-14,22.0
2016-03-15,21.4
2016-03-16,21.9
2016-03-17,22.75
2016-03-18,22.85
2016-03-21,22.9
2016-03-22,22.95
2016-03-23,22.65
2016-03-28,21.6
2016-03-29,21.7
2016-03-30,22.5
2016-03-31,22.65
2016-04-01,22.8
2016-04-04,22.95
2016-04-05,22.5
2016-04-06,22.65
2016-04-07,22.9
2016-04-08,22.65
2016-04-11,22.75
2016-04-12,22.7
2016-04-13,22.6
2016-04-18,23.45
2016-04-20,24.25
2016-04-21,24.1
2016-04-22,24.0
2016-04-25,23.8
2016-04-26,23.95
2016-04-27,23.75
2016-04-28,23.25
2016-04-29,23.15
2016-05-02,23.05
2016-05-03,22.85
2016-05-04,22.8
2016-05-05,22.55
2016-05-06,22.3
2016-05-09,22.95
2016-05-10,22.9
2016-05-11,22.4
2016-05-12,22.4
2016-05-13,22.3
2016-05-16,22.1
2016-05-17,22.25
2016-05-18,22.25
2016-05-19,21.8
2016-05-20,22.0
2016-05-23,24.45
2016-05-24,23.6
2016-05-25,23.2
2016-05-26,22.85
2016-05-27,22.85
2016-05-30,22.7
2016-05-31,22.35
2016-06-01,22.15
2016-06-02,22.65
2016-06-03,22.5
2016-06-06,22.25
2016-06-07,22.5
2016-06-08,22.65
2016-06-09,23.25
2016-06-10,23.3
2016-06-13,23.2
2016-06-14,23.2
2016-06-15,23.8
2016-06-16,23.6
2016-06-17,23.95
2016-06-20,23.95
2016-06-21,23.75
2016-06-22,23.45
2016-06-23,22.9
2016-06-24,22.15
2016-06-27,22.45
2016-06-28,22.9
2016-06-29,24.7
2016-06-30,25.75
2016-07-01,25.8
2016-07-04,26.1
2016-07-05,26.1
2016-07-07,26.3
2016-07-08,26.15
2016-07-11,26.3
2016-07-12,25.35
2016-07-13,25.05
2016-07-14,24.9
2016-07-15,24.7
2016-07-18,24.9
2016-07-19,24.6
2016-07-20,24.75
2016-07-21,24.7
2016-07-22,24.4
2016-07-25,24.5
2016-07-26,24.15
2016-07-27,23.15
2016-07-28,23.4
2016-07-29,23.3
2016-08-01,23.15
2016-08-02,22.5
2016-08-03,22.25
2016-08-04,22.4
2016-08-05,22.85
2016-08-08,24.4
2016-08-09,24.15
2016-08-10,23.7
2016-08-11,23.3
2016-08-12,23.55
2016-08-16,23.3
2016-08-17,23.15
2016-08-18,23.1
2016-08-19,23.1
2016-08-22,23.05
2016-08-23,22.85
2016-08-24,23.1
2016-08-25,22.85
2016-08-26,22.85
2016-08-29,22.55
2016-08-30,22.55
2016-08-31,22.15
2016-09-01,22.35
2016-09-02,22.05
2016-09-06,22.25
2016-09-07,22.6
2016-09-08,23.05
2016-09-09,23.4
2016-09-12,23.45
2016-09-14,23.95
2016-09-15,24.4
2016-09-16,24.1
2016-09-19,24.0
2016-09-20,23.95
2016-09-21,23.7
2016-09-22,24.35
2016-09-23,24.8
2016-09-26,24.45
2016-09-27,24.4
2016-09-28,24.15
2016-09-29,22.25
2016-09-30,22.5
2016-10-03,23.3
2016-10-04,23.5
2016-10-05,23.55
2016-10-06,24.4
2016-10-07,24.05
2016-10-10,24.2
2016-10-13,23.35
2016-10-14,23.15
2016-10-17,24.0
2016-10-18,23.95
2016-10-19,23.95
2016-10-20,23.85
2016-10-21,23.7
2016-10-24,24.05
2016-10-25,25.25
2016-10-26,25.45
2016-10-27,25.05
2016-10-28,25.65
2016-10-30,30.3
2016-11-01,34.35
2016-11-02,37.4
2016-11-03,38.2
2016-11-04,35.3
2016-11-07,36.0
2016-11-08,34.5
2016-11-09,37.95
2016-11-10,40.4
2016-11-11,37.6
2016-11-15,35.8
2016-11-16,39.1
2016-11-17,39.15
2016-11-18,38.55
2016-11-21,37.3
2016-11-22,37.75
2016-11-23,39.45
2016-11-24,39.0
2016-11-25,42.9
2016-11-28,47.15
2016-11-29,47.5
2016-11-30,47.8
2016-12-01,47.5
2016-12-02,46.05
2016-12-05,45.7
2016-12-06,45.05
2016-12-07,43.4
2016-12-08,43.5
2016-12-09,47.85
2016-12-12,47.95
2016-12-13,48.3
2016-12-14,47.2
2016-12-15,50.2
2016-12-16,51.25
2016-12-19,48.15
2016-12-20,46.85
2016-12-21,45.15
2016-12-22,43.05
2016-12-23,45.7
2016-12-26,44.35
2016-12-27,44.35
2016-12-28,44.25
2016-12-29,44.55
2016-12-30,44.6
