Date,JAIBALAJI
2016-01-01,7.4
2016-01-04,7.7
2016-01-05,8.8
2016-01-06,10.55
2016-01-07,10.05
2016-01-08,10.45
2016-01-11,9.9
2016-01-12,9.95
2016-01-13,9.0
2016-01-14,8.6
2016-01-15,7.95
2016-01-18,7.6
2016-01-19,7.55
2016-01-20,7.2
2016-01-21,7.0
2016-01-22,6.9
2016-01-25,6.95
2016-01-27,7.25
2016-01-28,7.0
2016-01-29,6.95
2016-02-01,6.75
2016-02-02,6.6
2016-02-03,6.6
2016-02-04,6.6
2016-02-05,6.45
2016-02-08,7.0
2016-02-09,7.0
2016-02-10,6.75
2016-02-11,6.1
2016-02-12,6.05
2016-02-15,6.15
2016-02-16,5.9
2016-02-17,5.45
2016-02-18,5.6
2016-02-19,6.05
2016-02-22,5.9
2016-02-23,5.75
2016-02-24,5.5
2016-02-25,5.5
2016-02-26,5.9
2016-02-29,5.95
2016-03-01,6.1
2016-03-02,6.7
2016-03-03,7.25
2016-03-04,7.45
2016-03-08,7.8
2016-03-09,7.65
2016-03-10,7.65
2016-03-11,7.4
2016-03-14,7.2
2016-03-15,6.85
2016-03-16,6.9
2016-03-17,7.2
2016-03-18,7.0
2016-03-21,7.1
2016-03-22,6.9
2016-03-23,7.05
2016-03-28,6.9
2016-03-29,6.85
2016-03-30,6.75
2016-03-31,7.05
2016-04-01,7.0
2016-04-04,7.05
2016-04-05,7.1
2016-04-06,7.05
2016-04-07,7.55
2016-04-08,8.1
2016-04-11,8.9
2016-04-12,9.3
2016-04-13,9.5
2016-04-18,9.05
2016-04-20,8.6
2016-04-21,8.2
2016-04-22,8.0
2016-04-25,7.6
2016-04-26,7.25
2016-04-27,7.35
2016-04-28,7.2
2016-04-29,7.2
2016-05-02,7.05
2016-05-03,7.05
2016-05-04,7.3
2016-05-05,6.95
2016-05-06,6.95
2016-05-09,6.9
2016-05-10,6.85
2016-05-11,6.7
2016-05-12,6.9
2016-05-13,6.85
2016-05-16,6.8
2016-05-17,6.7
2016-05-18,6.55
2016-05-19,6.4
2016-05-20,6.7
2016-05-23,6.7
2016-05-24,6.55
2016-05-25,6.6
2016-05-26,6.6
2016-05-27,6.65
2016-05-30,6.7
2016-05-31,6.95
2016-06-01,7.25
2016-06-02,7.6
2016-06-03,7.3
2016-06-06,6.95
2016-06-07,6.85
2016-06-08,6.75
2016-06-09,6.55
2016-06-10,6.55
2016-06-13,6.65
2016-06-14,7.05
2016-06-15,7.0
2016-06-16,6.8
2016-06-17,7.4
2016-06-20,7.25
2016-06-21,7.0
2016-06-22,7.2
2016-06-23,7.0
2016-06-24,7.55
2016-06-27,8.3
2016-06-28,8.65
2016-06-29,8.25
2016-06-30,8.35
2016-07-01,8.45
2016-07-04,8.5
2016-07-05,8.4
2016-07-07,8.65
2016-07-08,8.55
2016-07-11,8.5
2016-07-12,8.25
2016-07-13,9.05
2016-07-14,8.65
2016-07-15,8.35
2016-07-18,8.85
2016-07-19,9.05
2016-07-20,9.1
2016-07-21,9.0
2016-07-22,9.4
2016-07-25,10.0
2016-07-26,10.65
2016-07-27,11.15
2016-07-28,12.25
2016-07-29,12.85
2016-08-01,13.45
2016-08-02,14.1
2016-08-03,14.8
2016-08-04,14.1
2016-08-05,13.4
2016-08-08,12.75
2016-08-09,12.15
2016-08-10,12.35
2016-08-11,11.75
2016-08-12,11.2
2016-08-16,10.65
2016-08-17,10.15
2016-08-18,9.85
2016-08-19,10.3
2016-08-22,10.8
2016-08-23,11.3
2016-08-24,10.9
2016-08-25,10.75
2016-08-26,10.6
2016-08-29,10.2
2016-08-30,10.45
2016-08-31,10.3
2016-09-01,9.9
2016-09-02,10.05
2016-09-06,10.2
2016-09-07,10.4
2016-09-08,10.75
2016-09-09,10.95
2016-09-12,11.45
2016-09-14,12.0
2016-09-15,12.6
2016-09-16,13.2
2016-09-19,12.55
2016-09-20,11.95
2016-09-21,11.7
2016-09-22,11.75
2016-09-23,11.55
2016-09-26,11.45
2016-09-27,11.75
2016-09-28,11.75
2016-09-29,11.2
2016-09-30,10.7
2016-10-03,11.2
2016-10-04,11.45
2016-10-05,10.9
2016-10-06,10.9
2016-10-07,10.7
2016-10-10,11.4
2016-10-13,11.55
2016-10-14,11.5
2016-10-17,11.55
2016-10-18,11.3
2016-10-19,11.3
2016-10-20,11.45
2016-10-21,11.25
2016-10-24,11.65
2016-10-25,11.95
2016-10-26,13.1
2016-10-27,14.4
2016-10-28,15.1
2016-10-30,15.85
2016-11-01,15.7
2016-11-02,15.0
2016-11-03,15.7
2016-11-04,14.95
2016-11-07,14.4
2016-11-08,14.5
2016-11-09,13.8
2016-11-10,13.95
2016-11-11,13.8
2016-11-15,13.15
2016-11-16,12.5
2016-11-17,11.9
2016-11-18,11.45
2016-11-21,10.9
2016-11-22,10.45
2016-11-23,10.55
2016-11-24,10.2
2016-11-25,9.8
2016-11-28,10.25
2016-11-29,10.45
2016-11-30,10.8
2016-12-01,11.25
2016-12-02,10.8
2016-12-05,10.65
2016-12-06,10.75
2016-12-07,11.25
2016-12-08,11.25
2016-12-09,10.7
2016-12-12,11.0
2016-12-13,10.95
2016-12-14,11.25
2016-12-15,10.7
2016-12-16,11.2
2016-12-19,11.75
2016-12-20,12.3
2016-12-21,11.7
2016-12-22,12.1
2016-12-23,11.8
2016-12-26,11.25
2016-12-27,10.95
2016-12-28,11.05
2016-12-29,10.95
2016-12-30,11.45
