Date,KARMAENG
2016-01-01,24.2
2016-01-04,25.5
2016-01-05,26.0
2016-01-06,25.0
2016-01-07,24.65
2016-01-08,24.25
2016-01-11,25.45
2016-01-12,26.8
2016-01-13,24.0
2016-01-14,25.2
2016-01-15,23.6
2016-01-18,21.8
2016-01-19,22.6
2016-01-20,22.85
2016-01-21,22.9
2016-01-22,24.3
2016-01-25,23.05
2016-01-27,23.1
2016-01-28,23.4
2016-01-29,22.3
2016-02-01,22.5
2016-02-02,21.6
2016-02-03,19.95
2016-02-04,20.0
2016-02-05,21.25
2016-02-09,20.95
2016-02-11,18.0
2016-02-12,18.0
2016-02-15,19.8
2016-02-16,19.75
2016-02-17,20.0
2016-02-18,19.75
2016-02-19,18.5
2016-02-23,18.45
2016-02-24,20.0
2016-02-25,18.1
2016-02-26,18.8
2016-02-29,16.8
2016-03-01,19.1
2016-03-02,18.05
2016-03-03,18.25
2016-03-04,17.0
2016-03-08,17.1
2016-03-09,17.2
2016-03-11,19.45
2016-03-14,17.7
2016-03-15,18.05
2016-03-16,18.5
2016-03-17,19.5
2016-03-21,18.05
2016-03-22,18.25
2016-03-23,17.95
2016-03-28,17.2
2016-03-29,18.95
2016-03-30,19.85
2016-03-31,18.35
2016-04-01,18.5
2016-04-04,17.4
2016-04-05,17.95
2016-04-06,17.4
2016-04-08,17.35
2016-04-11,17.5
2016-04-12,19.4
2016-04-13,18.1
2016-04-18,17.9
2016-04-20,18.95
2016-04-21,18.9
2016-04-22,18.5
2016-04-25,17.75
2016-04-26,19.25
2016-04-27,18.0
2016-04-28,17.5
2016-04-29,17.3
2016-05-02,17.6
2016-05-03,17.75
2016-05-04,17.45
2016-05-05,17.6
2016-05-06,18.5
2016-05-09,17.65
2016-05-10,17.5
2016-05-11,18.45
2016-05-12,18.0
2016-05-13,17.95
2016-05-16,17.15
2016-05-17,17.0
2016-05-18,17.5
2016-05-23,17.4
2016-05-24,17.65
2016-05-25,16.95
2016-05-26,16.45
2016-05-27,16.0
2016-05-30,15.15
2016-05-31,16.0
2016-06-01,15.65
2016-06-02,16.1
2016-06-03,16.1
2016-06-06,16.1
2016-06-07,15.7
2016-06-08,15.95
2016-06-09,15.8
2016-06-10,16.2
2016-06-13,15.7
2016-06-14,17.15
2016-06-15,16.65
2016-06-16,16.3
2016-06-17,16.95
2016-06-20,17.9
2016-06-21,17.0
2016-06-22,16.0
2016-06-23,16.75
2016-06-24,16.55
2016-06-27,16.5
2016-06-28,16.0
2016-06-29,16.05
2016-06-30,17.0
2016-07-01,17.2
2016-07-04,16.55
2016-07-05,17.5
2016-07-07,18.4
2016-07-08,17.75
2016-07-11,17.4
2016-07-12,16.65
2016-07-13,16.15
2016-07-14,16.4
2016-07-15,16.9
2016-07-18,16.65
2016-07-19,17.5
2016-07-20,16.7
2016-07-21,16.65
2016-07-22,16.7
2016-07-25,17.3
2016-07-26,16.85
2016-07-28,17.0
2016-07-29,17.05
2016-08-01,18.1
2016-08-02,17.85
2016-08-03,17.5
2016-08-04,18.2
2016-08-05,16.75
2016-08-08,18.0
2016-08-09,17.95
2016-08-10,21.5
2016-08-11,25.25
2016-08-12,22.8
2016-08-16,22.6
2016-08-17,22.9
2016-08-18,22.75
2016-08-19,22.85
2016-08-22,21.85
2016-08-23,22.55
2016-08-24,21.75
2016-08-25,22.85
2016-08-26,22.1
2016-08-29,22.1
2016-08-30,21.35
2016-08-31,21.9
2016-09-01,21.55
2016-09-02,21.55
2016-09-06,22.6
2016-09-07,21.75
2016-09-08,21.75
2016-09-09,21.35
2016-09-12,20.6
2016-09-14,20.4
2016-09-15,20.9
2016-09-16,21.0
2016-09-19,21.85
2016-09-20,21.45
2016-09-21,20.9
2016-09-22,21.5
2016-09-23,21.0
2016-09-26,21.0
2016-09-27,20.75
2016-09-28,20.65
2016-09-29,20.05
2016-09-30,19.7
2016-10-03,20.95
2016-10-04,21.5
2016-10-05,21.25
2016-10-06,21.15
2016-10-07,21.5
2016-10-10,21.55
2016-10-13,20.85
2016-10-14,21.2
2016-10-17,21.1
2016-10-18,21.9
2016-10-19,21.8
2016-10-20,23.65
2016-10-21,28.35
2016-10-24,34.0
2016-10-25,37.4
2016-10-26,41.05
2016-10-27,37.85
2016-10-28,39.95
2016-10-30,40.3
2016-11-01,37.95
2016-11-02,36.05
2016-11-03,35.25
2016-11-04,31.75
2016-11-07,33.85
2016-11-08,32.8
2016-11-09,29.8
2016-11-10,32.75
2016-11-11,31.9
2016-11-15,35.05
2016-11-16,38.55
2016-11-17,36.5
2016-11-18,35.85
2016-11-21,34.75
2016-11-22,36.0
2016-11-23,37.6
2016-11-24,36.45
2016-11-25,37.7
2016-11-28,36.85
2016-11-29,37.3
2016-11-30,38.0
2016-12-01,38.0
2016-12-02,37.95
2016-12-05,38.0
2016-12-06,45.6
2016-12-07,54.7
2016-12-08,57.2
2016-12-09,51.8
2016-12-12,54.65
2016-12-13,53.85
2016-12-14,52.35
2016-12-15,51.85
2016-12-16,51.8
2016-12-19,47.65
2016-12-20,47.15
2016-12-21,51.85
2016-12-22,50.45
2016-12-23,53.55
2016-12-26,50.55
2016-12-27,50.9
2016-12-28,51.2
2016-12-29,51.45
2016-12-30,50.65
