Date,BLKASHYAP
2016-01-01,24.15
2016-01-04,22.8
2016-01-05,23.2
2016-01-06,22.4
2016-01-07,20.7
2016-01-08,21.1
2016-01-11,20.9
2016-01-12,20.55
2016-01-13,19.2
2016-01-14,18.15
2016-01-15,17.8
2016-01-18,16.05
2016-01-19,16.7
2016-01-20,15.95
2016-01-21,16.3
2016-01-22,17.1
2016-01-25,17.95
2016-01-27,17.95
2016-01-28,17.6
2016-01-29,17.5
2016-02-01,18.35
2016-02-02,18.0
2016-02-03,17.15
2016-02-04,16.3
2016-02-05,16.2
2016-02-08,16.35
2016-02-09,15.45
2016-02-10,14.75
2016-02-11,13.3
2016-02-12,12.45
2016-02-15,13.05
2016-02-16,12.85
2016-02-17,12.25
2016-02-18,11.95
2016-02-19,12.5
2016-02-22,13.0
2016-02-23,13.25
2016-02-24,12.6
2016-02-25,12.0
2016-02-26,11.5
2016-02-29,11.65
2016-03-01,12.2
2016-03-02,12.75
2016-03-03,13.35
2016-03-04,14.25
2016-03-08,14.8
2016-03-09,14.7
2016-03-10,15.05
2016-03-11,14.65
2016-03-14,14.55
2016-03-15,14.2
2016-03-16,14.0
2016-03-17,13.15
2016-03-18,13.05
2016-03-21,12.75
2016-03-22,13.95
2016-03-23,13.4
2016-03-28,12.3
2016-03-29,12.55
2016-03-30,12.9
2016-03-31,13.3
2016-04-01,14.55
2016-04-04,14.3
2016-04-05,14.0
2016-04-06,13.85
2016-04-07,13.6
2016-04-08,13.85
2016-04-11,13.9
2016-04-12,13.75
2016-04-13,13.8
2016-04-18,13.85
2016-04-20,15.05
2016-04-21,14.9
2016-04-22,14.45
2016-04-25,14.25
2016-04-26,14.25
2016-04-27,14.2
2016-04-28,14.35
2016-04-29,13.8
2016-05-02,16.55
2016-05-03,17.55
2016-05-04,15.85
2016-05-05,17.15
2016-05-06,16.6
2016-05-09,16.8
2016-05-10,20.15
2016-05-11,19.6
2016-05-12,19.9
2016-05-13,19.2
2016-05-16,18.6
2016-05-17,18.6
2016-05-18,19.1
2016-05-19,19.25
2016-05-20,18.65
2016-05-23,18.6
2016-05-24,17.6
2016-05-25,17.85
2016-05-26,17.95
2016-05-27,17.95
2016-05-30,17.4
2016-05-31,17.8
2016-06-01,17.1
2016-06-02,18.25
2016-06-03,17.55
2016-06-06,17.35
2016-06-07,17.2
2016-06-08,17.25
2016-06-09,16.95
2016-06-10,16.95
2016-06-13,17.0
2016-06-14,17.6
2016-06-15,18.05
2016-06-16,17.65
2016-06-17,17.5
2016-06-20,17.6
2016-06-21,17.9
2016-06-22,17.2
2016-06-23,17.05
2016-06-24,16.4
2016-06-27,16.7
2016-06-28,20.0
2016-06-29,19.35
2016-06-30,18.9
2016-07-01,18.9
2016-07-04,18.9
2016-07-05,21.3
2016-07-07,20.3
2016-07-08,20.6
2016-07-11,20.6
2016-07-12,22.1
2016-07-13,20.55
2016-07-14,20.05
2016-07-15,19.75
2016-07-18,19.7
2016-07-19,19.3
2016-07-20,19.45
2016-07-21,20.65
2016-07-22,20.2
2016-07-25,20.6
2016-07-26,20.0
2016-07-27,19.8
2016-07-28,20.2
2016-07-29,19.6
2016-08-01,19.45
2016-08-02,19.2
2016-08-03,19.75
2016-08-04,20.25
2016-08-05,19.75
2016-08-08,19.65
2016-08-09,19.35
2016-08-10,18.9
2016-08-11,18.65
2016-08-12,18.35
2016-08-16,17.75
2016-08-17,18.15
2016-08-18,18.55
2016-08-19,18.75
2016-08-22,18.8
2016-08-23,18.95
2016-08-24,18.65
2016-08-25,19.3
2016-08-26,18.8
2016-08-29,20.35
2016-08-30,20.2
2016-08-31,20.8
2016-09-01,24.2
2016-09-02,22.85
2016-09-06,23.05
2016-09-07,24.4
2016-09-08,25.2
2016-09-09,24.6
2016-09-12,23.5
2016-09-14,23.65
2016-09-15,23.25
2016-09-16,23.75
2016-09-19,23.7
2016-09-20,23.15
2016-09-21,23.05
2016-09-22,22.85
2016-09-23,22.55
2016-09-26,22.3
2016-09-27,22.0
2016-09-28,21.8
2016-09-29,19.9
2016-09-30,20.2
2016-10-03,20.95
2016-10-04,21.6
2016-10-05,23.15
2016-10-06,23.15
2016-10-07,22.85
2016-10-10,22.65
2016-10-13,22.1
2016-10-14,22.15
2016-10-17,21.85
2016-10-18,23.4
2016-10-19,22.9
2016-10-20,23.95
2016-10-21,24.1
2016-10-24,24.35
2016-10-25,24.35
2016-10-26,23.7
2016-10-27,23.85
2016-10-28,26.7
2016-10-30,27.15
2016-11-01,26.75
2016-11-02,25.45
2016-11-03,25.15
2016-11-04,24.75
2016-11-07,24.6
2016-11-08,24.25
2016-11-09,22.05
2016-11-10,23.1
2016-11-11,21.1
2016-11-15,18.75
2016-11-16,18.75
2016-11-17,19.25
2016-11-18,19.95
2016-11-21,19.1
2016-11-22,17.85
2016-11-23,18.8
2016-11-24,19.15
2016-11-25,19.5
2016-11-28,20.2
2016-11-29,20.35
2016-11-30,21.35
2016-12-01,21.1
2016-12-02,20.7
2016-12-05,21.0
2016-12-06,21.0
2016-12-07,20.35
2016-12-08,21.05
2016-12-09,20.75
2016-12-12,19.95
2016-12-13,20.1
2016-12-14,19.55
2016-12-15,19.6
2016-12-16,19.4
2016-12-19,19.15
2016-12-20,19.1
2016-12-21,18.95
2016-12-22,18.35
2016-12-23,18.65
2016-12-26,18.3
2016-12-27,19.2
2016-12-28,19.1
2016-12-29,19.7
2016-12-30,20.15
