Date,SHAHALLOYS
2016-01-05,10.4
2016-01-06,10.9
2016-01-07,11.4
2016-01-08,11.95
2016-01-11,12.5
2016-01-12,13.1
2016-01-13,13.7
2016-01-14,14.25
2016-01-15,13.55
2016-01-18,12.9
2016-01-19,12.3
2016-01-20,11.7
2016-01-21,11.15
2016-01-22,10.95
2016-01-25,10.75
2016-01-27,10.3
2016-01-28,9.8
2016-01-29,9.6
2016-02-01,9.25
2016-02-02,9.7
2016-02-03,9.25
2016-02-04,8.8
2016-02-05,8.55
2016-02-08,8.55
2016-02-09,8.3
2016-02-10,8.7
2016-02-11,8.7
2016-02-12,8.3
2016-02-16,8.15
2016-02-18,8.55
2016-02-19,8.15
2016-02-22,8.5
2016-02-23,8.9
2016-02-24,8.5
2016-02-26,8.1
2016-02-29,8.2
2016-03-01,8.0
2016-03-02,7.65
2016-03-04,8.25
2016-03-08,8.75
2016-03-09,9.3
2016-03-10,9.5
2016-03-11,9.2
2016-03-14,9.1
2016-03-15,8.9
2016-03-16,8.15
2016-03-17,8.15
2016-03-18,7.6
2016-03-21,7.5
2016-03-22,8.2
2016-03-23,8.65
2016-03-28,8.15
2016-03-29,8.5
2016-03-30,9.35
2016-03-31,9.2
2016-04-01,8.5
2016-04-04,9.35
2016-04-05,10.25
2016-04-06,10.0
2016-04-07,9.3
2016-04-08,9.2
2016-04-11,8.8
2016-04-12,9.5
2016-04-13,9.55
2016-04-18,9.15
2016-04-20,8.6
2016-04-21,8.85
2016-04-22,8.6
2016-04-25,8.35
2016-04-26,8.0
2016-04-27,8.65
2016-04-28,8.8
2016-04-29,9.65
2016-05-02,9.75
2016-05-03,9.9
2016-05-04,9.0
2016-05-05,8.7
2016-05-06,9.0
2016-05-09,9.1
2016-05-11,8.65
2016-05-12,8.55
2016-05-16,8.4
2016-05-18,9.0
2016-05-19,9.2
2016-05-23,9.0
2016-05-24,8.25
2016-05-25,8.3
2016-05-26,8.6
2016-05-27,9.0
2016-05-30,8.5
2016-05-31,8.5
2016-06-01,8.5
2016-06-02,7.7
2016-06-03,8.25
2016-06-06,8.5
2016-06-07,8.25
2016-06-08,8.35
2016-06-10,8.0
2016-06-13,8.5
2016-06-14,8.35
2016-06-15,8.0
2016-06-16,8.75
2016-06-17,8.5
2016-06-20,9.0
2016-06-21,8.2
2016-06-22,8.7
2016-06-23,8.05
2016-06-24,8.45
2016-06-27,8.1
2016-06-28,8.5
2016-06-29,8.1
2016-06-30,8.2
2016-07-01,7.9
2016-07-04,8.15
2016-07-05,8.0
2016-07-07,8.8
2016-07-11,8.7
2016-07-12,8.5
2016-07-13,8.55
2016-07-15,8.7
2016-07-18,8.35
2016-07-19,8.25
2016-07-20,8.2
2016-07-21,8.1
2016-07-22,8.9
2016-07-25,9.35
2016-07-26,9.1
2016-07-27,8.7
2016-07-28,8.7
2016-07-29,8.6
2016-08-01,9.45
2016-08-02,10.0
2016-08-03,9.1
2016-08-04,9.35
2016-08-05,9.35
2016-08-08,9.85
2016-08-09,9.7
2016-08-10,9.45
2016-08-11,10.4
2016-08-12,10.1
2016-08-16,10.25
2016-08-17,10.45
2016-08-18,10.95
2016-08-19,9.95
2016-08-22,9.75
2016-08-23,9.8
2016-08-24,9.85
2016-08-25,10.3
2016-08-26,9.5
2016-08-29,9.4
2016-08-30,9.9
2016-08-31,9.65
2016-09-01,9.8
2016-09-02,9.2
2016-09-06,9.2
2016-09-08,9.35
2016-09-09,9.05
2016-09-12,10.8
2016-09-14,12.95
2016-09-15,12.4
2016-09-16,11.8
2016-09-19,11.05
2016-09-20,11.7
2016-09-21,11.65
2016-09-22,11.6
2016-09-23,10.95
2016-09-26,11.0
2016-09-27,10.8
2016-09-28,11.4
2016-09-29,10.3
2016-09-30,10.45
2016-10-03,10.95
2016-10-04,10.85
2016-10-05,10.6
2016-10-06,10.5
2016-10-07,10.9
2016-10-10,11.35
2016-10-13,10.6
2016-10-14,11.9
2016-10-17,12.1
2016-10-18,11.95
2016-10-19,12.05
2016-10-20,12.55
2016-10-21,12.8
2016-10-24,12.7
2016-10-25,12.3
2016-10-26,12.55
2016-10-27,12.15
2016-10-28,12.3
2016-10-30,12.2
2016-11-01,12.4
2016-11-02,12.2
2016-11-03,12.45
2016-11-04,11.5
2016-11-07,11.95
2016-11-08,12.5
2016-11-09,12.0
2016-11-10,12.75
2016-11-11,12.8
2016-11-15,12.0
2016-11-16,11.5
2016-11-17,11.4
2016-11-18,11.1
2016-11-21,10.75
2016-11-22,11.7
2016-11-23,11.6
2016-11-24,12.05
2016-11-25,12.75
2016-11-28,12.25
2016-11-29,12.0
2016-11-30,12.1
2016-12-01,11.75
2016-12-02,12.3
2016-12-05,12.0
2016-12-06,12.2
2016-12-07,12.05
2016-12-08,11.5
2016-12-09,11.1
2016-12-12,11.6
2016-12-13,11.1
2016-12-14,13.3
2016-12-15,15.95
2016-12-16,19.1
2016-12-19,18.3
2016-12-20,17.2
2016-12-21,17.1
